original_name,new_path,md5,bytes,duplicate_of
Annual Enrollment Trend Report _ February 2025.pdf,data/raw/bvsd/trend_report_feb2025.pdf,1b81cfa920b4570f3d25a07532d69a7a,4887123,
Annual Enrollment Trend Report _ February 2026.pdf,data/raw/bvsd/trend_report_feb2026.pdf,5c3c2bad04f02c6d0ed92770433296ed,5132268,
Resilient Schools Proposal FINAL 08-25-2026 (1).pdf,data/raw/bvsd/resilient_schools_proposal_2026-08-25.pdf,0368dfeef0675456a386de5d6378881f,21260711,
2023-24 Enrollment Trend Report Executive Summary.pdf,data/raw/bvsd/trend_report_exec_summary_2023-24.pdf,d628972adb7263fb4bc0dd034b38bff2,62295,
2024-25 Enrollment Trend Report Executive Summary.pdf,data/raw/bvsd/trend_report_exec_summary_2024-25.pdf,033b6885538c2ed8a5a59c9a67072b3e,62995,
Annual Enrollment Trend Report _ February 2024 (1).pdf,(duplicate removed),c56450c4fd810ce35bcdaa70cf426926,5257272,data/raw/bvsd/trend_report_feb2024.pdf
Annual Enrollment Trend Report _ February 2025 (1).pdf,(duplicate removed),1b81cfa920b4570f3d25a07532d69a7a,4887123,data/raw/bvsd/trend_report_feb2025.pdf
2024-25 Enrollment Trend Report Executive Summary (1).pdf,(duplicate removed),033b6885538c2ed8a5a59c9a67072b3e,62995,data/raw/bvsd/trend_report_exec_summary_2024-25.pdf
Bear Creek_Creekside - Boulder Valley School District.pdf,data/raw/bvsd/bvsd_page_bear_creek_creekside.pdf,406a17cb581cd0ea6af1b0ba8bb8c5da,557829,
"LRAC Final Metrics and Recommendations _ June 13, 2023.pdf",data/raw/bvsd/lrac_final_metrics_2023-06-13.pdf,0513c63b2661a972edd12dc74694e2bb,87702,
"LRAC Final Metrics and Recommendations _ June 13, 2023 (1).pdf",(duplicate removed),0513c63b2661a972edd12dc74694e2bb,87702,data/raw/bvsd/lrac_final_metrics_2023-06-13.pdf
"LRAC Final Metrics and Recommendations _ June 13, 2023 (2).pdf",(duplicate removed),0513c63b2661a972edd12dc74694e2bb,87702,data/raw/bvsd/lrac_final_metrics_2023-06-13.pdf
Resilient Schools Proposal Frequently Asked Questions - Boulder Valley School District.pdf,data/raw/bvsd/resilient_schools_faq.pdf,aea7d6c825ab029be65c024c88b9c8a2,444899,
Supporting students with special needs following school changes - Boulder Valley School District.pdf,data/raw/bvsd/resilient_schools_special_needs.pdf,eb310f331f1a79f9580517551d7d18cc,388182,
"Enrollment drops more than expected, Board expresses desire to take action to respond _ News Article.pdf",data/raw/bvsd/news_bvsd_enrollment_drops_more_than_expected.pdf,617ca3242e190b53182adbbd5152eaf9,652566,
"Enrollment numbers drop less than expected in 2024, but more schools move into low enrollment advisory status _ News Article.pdf",data/raw/bvsd/news_bvsd_enrollment_drops_less_than_expected_2024.pdf,f441cd8920cf054ed26d22834fc716b2,753978,
