date,school,oct2023,oct2024,oct2025,count,k,g1,g2,g3,g4,g5
2026-08-07,PEAK TO PEAK K-5,447,445,450,445,72.0,72.0,72.0,72.0,78.0,79.0
2026-08-07,PIONEER,415,397,371,395,91.0,63.0,59.0,66.0,57.0,59.0
2026-08-07,RYAN,426,410,393,418,63.0,61.0,56.0,75.0,81.0,82.0
2026-08-07,SANCHEZ,285,290,276,243,27.0,36.0,48.0,30.0,53.0,49.0
2026-08-07,SUPERIOR,429,416,433,424,62.0,82.0,56.0,78.0,75.0,71.0
2026-08-07,UNIVERSITY HILL,372,380,368,349,46.0,62.0,53.0,54.0,71.0,63.0
2026-08-07,WHITTIER,291,267,257,245,36.0,37.0,42.0,44.0,47.0,39.0
2026-08-07,TOTAL ELEMENTARY,10804,10681,10427,10366,,,,,,
2026-08-12,ASPEN CREEK K-5,420,443,473,501,91.0,80.0,79.0,73.0,89.0,89.0
2026-08-12,BEAR CREEK,298,318,312,333,45.0,60.0,53.0,51.0,58.0,66.0
2026-08-12,BIRCH,279,276,261,261,43.0,37.0,44.0,38.0,42.0,57.0
2026-08-12,BCSIS,265,254,253,234,28.0,38.0,37.0,45.0,38.0,48.0
2026-08-12,BOULDER UNIVERSAL,42,46,39,50,4.0,4.0,8.0,7.0,13.0,14.0
2026-08-12,COAL CREEK,305,283,269,260,55.0,38.0,35.0,45.0,36.0,51.0
2026-08-12,COLUMBINE,352,343,313,308,47.0,62.0,43.0,54.0,48.0,54.0
2026-08-12,CREEKSIDE,333,327,288,254,29.0,33.0,38.0,45.0,51.0,58.0
2026-08-12,CREST VIEW,410,390,330,332,46.0,53.0,51.0,43.0,57.0,82.0
2026-08-12,DOUGLASS,286,282,281,287,43.0,43.0,41.0,50.0,57.0,53.0
2026-08-12,EISENHOWER,311,276,265,235,34.0,39.0,30.0,42.0,45.0,45.0
2026-08-12,ELDORADO K-5,263,256,252,279,50.0,45.0,40.0,43.0,48.0,53.0
2026-08-12,EMERALD,355,347,365,375,73.0,70.0,65.0,43.0,59.0,65.0
