SchName,SchCode,SchType,StdtPop,BVSD_Neigh,Capacity,Enroll,Perc_Cap,layer,Forecast_Capacity,Forecast_CapRounds,Forecast_Enroll_2025,Forecast_CapPct_2025,Forecast_Proj_2026-27,Forecast_CapPct_2026-27,Forecast_Proj_2027-28,Forecast_CapPct_2027-28,Forecast_Proj_2028-29,Forecast_CapPct_2028-29,Forecast_Proj_2029-30,Forecast_CapPct_2029-30,Forecast_Proj_2030-31,Forecast_CapPct_2030-31,_source,_source_feature_index,_note
Bear Creek,119,Elementary,169,Boulder,475,378,0.8,Elementary,492,3.5,312,63,299,61,293,60,288,59,310,63,320,65,data/raw/enrollmentdata/BVSD_Attendance_Areas.geojson,0,"GIS attributes (SchCode, StdtPop, Capacity, Enroll, Perc_Cap) come from BVSD ArcGIS layer of unknown vintage; Forecast_* columns were joined on by enrollmentdata.org from the Feb 2026 report. For 'BC-Mesa' the Forecast_* values (capacity 590, 536 enrolled) are BC/SIS-HP's row, evidently a prefix-match join error; ignore them."
BC-Mesa,1,Elementary,134,Boulder,0,0,0.0,Elementary,590,4.0,536,91,529,90,514,87,520,88,525,89,526,89,data/raw/enrollmentdata/BVSD_Attendance_Areas.geojson,2,"GIS attributes (SchCode, StdtPop, Capacity, Enroll, Perc_Cap) come from BVSD ArcGIS layer of unknown vintage; Forecast_* columns were joined on by enrollmentdata.org from the Feb 2026 report. For 'BC-Mesa' the Forecast_* values (capacity 590, 536 enrolled) are BC/SIS-HP's row, evidently a prefix-match join error; ignore them."
Mesa,166,Elementary,258,Boulder,485,371,0.76,Elementary,418,3.0,224,54,217,52,203,49,203,49,202,48,201,48,data/raw/enrollmentdata/BVSD_Attendance_Areas.geojson,27,"GIS attributes (SchCode, StdtPop, Capacity, Enroll, Perc_Cap) come from BVSD ArcGIS layer of unknown vintage; Forecast_* columns were joined on by enrollmentdata.org from the Feb 2026 report. For 'BC-Mesa' the Forecast_* values (capacity 590, 536 enrolled) are BC/SIS-HP's row, evidently a prefix-match join error; ignore them."
