book,school,capacity_year,program_capacity,possible_classrooms
2011,Bear Creek,2011,475,19
2011,Mesa,2011,485,20
2012,Bear Creek,2012,478,18
2012,Mesa,2012,494,19
2014,Bear Creek,2012,478,18
2014,Mesa,2012,494,19
