year,matrix,as_of,school,area,students
2019-20,k,1/24/2020,Bear Creek,Sanchez,0
2019-20,k,1/24/2020,Bear Creek,Meadowlark,0
2019-20,k,1/24/2020,Bear Creek,Coal Creek,0
2019-20,k,1/24/2020,Bear Creek,Fireside,0
2019-20,k,1/24/2020,Bear Creek,Louisville,0
2019-20,k,1/24/2020,Bear Creek,Monarch K-8,0
2019-20,k,1/24/2020,Bear Creek,Eldorado K-8,0
2019-20,k,1/24/2020,Bear Creek,Superior,0
2019-20,k,1/24/2020,Bear Creek,Gold Hill,0
2019-20,k,1/24/2020,Bear Creek,Jamestown,0
2019-20,k,1/24/2020,Bear Creek,Nederland,0
2019-20,k,1/24/2020,Mesa,Bear Creek,1
2019-20,k,1/24/2020,Mesa,Columbine,0
2019-20,k,1/24/2020,Mesa,Creekside,2
2019-20,k,1/24/2020,Mesa,Crest View,0
2019-20,k,1/24/2020,Mesa,Douglass,0
2019-20,k,1/24/2020,Mesa,Eisenhower,0
2019-20,k,1/24/2020,Mesa,Flatirons,0
2019-20,k,1/24/2020,Mesa,Foothill,0
2019-20,k,1/24/2020,Mesa,Heatherwood,0
2019-20,k,1/24/2020,Mesa,Mesa,25
2019-20,k,1/24/2020,Mesa,Whittier,0
2019-20,k,1/24/2020,Mesa,Optional Bear Creek/Creekside,0
2019-20,k,1/24/2020,Mesa,Optional Bear Creek/Mesa,5
2019-20,k,1/24/2020,Mesa,Aspen Creek K-8,0
2019-20,k,1/24/2020,Mesa,Birch,0
2019-20,k,1/24/2020,Mesa,Emerald,0
2019-20,k,1/24/2020,Mesa,Kohl,0
2019-20,k,1/24/2020,Mesa,Lafayette,1
2019-20,k,1/24/2020,Mesa,Ryan,0
2019-20,k,1/24/2020,Mesa,Sanchez,0
2019-20,k,1/24/2020,Mesa,Meadowlark,0
2019-20,k,1/24/2020,Mesa,Coal Creek,0
2019-20,k,1/24/2020,Mesa,Fireside,0
2019-20,k,1/24/2020,Mesa,Louisville,0
2019-20,k,1/24/2020,Mesa,Monarch K-8,0
2019-20,k,1/24/2020,Mesa,Eldorado K-8,0
2019-20,k,1/24/2020,Mesa,Superior,0
2019-20,k,1/24/2020,Mesa,Gold Hill,0
2019-20,k,1/24/2020,Mesa,Jamestown,0
2019-20,k,1/24/2020,Mesa,Nederland,0
2020-21,k,12/23/2020,Bear Creek,Bear Creek,13
2020-21,k,12/23/2020,Bear Creek,Columbine,0
2020-21,k,12/23/2020,Bear Creek,Creekside,1
2020-21,k,12/23/2020,Bear Creek,Crest View,0
2020-21,k,12/23/2020,Bear Creek,Douglass,0
2020-21,k,12/23/2020,Bear Creek,Eisenhower,0
2020-21,k,12/23/2020,Bear Creek,Flatirons,0
2020-21,k,12/23/2020,Bear Creek,Foothill,0
2020-21,k,12/23/2020,Bear Creek,Heatherwood,0
2020-21,k,12/23/2020,Bear Creek,Mesa,1
2020-21,k,12/23/2020,Bear Creek,Whittier,0
2020-21,k,12/23/2020,Bear Creek,Optional Bear Creek/Creekside,2
2020-21,k,12/23/2020,Bear Creek,Optional Bear Creek/Mesa,11
2020-21,k,12/23/2020,Bear Creek,Aspen Creek K-8,0
2020-21,k,12/23/2020,Bear Creek,Birch,0
2020-21,k,12/23/2020,Bear Creek,Emerald,0
2020-21,k,12/23/2020,Bear Creek,Kohl,0
2020-21,k,12/23/2020,Bear Creek,Lafayette,1
2020-21,k,12/23/2020,Bear Creek,Ryan,0
2020-21,k,12/23/2020,Bear Creek,Sanchez,0
2020-21,k,12/23/2020,Bear Creek,Meadowlark,0
2020-21,k,12/23/2020,Bear Creek,Coal Creek,0
2020-21,k,12/23/2020,Bear Creek,Fireside,0
2020-21,k,12/23/2020,Bear Creek,Louisville,0
2020-21,k,12/23/2020,Bear Creek,Monarch K-8,0
2020-21,k,12/23/2020,Bear Creek,Eldorado K-8,0
2020-21,k,12/23/2020,Bear Creek,Superior,0
2020-21,k,12/23/2020,Bear Creek,Gold Hill,0
2020-21,k,12/23/2020,Bear Creek,Jamestown,0
2020-21,k,12/23/2020,Bear Creek,Nederland,0
2020-21,k,12/23/2020,Mesa,Bear Creek,2
2020-21,k,12/23/2020,Mesa,Columbine,0
2020-21,k,12/23/2020,Mesa,Creekside,1
2020-21,k,12/23/2020,Mesa,Crest View,0
2020-21,k,12/23/2020,Mesa,Douglass,2
2020-21,k,12/23/2020,Mesa,Eisenhower,0
2020-21,k,12/23/2020,Mesa,Flatirons,0
2020-21,k,12/23/2020,Mesa,Foothill,0
2020-21,k,12/23/2020,Mesa,Heatherwood,0
2020-21,k,12/23/2020,Mesa,Mesa,17
2020-21,k,12/23/2020,Mesa,Whittier,0
2020-21,k,12/23/2020,Mesa,Optional Bear Creek/Creekside,0
2020-21,k,12/23/2020,Mesa,Optional Bear Creek/Mesa,8
2020-21,k,12/23/2020,Mesa,Aspen Creek K-8,0
2020-21,k,12/23/2020,Mesa,Birch,0
2020-21,k,12/23/2020,Mesa,Emerald,0
2020-21,k,12/23/2020,Mesa,Kohl,1
2020-21,k,12/23/2020,Mesa,Lafayette,0
2020-21,k,12/23/2020,Mesa,Ryan,0
2020-21,k,12/23/2020,Mesa,Sanchez,0
2020-21,k,12/23/2020,Mesa,Meadowlark,0
2020-21,k,12/23/2020,Mesa,Coal Creek,0
2020-21,k,12/23/2020,Mesa,Fireside,0
2020-21,k,12/23/2020,Mesa,Louisville,0
2020-21,k,12/23/2020,Mesa,Monarch K-8,0
2020-21,k,12/23/2020,Mesa,Eldorado K-8,0
2020-21,k,12/23/2020,Mesa,Superior,0
2020-21,k,12/23/2020,Mesa,Gold Hill,0
2020-21,k,12/23/2020,Mesa,Jamestown,0
2020-21,k,12/23/2020,Mesa,Nederland,0
2021-22,k,12/28/2021,Bear Creek,Bear Creek,26
2021-22,k,12/28/2021,Bear Creek,Columbine,0
2021-22,k,12/28/2021,Bear Creek,Creekside,0
2021-22,k,12/28/2021,Bear Creek,Crest View,1
2021-22,k,12/28/2021,Bear Creek,Douglass,0
2021-22,k,12/28/2021,Bear Creek,Eisenhower,0
2021-22,k,12/28/2021,Bear Creek,Flatirons,0
2021-22,k,12/28/2021,Bear Creek,Foothill,0
2021-22,k,12/28/2021,Bear Creek,Heatherwood,0
2021-22,k,12/28/2021,Bear Creek,Mesa,1
2021-22,k,12/28/2021,Bear Creek,Whittier,0
2021-22,k,12/28/2021,Bear Creek,Optional Bear Creek/Creekside,3
2021-22,k,12/28/2021,Bear Creek,Optional Bear Creek/Mesa,11
2021-22,k,12/28/2021,Bear Creek,Aspen Creek K-8,0
2021-22,k,12/28/2021,Bear Creek,Birch,0
2021-22,k,12/28/2021,Bear Creek,Emerald,0
2021-22,k,12/28/2021,Bear Creek,Kohl,0
2021-22,k,12/28/2021,Bear Creek,Lafayette,0
2021-22,k,12/28/2021,Bear Creek,Ryan,0
2021-22,k,12/28/2021,Bear Creek,Sanchez,2
2021-22,k,12/28/2021,Bear Creek,Meadowlark,0
2021-22,k,12/28/2021,Bear Creek,Coal Creek,0
2021-22,k,12/28/2021,Bear Creek,Fireside,1
2021-22,k,12/28/2021,Bear Creek,Louisville,0
2021-22,k,12/28/2021,Bear Creek,Monarch K-8,0
2021-22,k,12/28/2021,Bear Creek,Eldorado K-8,0
2021-22,k,12/28/2021,Bear Creek,Superior,0
2021-22,k,12/28/2021,Bear Creek,Gold Hill,0
2021-22,k,12/28/2021,Bear Creek,Jamestown,0
2021-22,k,12/28/2021,Bear Creek,Nederland,0
2021-22,k,12/28/2021,Mesa,Bear Creek,2
2021-22,k,12/28/2021,Mesa,Columbine,1
2021-22,k,12/28/2021,Mesa,Creekside,0
2021-22,k,12/28/2021,Mesa,Crest View,0
2021-22,k,12/28/2021,Mesa,Douglass,0
2021-22,k,12/28/2021,Mesa,Eisenhower,0
2021-22,k,12/28/2021,Mesa,Flatirons,0
2021-22,k,12/28/2021,Mesa,Foothill,0
2021-22,k,12/28/2021,Mesa,Heatherwood,0
2021-22,k,12/28/2021,Mesa,Mesa,23
2021-22,k,12/28/2021,Mesa,Whittier,0
2021-22,k,12/28/2021,Mesa,Optional Bear Creek/Creekside,0
2021-22,k,12/28/2021,Mesa,Optional Bear Creek/Mesa,5
2021-22,k,12/28/2021,Mesa,Aspen Creek K-8,0
2021-22,k,12/28/2021,Mesa,Birch,0
2021-22,k,12/28/2021,Mesa,Emerald,0
2021-22,k,12/28/2021,Mesa,Kohl,0
2021-22,k,12/28/2021,Mesa,Lafayette,1
2021-22,k,12/28/2021,Mesa,Ryan,0
2021-22,k,12/28/2021,Mesa,Sanchez,0
2021-22,k,12/28/2021,Mesa,Meadowlark,0
2021-22,k,12/28/2021,Mesa,Coal Creek,0
2021-22,k,12/28/2021,Mesa,Fireside,0
2021-22,k,12/28/2021,Mesa,Louisville,0
2021-22,k,12/28/2021,Mesa,Monarch K-8,0
2021-22,k,12/28/2021,Mesa,Eldorado K-8,0
2021-22,k,12/28/2021,Mesa,Superior,0
2021-22,k,12/28/2021,Mesa,Gold Hill,0
2021-22,k,12/28/2021,Mesa,Jamestown,0
2021-22,k,12/28/2021,Mesa,Nederland,0
2022-23,k,12/21/2022,Bear Creek,Bear Creek,19
2022-23,k,12/21/2022,Bear Creek,Columbine,0
2022-23,k,12/21/2022,Bear Creek,Creekside,3
2022-23,k,12/21/2022,Bear Creek,Crest View,1
2022-23,k,12/21/2022,Bear Creek,Douglass,1
2022-23,k,12/21/2022,Bear Creek,Eisenhower,0
2022-23,k,12/21/2022,Bear Creek,Flatirons,0
2022-23,k,12/21/2022,Bear Creek,Foothill,0
2022-23,k,12/21/2022,Bear Creek,Heatherwood,0
2022-23,k,12/21/2022,Bear Creek,Mesa,2
2022-23,k,12/21/2022,Bear Creek,Whittier,0
2022-23,k,12/21/2022,Bear Creek,Optional Bear Creek/Creekside,3
2022-23,k,12/21/2022,Bear Creek,Optional Bear Creek/Mesa,18
2022-23,k,12/21/2022,Bear Creek,Aspen Creek K-8,0
2022-23,k,12/21/2022,Bear Creek,Birch,0
2022-23,k,12/21/2022,Bear Creek,Emerald,0
2022-23,k,12/21/2022,Bear Creek,Kohl,0
2022-23,k,12/21/2022,Bear Creek,Lafayette,0
2022-23,k,12/21/2022,Bear Creek,Ryan,0
2022-23,k,12/21/2022,Bear Creek,Sanchez,0
2022-23,k,12/21/2022,Bear Creek,Meadowlark,0
2022-23,k,12/21/2022,Bear Creek,Coal Creek,0
2022-23,k,12/21/2022,Bear Creek,Fireside,0
2022-23,k,12/21/2022,Bear Creek,Louisville,1
2022-23,k,12/21/2022,Bear Creek,Monarch K-8,0
2022-23,k,12/21/2022,Bear Creek,Eldorado K-8,0
2022-23,k,12/21/2022,Bear Creek,Superior,0
2022-23,k,12/21/2022,Bear Creek,Gold Hill,0
2022-23,k,12/21/2022,Bear Creek,Jamestown,0
2022-23,k,12/21/2022,Bear Creek,Nederland,0
2022-23,k,12/21/2022,Mesa,Bear Creek,1
2022-23,k,12/21/2022,Mesa,Columbine,0
2022-23,k,12/21/2022,Mesa,Creekside,1
2022-23,k,12/21/2022,Mesa,Crest View,1
2022-23,k,12/21/2022,Mesa,Douglass,0
2022-23,k,12/21/2022,Mesa,Eisenhower,0
2022-23,k,12/21/2022,Mesa,Flatirons,0
2022-23,k,12/21/2022,Mesa,Foothill,0
2022-23,k,12/21/2022,Mesa,Heatherwood,0
2022-23,k,12/21/2022,Mesa,Mesa,16
2022-23,k,12/21/2022,Mesa,Whittier,0
2022-23,k,12/21/2022,Mesa,Optional Bear Creek/Creekside,0
2022-23,k,12/21/2022,Mesa,Optional Bear Creek/Mesa,5
2022-23,k,12/21/2022,Mesa,Aspen Creek K-8,0
2022-23,k,12/21/2022,Mesa,Birch,0
2022-23,k,12/21/2022,Mesa,Emerald,0
2022-23,k,12/21/2022,Mesa,Kohl,0
2022-23,k,12/21/2022,Mesa,Lafayette,1
2022-23,k,12/21/2022,Mesa,Ryan,0
2022-23,k,12/21/2022,Mesa,Sanchez,0
2022-23,k,12/21/2022,Mesa,Meadowlark,0
2022-23,k,12/21/2022,Mesa,Coal Creek,0
2022-23,k,12/21/2022,Mesa,Fireside,0
2022-23,k,12/21/2022,Mesa,Louisville,0
2022-23,k,12/21/2022,Mesa,Monarch K-8,0
2022-23,k,12/21/2022,Mesa,Eldorado K-8,0
2022-23,k,12/21/2022,Mesa,Superior,0
2022-23,k,12/21/2022,Mesa,Gold Hill,0
2022-23,k,12/21/2022,Mesa,Jamestown,0
2022-23,k,12/21/2022,Mesa,Nederland,0
2023-24,k,12/28/2023,Bear Creek,Bear Creek,18
2023-24,k,12/28/2023,Bear Creek,Columbine,0
2023-24,k,12/28/2023,Bear Creek,Creekside,1
2023-24,k,12/28/2023,Bear Creek,Crest View,0
2023-24,k,12/28/2023,Bear Creek,Douglass,0
2023-24,k,12/28/2023,Bear Creek,Eisenhower,0
2023-24,k,12/28/2023,Bear Creek,Flatirons,0
2023-24,k,12/28/2023,Bear Creek,Foothill,0
2023-24,k,12/28/2023,Bear Creek,Heatherwood,0
2023-24,k,12/28/2023,Bear Creek,Mesa,4
2023-24,k,12/28/2023,Bear Creek,Whittier,0
2023-24,k,12/28/2023,Bear Creek,Optional Bear Creek/Creekside,1
2023-24,k,12/28/2023,Bear Creek,Optional Bear Creek/Mesa,2
2023-24,k,12/28/2023,Bear Creek,Aspen Creek K-8,0
2023-24,k,12/28/2023,Bear Creek,Birch,0
2023-24,k,12/28/2023,Bear Creek,Emerald,0
2023-24,k,12/28/2023,Bear Creek,Kohl,0
2023-24,k,12/28/2023,Bear Creek,Lafayette,1
2023-24,k,12/28/2023,Bear Creek,Ryan,0
2023-24,k,12/28/2023,Bear Creek,Sanchez,0
2023-24,k,12/28/2023,Bear Creek,Meadowlark,0
2023-24,k,12/28/2023,Bear Creek,Coal Creek,0
2023-24,k,12/28/2023,Bear Creek,Fireside,0
2023-24,k,12/28/2023,Bear Creek,Louisville,0
2023-24,k,12/28/2023,Bear Creek,Monarch K-8,0
2023-24,k,12/28/2023,Bear Creek,Eldorado K-8,1
2023-24,k,12/28/2023,Bear Creek,Superior,1
2023-24,k,12/28/2023,Bear Creek,Gold Hill,0
2023-24,k,12/28/2023,Bear Creek,Jamestown,0
2023-24,k,12/28/2023,Bear Creek,Nederland,0
2023-24,k,12/28/2023,Mesa,Bear Creek,2
2023-24,k,12/28/2023,Mesa,Columbine,0
2023-24,k,12/28/2023,Mesa,Creekside,2
2023-24,k,12/28/2023,Mesa,Crest View,0
2023-24,k,12/28/2023,Mesa,Douglass,1
2023-24,k,12/28/2023,Mesa,Eisenhower,0
2023-24,k,12/28/2023,Mesa,Flatirons,0
2023-24,k,12/28/2023,Mesa,Foothill,0
2023-24,k,12/28/2023,Mesa,Heatherwood,0
2023-24,k,12/28/2023,Mesa,Mesa,13
2023-24,k,12/28/2023,Mesa,Whittier,0
2023-24,k,12/28/2023,Mesa,Optional Bear Creek/Creekside,0
2023-24,k,12/28/2023,Mesa,Optional Bear Creek/Mesa,6
2023-24,k,12/28/2023,Mesa,Aspen Creek K-8,0
2023-24,k,12/28/2023,Mesa,Birch,0
2023-24,k,12/28/2023,Mesa,Emerald,0
2023-24,k,12/28/2023,Mesa,Kohl,0
2023-24,k,12/28/2023,Mesa,Lafayette,0
2023-24,k,12/28/2023,Mesa,Ryan,0
2023-24,k,12/28/2023,Mesa,Sanchez,0
2023-24,k,12/28/2023,Mesa,Meadowlark,0
2023-24,k,12/28/2023,Mesa,Coal Creek,0
2023-24,k,12/28/2023,Mesa,Fireside,0
2023-24,k,12/28/2023,Mesa,Louisville,0
2023-24,k,12/28/2023,Mesa,Monarch K-8,0
2023-24,k,12/28/2023,Mesa,Eldorado K-8,1
2023-24,k,12/28/2023,Mesa,Superior,0
2023-24,k,12/28/2023,Mesa,Gold Hill,0
2023-24,k,12/28/2023,Mesa,Jamestown,0
2023-24,k,12/28/2023,Mesa,Nederland,0
2025-26,k,12/5/2025,Bear Creek,Bear Creek,19
2025-26,k,12/5/2025,Bear Creek,Columbine,1
2025-26,k,12/5/2025,Bear Creek,Creekside,3
2025-26,k,12/5/2025,Bear Creek,Crest View,0
2025-26,k,12/5/2025,Bear Creek,Douglass,2
2025-26,k,12/5/2025,Bear Creek,Eisenhower,1
2025-26,k,12/5/2025,Bear Creek,Flatirons,0
2025-26,k,12/5/2025,Bear Creek,Foothill,0
2025-26,k,12/5/2025,Bear Creek,Heatherwood,0
2025-26,k,12/5/2025,Bear Creek,Mesa,8
2025-26,k,12/5/2025,Bear Creek,Whittier,0
2025-26,k,12/5/2025,Bear Creek,Optional Bear Creek/Creekside,2
2025-26,k,12/5/2025,Bear Creek,Optional Bear Creek/Mesa,8
2025-26,k,12/5/2025,Bear Creek,Aspen Creek K-8,0
2025-26,k,12/5/2025,Bear Creek,Birch,0
2025-26,k,12/5/2025,Bear Creek,Emerald,0
2025-26,k,12/5/2025,Bear Creek,Kohl,0
2025-26,k,12/5/2025,Bear Creek,Lafayette,0
2025-26,k,12/5/2025,Bear Creek,Ryan,0
2025-26,k,12/5/2025,Bear Creek,Sanchez,0
2025-26,k,12/5/2025,Bear Creek,Meadowlark,0
2025-26,k,12/5/2025,Bear Creek,Coal Creek,0
2025-26,k,12/5/2025,Bear Creek,Fireside,0
2025-26,k,12/5/2025,Bear Creek,Louisville,0
2025-26,k,12/5/2025,Bear Creek,Monarch K-8,0
2025-26,k,12/5/2025,Bear Creek,Eldorado K-8,0
2025-26,k,12/5/2025,Bear Creek,Superior,0
2025-26,k,12/5/2025,Bear Creek,Gold Hill,0
2025-26,k,12/5/2025,Bear Creek,Jamestown,0
2025-26,k,12/5/2025,Bear Creek,Nederland,0
2025-26,k,12/5/2025,Mesa,Bear Creek,4
2025-26,k,12/5/2025,Mesa,Columbine,0
2025-26,k,12/5/2025,Mesa,Creekside,2
2025-26,k,12/5/2025,Mesa,Crest View,0
2025-26,k,12/5/2025,Mesa,Douglass,0
2025-26,k,12/5/2025,Mesa,Eisenhower,0
2025-26,k,12/5/2025,Mesa,Flatirons,0
2025-26,k,12/5/2025,Mesa,Foothill,0
2025-26,k,12/5/2025,Mesa,Heatherwood,0
2025-26,k,12/5/2025,Mesa,Mesa,13
2025-26,k,12/5/2025,Mesa,Whittier,0
2025-26,k,12/5/2025,Mesa,Optional Bear Creek/Creekside,0
2025-26,k,12/5/2025,Mesa,Optional Bear Creek/Mesa,6
2025-26,k,12/5/2025,Mesa,Aspen Creek K-8,0
2025-26,k,12/5/2025,Mesa,Birch,0
2025-26,k,12/5/2025,Mesa,Emerald,0
2025-26,k,12/5/2025,Mesa,Kohl,0
2025-26,k,12/5/2025,Mesa,Lafayette,0
2025-26,k,12/5/2025,Mesa,Ryan,0
2025-26,k,12/5/2025,Mesa,Sanchez,0
2025-26,k,12/5/2025,Mesa,Meadowlark,0
2025-26,k,12/5/2025,Mesa,Coal Creek,0
2025-26,k,12/5/2025,Mesa,Fireside,0
2025-26,k,12/5/2025,Mesa,Louisville,0
2025-26,k,12/5/2025,Mesa,Monarch K-8,0
2025-26,k,12/5/2025,Mesa,Eldorado K-8,1
2025-26,k,12/5/2025,Mesa,Superior,0
2025-26,k,12/5/2025,Mesa,Gold Hill,0
2025-26,k,12/5/2025,Mesa,Jamestown,0
2025-26,k,12/5/2025,Mesa,Nederland,0
