birth_year,area,normalized_area,births,is_total,row_ok,source_file,meeting_date,table_date,k_year
1995,Crest View,Crest View,121,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1995,Douglass,Douglass,42,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1995,Eisenhower,Eisenhower,87,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1995,Eldorado (K-5),Eldorado,1,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1995,Emerald,Emerald,72,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1995,Fireside,Fireside,80,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1995,Flatirons,Flatirons,68,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1995,Foothill,Foothill,93,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1995,Gold Hill,Gold Hill,1,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1995,Heatherwood,Heatherwood,77,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1995,Jamestown,Jamestown,3,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1995,Kohl,Kohl,41,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1995,Lafayette,Lafayette,92,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1995,Louisville,Louisville,89,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1995,Mesa,Mesa,26,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1995,Monarch (K-5),Monarch,42,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1995,Nederland,Nederland,56,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1995,Ryan,Ryan,119,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1995,Sanchez,Sanchez,102,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1995,Superior,Superior,77,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1995,Unlocated,Unlocated,1,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1995,Whittier,Whittier,125,False,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1995,BVSD,BVSD,2036,True,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1995,Boulder Total,Boulder Total,996,True,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
1995,E County Total,E County Total,978,True,True,enrollment_update_births_by_elementary_attendance_area_2016-02-09.txt,2016-02-09,11/17/2015,
