school,vintage,school_year,measure,value,data_type,_source,_page,_table,extraction,verified_against_primary
Mesa,feb2026,2027-28,rounds,1.4,projection,data/raw/bvsd/trend_report_feb2026.pdf,9,BVSD Capacity Summary 2025-26 (updated 1/26/2026),ocr+eye,True
Mesa,feb2026,2028-29,enrollment,203.0,projection,data/raw/bvsd/trend_report_feb2026.pdf,9,BVSD Capacity Summary 2025-26 (updated 1/26/2026),ocr+eye,True
Mesa,feb2026,2028-29,pct_capacity,49.0,projection,data/raw/bvsd/trend_report_feb2026.pdf,9,BVSD Capacity Summary 2025-26 (updated 1/26/2026),ocr+eye,True
Mesa,feb2026,2028-29,rounds,1.4,projection,data/raw/bvsd/trend_report_feb2026.pdf,9,BVSD Capacity Summary 2025-26 (updated 1/26/2026),ocr+eye,True
Mesa,feb2026,2029-30,enrollment,202.0,projection,data/raw/bvsd/trend_report_feb2026.pdf,9,BVSD Capacity Summary 2025-26 (updated 1/26/2026),ocr+eye,True
Mesa,feb2026,2029-30,pct_capacity,48.0,projection,data/raw/bvsd/trend_report_feb2026.pdf,9,BVSD Capacity Summary 2025-26 (updated 1/26/2026),ocr+eye,True
Mesa,feb2026,2029-30,rounds,1.3,projection,data/raw/bvsd/trend_report_feb2026.pdf,9,BVSD Capacity Summary 2025-26 (updated 1/26/2026),ocr+eye,True
Mesa,feb2026,2030-31,enrollment,201.0,projection,data/raw/bvsd/trend_report_feb2026.pdf,9,BVSD Capacity Summary 2025-26 (updated 1/26/2026),ocr+eye,True
Mesa,feb2026,2030-31,pct_capacity,48.0,projection,data/raw/bvsd/trend_report_feb2026.pdf,9,BVSD Capacity Summary 2025-26 (updated 1/26/2026),ocr+eye,True
Mesa,feb2026,2030-31,rounds,1.3,projection,data/raw/bvsd/trend_report_feb2026.pdf,9,BVSD Capacity Summary 2025-26 (updated 1/26/2026),ocr+eye,True
