school,capacity,capacity_rounds,enroll_base,pct_cap_base,rounds_base,base_year,proj_2024-25,pct_2024-25,rounds_2024-25,proj_2025-26,pct_2025-26,rounds_2025-26,proj_2026-27,pct_2026-27,rounds_2026-27,proj_2027-28,pct_2027-28,rounds_2027-28,proj_2028-29,pct_2028-29,rounds_2028-29,_source,_page,_table,extraction
Bear Creek,467,3.0,298,64,2.0,2023-24,287,61,1.9,273,58,1.8,271,58,1.8,262,56,1.7,248,53,1.7,data/raw/bvsd/trend_report_feb2024.pdf,11,BVSD Capacity Summary 2023-24 (updated 1/26/2024),ocr+eye
Mesa,418,3.0,233,56,1.6,2023-24,220,53,1.5,211,50,1.4,202,48,1.3,203,49,1.4,202,48,1.3,data/raw/bvsd/trend_report_feb2024.pdf,11,BVSD Capacity Summary 2023-24 (updated 1/26/2024),ocr+eye
