png,y,x,conf,text
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p43.png,845,1349,0.998,nine schools (four focus/charter and five neighborhood).
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p43.png,917,1308,0.958,CurrentPK-5 schools:16
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p43.png,939,1748,0.96,Schools needed
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p43.png,946,2002,0.999,10
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p43.png,967,759,0.995,Mesa
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p43.png,967,1303,0.999,2030
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p43.png,974,832,0.96,Foothills Hwy
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p43.png,979,1748,0.976,tosustain three
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p43.png,1007,1305,0.98,"Projected resident students:3,522"
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p43.png,1011,1748,0.992,classes/grade
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p43.png,1041,1304,0.984,"Projected enrollment: 4,241"
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p43.png,1141,77,0.996,BVSD
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p43.png,1148,2083,1.0,43
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p44.png,55,60,0.991,ResilientSchoolsProposal|Boulder
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p44.png,106,736,0.983,Student Composition
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p44.png,112,61,0.963,AttendanceAreas
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p44.png,221,766,1.0,2025-26
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p44.png,250,1757,0.984,2030 Projected resident
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p44.png,282,360,0.999,100
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p44.png,282,950,0.999,400
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p44.png,282,1146,1.0,500
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p44.png,283,557,1.0,200
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p44.png,283,756,1.0,300
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p44.png,284,1345,0.999,600
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p44.png,284,1542,1.0,700
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p44.png,287,1756,1.0,students
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p44.png,291,183,0.895,0
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p44.png,342,1755,1.0,2 classes/grade
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p44.png,346,64,0.999,Flatirons
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p44.png,394,1757,1.0,Attending neighborhood
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p44.png,414,101,0.997,Mesa
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p44.png,431,1756,0.999,school
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p44.png,479,45,0.999,BearCreek
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p44.png,485,1758,0.982,Attending a different
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p44.png,520,1756,1.0,school
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p44.png,546,60,1.0,Douglass
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p44.png,609,76,0.994,Whittier
data/raw/bvsd/page_renders/resilient_schools_proposal_2026-08-25_p44.png,614,1636,0.991,Takeaway
