school,vintage,school_year,value,data_type,_source,_page,extraction,verified_against_primary,note,vintage_note
Bear Creek,feb2026,2026-27,299.0,projection,data/raw/bvsd/trend_report_feb2026.pdf,9,ocr+eye,True,,Feb 10 2026 report; table updated 1/26/2026
Bear Creek,feb2026,2027-28,293.0,projection,data/raw/bvsd/trend_report_feb2026.pdf,9,ocr+eye,True,,Feb 10 2026 report; table updated 1/26/2026
Bear Creek,feb2026,2028-29,288.0,projection,data/raw/bvsd/trend_report_feb2026.pdf,9,ocr+eye,True,,Feb 10 2026 report; table updated 1/26/2026
Bear Creek,feb2026,2029-30,310.0,projection,data/raw/bvsd/trend_report_feb2026.pdf,9,ocr+eye,True,,Feb 10 2026 report; table updated 1/26/2026
Bear Creek,feb2026,2030-31,320.0,projection,data/raw/bvsd/trend_report_feb2026.pdf,9,ocr+eye,True,,Feb 10 2026 report; table updated 1/26/2026
Mesa,feb2026,2025-26,224.0,actual (as printed),data/raw/bvsd/trend_report_feb2026.pdf,9,ocr+eye,True,,Feb 10 2026 report; table updated 1/26/2026
Mesa,feb2026,2026-27,217.0,projection,data/raw/bvsd/trend_report_feb2026.pdf,9,ocr+eye,True,,Feb 10 2026 report; table updated 1/26/2026
Mesa,feb2026,2027-28,203.0,projection,data/raw/bvsd/trend_report_feb2026.pdf,9,ocr+eye,True,,Feb 10 2026 report; table updated 1/26/2026
Mesa,feb2026,2028-29,203.0,projection,data/raw/bvsd/trend_report_feb2026.pdf,9,ocr+eye,True,,Feb 10 2026 report; table updated 1/26/2026
Mesa,feb2026,2029-30,202.0,projection,data/raw/bvsd/trend_report_feb2026.pdf,9,ocr+eye,True,,Feb 10 2026 report; table updated 1/26/2026
Mesa,feb2026,2030-31,201.0,projection,data/raw/bvsd/trend_report_feb2026.pdf,9,ocr+eye,True,,Feb 10 2026 report; table updated 1/26/2026
Bear Creek (consolidated w/ Mesa),aug2026,2025-26,312.0,"projection (post-proposal, enrolled_students)",data/raw/bvsd/resilient_schools_proposal_2026-08-25.pdf,51,text,True,,Aug 25 2026 proposal deck
Bear Creek (consolidated w/ Mesa),aug2026,2025-26,224.0,"projection (post-proposal, enrolled_students)",data/raw/bvsd/resilient_schools_proposal_2026-08-25.pdf,51,text,True,,Aug 25 2026 proposal deck
Bear Creek (consolidated w/ Mesa),aug2026,2027-28,392.0,"projection (post-proposal, low)",data/raw/bvsd/resilient_schools_proposal_2026-08-25.pdf,51,text,True,,Aug 25 2026 proposal deck
Bear Creek (consolidated w/ Mesa),aug2026,2027-28,445.0,"projection (post-proposal, high)",data/raw/bvsd/resilient_schools_proposal_2026-08-25.pdf,51,text,True,"deck p.51: 'Enrolled Students: 403 to 462' (2030-31); CLAUDE.md's 'pp. 37, 39' page reference is wrong for this deck",Aug 25 2026 proposal deck
Bear Creek (consolidated w/ Mesa),aug2026,2030-31,403.0,"projection (post-proposal, low)",data/raw/bvsd/resilient_schools_proposal_2026-08-25.pdf,51,text,True,,Aug 25 2026 proposal deck
Bear Creek (consolidated w/ Mesa),aug2026,2030-31,462.0,"projection (post-proposal, high)",data/raw/bvsd/resilient_schools_proposal_2026-08-25.pdf,51,text,True,"deck p.51: 'Enrolled Students: 403 to 462' (2030-31); CLAUDE.md's 'pp. 37, 39' page reference is wrong for this deck",Aug 25 2026 proposal deck
Mesa,aug2026,2027-28,0.0,projection (post-proposal): school closes,data/raw/bvsd/resilient_schools_proposal_2026-08-25.pdf,49,text,True,,Aug 25 2026 proposal deck
