school,target_fall,from_vintage,to_vintage,horizon_at_first,first,revised,revision,pct_revision,mountain,abs_pct_revision
Emerald Elementary School,2026,jan2024,jan2025,3,315.0,348.0,33.0,10.476190476190476,False,10.476190476190476
Emerald Elementary School,2027,jan2024,jan2025,4,301.0,348.0,47.0,15.614617940199336,False,15.614617940199336
Emerald Elementary School,2028,jan2024,jan2025,5,280.0,350.0,70.0,25.0,False,25.0
Fireside Elementary School,2025,jan2024,jan2025,2,383.0,396.0,13.0,3.3942558746736293,False,3.3942558746736293
Fireside Elementary School,2026,jan2024,jan2025,3,367.0,375.0,8.0,2.1798365122615806,False,2.1798365122615806
Fireside Elementary School,2027,jan2024,jan2025,4,344.0,358.0,14.0,4.069767441860465,False,4.069767441860465
Fireside Elementary School,2028,jan2024,jan2025,5,335.0,333.0,-2.0,-0.5970149253731343,False,0.5970149253731343
Flatirons Elementary School,2025,jan2024,jan2025,2,159.0,165.0,6.0,3.7735849056603774,False,3.7735849056603774
Flatirons Elementary School,2026,jan2024,jan2025,3,160.0,164.0,4.0,2.5,False,2.5
Flatirons Elementary School,2027,jan2024,jan2025,4,166.0,175.0,9.0,5.421686746987952,False,5.421686746987952
Flatirons Elementary School,2028,jan2024,jan2025,5,161.0,169.0,8.0,4.968944099378882,False,4.968944099378882
Foothill Elementary School,2025,jan2024,jan2025,2,419.0,422.0,3.0,0.7159904534606205,False,0.7159904534606205
Foothill Elementary School,2026,jan2024,jan2025,3,422.0,418.0,-4.0,-0.9478672985781991,False,0.9478672985781991
Foothill Elementary School,2027,jan2024,jan2025,4,409.0,402.0,-7.0,-1.7114914425427872,False,1.7114914425427872
Foothill Elementary School,2028,jan2024,jan2025,5,398.0,376.0,-22.0,-5.527638190954774,False,5.527638190954774
Gold Hill Elementary School,2025,jan2024,jan2025,2,12.0,10.0,-2.0,-16.666666666666668,True,16.666666666666668
Gold Hill Elementary School,2026,jan2024,jan2025,3,12.0,12.0,0.0,0.0,True,0.0
Gold Hill Elementary School,2027,jan2024,jan2025,4,12.0,12.0,0.0,0.0,True,0.0
Gold Hill Elementary School,2028,jan2024,jan2025,5,10.0,10.0,0.0,0.0,True,0.0
Heatherwood Elementary School,2025,jan2024,jan2025,2,217.0,228.0,11.0,5.0691244239631335,False,5.0691244239631335
Heatherwood Elementary School,2026,jan2024,jan2025,3,209.0,224.0,15.0,7.177033492822966,False,7.177033492822966
Heatherwood Elementary School,2027,jan2024,jan2025,4,196.0,213.0,17.0,8.673469387755102,False,8.673469387755102
Heatherwood Elementary School,2028,jan2024,jan2025,5,203.0,215.0,12.0,5.911330049261084,False,5.911330049261084
Jamestown Elementary School,2025,jan2024,jan2025,2,15.0,16.0,1.0,6.666666666666667,True,6.666666666666667
Jamestown Elementary School,2026,jan2024,jan2025,3,16.0,17.0,1.0,6.25,True,6.25
Jamestown Elementary School,2027,jan2024,jan2025,4,15.0,16.0,1.0,6.666666666666667,True,6.666666666666667
Jamestown Elementary School,2028,jan2024,jan2025,5,15.0,17.0,2.0,13.333333333333334,True,13.333333333333334
Kohl Elementary School,2025,jan2024,jan2025,2,234.0,247.0,13.0,5.555555555555555,False,5.555555555555555
Kohl Elementary School,2026,jan2024,jan2025,3,227.0,245.0,18.0,7.929515418502203,False,7.929515418502203
Kohl Elementary School,2027,jan2024,jan2025,4,221.0,237.0,16.0,7.239819004524887,False,7.239819004524887
Kohl Elementary School,2028,jan2024,jan2025,5,222.0,227.0,5.0,2.2522522522522523,False,2.2522522522522523
Lafayette Elementary School,2025,jan2024,jan2025,2,453.0,464.0,11.0,2.4282560706401766,False,2.4282560706401766
Lafayette Elementary School,2026,jan2024,jan2025,3,440.0,478.0,38.0,8.636363636363637,False,8.636363636363637
Lafayette Elementary School,2027,jan2024,jan2025,4,412.0,460.0,48.0,11.650485436893204,False,11.650485436893204
Lafayette Elementary School,2028,jan2024,jan2025,5,397.0,435.0,38.0,9.571788413098236,False,9.571788413098236
Louisville Elementary School,2025,jan2024,jan2025,2,393.0,407.0,14.0,3.5623409669211195,False,3.5623409669211195
Louisville Elementary School,2026,jan2024,jan2025,3,391.0,388.0,-3.0,-0.7672634271099744,False,0.7672634271099744
Louisville Elementary School,2027,jan2024,jan2025,4,377.0,367.0,-10.0,-2.6525198938992043,False,2.6525198938992043
Louisville Elementary School,2028,jan2024,jan2025,5,384.0,370.0,-14.0,-3.6458333333333335,False,3.6458333333333335
Meadowlark School,2025,jan2024,jan2025,2,471.0,453.0,-18.0,-3.821656050955414,False,3.821656050955414
