school,capacity,school_year,projected_enrollment,data_type,vintage,_source,_source_line
Alicia Sanchez Int'l School,418,2027-28,284,projection,feb2026,data/raw/enrollmentdata/maps/index.html,918
Alicia Sanchez Int'l School,418,2028-29,278,projection,feb2026,data/raw/enrollmentdata/maps/index.html,918
Alicia Sanchez Int'l School,418,2029-30,289,projection,feb2026,data/raw/enrollmentdata/maps/index.html,918
Alicia Sanchez Int'l School,418,2030-31,298,projection,feb2026,data/raw/enrollmentdata/maps/index.html,918
University Hill Elementary,590,2026-27,359,projection,feb2026,data/raw/enrollmentdata/maps/index.html,919
University Hill Elementary,590,2027-28,348,projection,feb2026,data/raw/enrollmentdata/maps/index.html,919
University Hill Elementary,590,2028-29,336,projection,feb2026,data/raw/enrollmentdata/maps/index.html,919
University Hill Elementary,590,2029-30,338,projection,feb2026,data/raw/enrollmentdata/maps/index.html,919
University Hill Elementary,590,2030-31,345,projection,feb2026,data/raw/enrollmentdata/maps/index.html,919
Whittier International Elementary,442,2026-27,256,projection,feb2026,data/raw/enrollmentdata/maps/index.html,920
Whittier International Elementary,442,2027-28,256,projection,feb2026,data/raw/enrollmentdata/maps/index.html,920
Whittier International Elementary,442,2028-29,247,projection,feb2026,data/raw/enrollmentdata/maps/index.html,920
Whittier International Elementary,442,2029-30,236,projection,feb2026,data/raw/enrollmentdata/maps/index.html,920
Whittier International Elementary,442,2030-31,232,projection,feb2026,data/raw/enrollmentdata/maps/index.html,920
Bear Creek Elementary,492,2026-27,299,projection,feb2026,data/raw/enrollmentdata/maps/index.html,921
Bear Creek Elementary,492,2027-28,293,projection,feb2026,data/raw/enrollmentdata/maps/index.html,921
Bear Creek Elementary,492,2028-29,288,projection,feb2026,data/raw/enrollmentdata/maps/index.html,921
Bear Creek Elementary,492,2029-30,310,projection,feb2026,data/raw/enrollmentdata/maps/index.html,921
Bear Creek Elementary,492,2030-31,320,projection,feb2026,data/raw/enrollmentdata/maps/index.html,921
Birch Elementary,418,2026-27,238,projection,feb2026,data/raw/enrollmentdata/maps/index.html,922
Birch Elementary,418,2027-28,215,projection,feb2026,data/raw/enrollmentdata/maps/index.html,922
Birch Elementary,418,2028-29,205,projection,feb2026,data/raw/enrollmentdata/maps/index.html,922
Birch Elementary,418,2029-30,211,projection,feb2026,data/raw/enrollmentdata/maps/index.html,922
Birch Elementary,418,2030-31,208,projection,feb2026,data/raw/enrollmentdata/maps/index.html,922
Emerald Elementary,393,2026-27,355,projection,feb2026,data/raw/enrollmentdata/maps/index.html,923
Emerald Elementary,393,2027-28,341,projection,feb2026,data/raw/enrollmentdata/maps/index.html,923
Emerald Elementary,393,2028-29,337,projection,feb2026,data/raw/enrollmentdata/maps/index.html,923
Emerald Elementary,393,2029-30,346,projection,feb2026,data/raw/enrollmentdata/maps/index.html,923
Emerald Elementary,393,2030-31,345,projection,feb2026,data/raw/enrollmentdata/maps/index.html,923
Escuela Bilingue Pioneer,541,2026-27,349,projection,feb2026,data/raw/enrollmentdata/maps/index.html,924
Escuela Bilingue Pioneer,541,2027-28,341,projection,feb2026,data/raw/enrollmentdata/maps/index.html,924
Escuela Bilingue Pioneer,541,2028-29,337,projection,feb2026,data/raw/enrollmentdata/maps/index.html,924
Escuela Bilingue Pioneer,541,2029-30,336,projection,feb2026,data/raw/enrollmentdata/maps/index.html,924
Escuela Bilingue Pioneer,541,2030-31,343,projection,feb2026,data/raw/enrollmentdata/maps/index.html,924
