school_as_printed,school_year,headcount_prior_year_as_printed,funded_headcount,funded_fte,_source,_page,PK,K,G1,G2,G3,G4,G5,grade_sum_K5,grade_check
Eisenhower Elementary School,2020-21,402,336,336.0,data/raw/bvsd/pupil_count/2020-21_cde_headcount_summary_v3.pdf,1,0.0,44.0,50.0,52.0,62.0,69.0,59.0,336.0,True
Eldorado K-8,2020-21,391,330,320.0,data/raw/bvsd/pupil_count/2020-21_cde_headcount_summary_v3.pdf,1,20.0,39.0,45.0,49.0,57.0,53.0,67.0,310.0,True
Emerald Elementary School,2020-21,419,381,359.0,data/raw/bvsd/pupil_count/2020-21_cde_headcount_summary_v3.pdf,1,43.0,65.0,53.0,64.0,56.0,49.0,51.0,338.0,True
Fireside Elementary School,2020-21,468,415,395.0,data/raw/bvsd/pupil_count/2020-21_cde_headcount_summary_v3.pdf,1,39.0,57.0,65.0,52.0,62.0,72.0,68.0,376.0,True
Flatirons Elementary School,2020-21,211,172,172.0,data/raw/bvsd/pupil_count/2020-21_cde_headcount_summary_v3.pdf,1,0.0,23.0,30.0,21.0,43.0,17.0,38.0,172.0,True
Foothill Elementary School,2020-21,456,421,420.5,data/raw/bvsd/pupil_count/2020-21_cde_headcount_summary_v3.pdf,1,0.0,54.0,57.0,71.0,79.0,80.0,80.0,421.0,True
Gold Hill Elementary School,2020-21,20,25,25.0,data/raw/bvsd/pupil_count/2020-21_cde_headcount_summary_v3.pdf,1,0.0,5.0,2.0,6.0,4.0,3.0,5.0,25.0,True
Halcyon School,2020-21,0,4,4.0,data/raw/bvsd/pupil_count/2020-21_cde_headcount_summary_v3.pdf,1,0.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,True
Heatherwood Elementary School,2020-21,285,242,233.0,data/raw/bvsd/pupil_count/2020-21_cde_headcount_summary_v3.pdf,1,18.0,39.0,34.0,38.0,38.0,36.0,39.0,224.0,True
High Peaks Elementary,2020-21,296,273,273.0,data/raw/bvsd/pupil_count/2020-21_cde_headcount_summary_v3.pdf,1,0.0,36.0,42.0,45.0,48.0,52.0,50.0,273.0,True
Horizons K-8 School,2020-21,230,229,229.0,data/raw/bvsd/pupil_count/2020-21_cde_headcount_summary_v3.pdf,1,0.0,36.0,37.0,39.0,39.0,37.0,41.0,229.0,True
Jamestown Elementary School,2020-21,20,19,19.0,data/raw/bvsd/pupil_count/2020-21_cde_headcount_summary_v3.pdf,1,0.0,2.0,4.0,3.0,1.0,3.0,6.0,19.0,True
Kohl Elementary School,2020-21,378,308,300.5,data/raw/bvsd/pupil_count/2020-21_cde_headcount_summary_v3.pdf,1,15.0,38.0,41.0,51.0,52.0,66.0,45.0,293.0,True
Lafayette Elementary School,2020-21,491,435,422.5,data/raw/bvsd/pupil_count/2020-21_cde_headcount_summary_v3.pdf,1,25.0,51.0,75.0,67.0,73.0,76.0,68.0,410.0,True
Louisville Elementary School,2020-21,516,449,448.5,data/raw/bvsd/pupil_count/2020-21_cde_headcount_summary_v3.pdf,1,0.0,45.0,76.0,70.0,71.0,90.0,97.0,449.0,True
Mapleton Early Childhood Center,2020-21,78,86,55.0,data/raw/bvsd/pupil_count/2020-21_cde_headcount_summary_v3.pdf,1,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Meadowlark School,2020-21,483,473,454.0,data/raw/bvsd/pupil_count/2020-21_cde_headcount_summary_v3.pdf,1,37.0,63.0,90.0,84.0,71.0,70.0,58.0,436.0,True
Mesa Elementary School,2020-21,261,235,233.5,data/raw/bvsd/pupil_count/2020-21_cde_headcount_summary_v3.pdf,1,0.0,33.0,30.0,41.0,42.0,40.0,49.0,235.0,True
Monarch K-8 School,2020-21,384,330,314.0,data/raw/bvsd/pupil_count/2020-21_cde_headcount_summary_v3.pdf,1,32.0,36.0,56.0,39.0,51.0,61.0,55.0,298.0,True
Nederland Elementary School,2020-21,244,201,189.5,data/raw/bvsd/pupil_count/2020-21_cde_headcount_summary_v3.pdf,1,23.0,20.0,29.0,26.0,32.0,36.0,35.0,178.0,True
Peak to Peak K-12 Charter,2020-21,453,453,452.5,data/raw/bvsd/pupil_count/2020-21_cde_headcount_summary_v3.pdf,1,0.0,72.0,72.0,72.0,78.0,81.0,78.0,453.0,True
Pioneer Elementary School,2020-21,473,471,448.0,data/raw/bvsd/pupil_count/2020-21_cde_headcount_summary_v3.pdf,1,46.0,72.0,76.0,70.0,69.0,75.0,63.0,425.0,True
Ryan Elementary School,2020-21,549,451,434.5,data/raw/bvsd/pupil_count/2020-21_cde_headcount_summary_v3.pdf,1,31.0,54.0,68.0,80.0,68.0,77.0,73.0,420.0,True
Superior Elementary School,2020-21,434,417,417.0,data/raw/bvsd/pupil_count/2020-21_cde_headcount_summary_v3.pdf,1,0.0,58.0,62.0,75.0,66.0,91.0,65.0,417.0,True
University Hill Elementary School,2020-21,452,429,413.0,data/raw/bvsd/pupil_count/2020-21_cde_headcount_summary_v3.pdf,1,32.0,68.0,73.0,63.0,64.0,63.0,66.0,397.0,True
Whittier International Elementary,2020-21,378,329,328.5,data/raw/bvsd/pupil_count/2020-21_cde_headcount_summary_v3.pdf,1,0.0,37.0,46.0,65.0,65.0,48.0,68.0,329.0,True
Alicia Sanchez Elementary School,2021-22,301,330,310.0,data/raw/bvsd/pupil_count/2021-22_cde_headcount_summary.pdf,1,40.0,44.0,53.0,51.0,38.0,56.0,48.0,290.0,True
Aspen Creek K-8,2021-22,367,385,373.5,data/raw/bvsd/pupil_count/2021-22_cde_headcount_summary.pdf,1,21.0,51.0,60.0,59.0,57.0,60.0,77.0,364.0,True
BCSIS,2021-22,285,286,286.0,data/raw/bvsd/pupil_count/2021-22_cde_headcount_summary.pdf,1,0.0,46.0,49.0,47.0,50.0,50.0,44.0,286.0,True
Bear Creek Elementary,2021-22,341,346,344.5,data/raw/bvsd/pupil_count/2021-22_cde_headcount_summary.pdf,1,0.0,48.0,42.0,53.0,54.0,77.0,72.0,346.0,True
Birch Elementary,2021-22,322,334,320.5,data/raw/bvsd/pupil_count/2021-22_cde_headcount_summary.pdf,1,27.0,52.0,37.0,49.0,57.0,59.0,53.0,307.0,True
Boulder Universal,2021-22,314,96,94.0,data/raw/bvsd/pupil_count/2021-22_cde_headcount_summary.pdf,1,0.0,13.0,11.0,14.0,18.0,12.0,28.0,96.0,True
Coal Creek Elementary School,2021-22,333,371,369.0,data/raw/bvsd/pupil_count/2021-22_cde_headcount_summary.pdf,1,0.0,50.0,61.0,55.0,63.0,63.0,79.0,371.0,True
Colorado Preschool Program,2021-22,67,87,56.5,data/raw/bvsd/pupil_count/2021-22_cde_headcount_summary.pdf,1,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Columbine Elementary School,2021-22,428,410,386.0,data/raw/bvsd/pupil_count/2021-22_cde_headcount_summary.pdf,1,48.0,53.0,53.0,64.0,54.0,70.0,68.0,362.0,True
Community Montessori,2021-22,208,211,211.0,data/raw/bvsd/pupil_count/2021-22_cde_headcount_summary.pdf,1,0.0,35.0,38.0,40.0,33.0,33.0,32.0,211.0,True
Creekside Elementary at Martin Park,2021-22,342,337,319.0,data/raw/bvsd/pupil_count/2021-22_cde_headcount_summary.pdf,1,36.0,55.0,50.0,57.0,51.0,46.0,42.0,301.0,True
Crest View Elementary,2021-22,445,447,446.0,data/raw/bvsd/pupil_count/2021-22_cde_headcount_summary.pdf,1,0.0,70.0,59.0,82.0,72.0,75.0,89.0,447.0,True
Douglass Elementary School,2021-22,311,309,298.0,data/raw/bvsd/pupil_count/2021-22_cde_headcount_summary.pdf,1,19.0,37.0,37.0,51.0,55.0,69.0,41.0,290.0,True
Eisenhower Elementary School,2021-22,336,353,352.5,data/raw/bvsd/pupil_count/2021-22_cde_headcount_summary.pdf,1,0.0,46.0,64.0,52.0,58.0,57.0,76.0,353.0,True
Eldorado K-8,2021-22,330,304,297.5,data/raw/bvsd/pupil_count/2021-22_cde_headcount_summary.pdf,1,9.0,43.0,48.0,48.0,54.0,63.0,39.0,295.0,True
Emerald Elementary School,2021-22,381,376,357.5,data/raw/bvsd/pupil_count/2021-22_cde_headcount_summary.pdf,1,37.0,59.0,59.0,54.0,61.0,59.0,47.0,339.0,True
Fireside Elementary School,2021-22,415,453,433.0,data/raw/bvsd/pupil_count/2021-22_cde_headcount_summary.pdf,1,39.0,69.0,72.0,73.0,63.0,62.0,75.0,414.0,True
Flatirons Elementary School,2021-22,172,182,181.5,data/raw/bvsd/pupil_count/2021-22_cde_headcount_summary.pdf,1,0.0,27.0,28.0,28.0,30.0,44.0,25.0,182.0,True
Foothill Elementary School,2021-22,421,434,433.5,data/raw/bvsd/pupil_count/2021-22_cde_headcount_summary.pdf,1,0.0,53.0,67.0,63.0,80.0,89.0,82.0,434.0,True
Gold Hill Elementary School,2021-22,25,17,17.0,data/raw/bvsd/pupil_count/2021-22_cde_headcount_summary.pdf,1,0.0,4.0,2.0,2.0,2.0,5.0,2.0,17.0,True
Halcyon School,2021-22,4,1,1.0,data/raw/bvsd/pupil_count/2021-22_cde_headcount_summary.pdf,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,True
Heatherwood Elementary School,2021-22,242,253,243.5,data/raw/bvsd/pupil_count/2021-22_cde_headcount_summary.pdf,1,18.0,40.0,41.0,38.0,36.0,43.0,37.0,235.0,True
High Peaks Elementary,2021-22,273,259,259.0,data/raw/bvsd/pupil_count/2021-22_cde_headcount_summary.pdf,1,0.0,35.0,39.0,40.0,51.0,46.0,48.0,259.0,True
Horizons K-8 School,2021-22,229,232,232.0,data/raw/bvsd/pupil_count/2021-22_cde_headcount_summary.pdf,1,0.0,36.0,36.0,40.0,42.0,39.0,39.0,232.0,True
Jamestown Elementary School,2021-22,19,20,20.0,data/raw/bvsd/pupil_count/2021-22_cde_headcount_summary.pdf,1,0.0,3.0,3.0,4.0,5.0,2.0,3.0,20.0,True
Kohl Elementary School,2021-22,308,311,300.5,data/raw/bvsd/pupil_count/2021-22_cde_headcount_summary.pdf,1,21.0,43.0,43.0,45.0,45.0,52.0,62.0,290.0,True
Lafayette Elementary School,2021-22,435,471,460.0,data/raw/bvsd/pupil_count/2021-22_cde_headcount_summary.pdf,1,21.0,75.0,72.0,74.0,70.0,77.0,82.0,450.0,True
Louisville Elementary School,2021-22,449,452,452.0,data/raw/bvsd/pupil_count/2021-22_cde_headcount_summary.pdf,1,0.0,66.0,63.0,80.0,69.0,83.0,91.0,452.0,True
Mapleton Early Childhood Center,2021-22,86,77,48.5,data/raw/bvsd/pupil_count/2021-22_cde_headcount_summary.pdf,1,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Meadowlark School,2021-22,473,479,464.0,data/raw/bvsd/pupil_count/2021-22_cde_headcount_summary.pdf,1,29.0,72.0,68.0,91.0,79.0,75.0,65.0,450.0,True
Mesa Elementary School,2021-22,235,247,246.5,data/raw/bvsd/pupil_count/2021-22_cde_headcount_summary.pdf,1,0.0,34.0,44.0,37.0,41.0,48.0,43.0,247.0,True
Monarch K-8 School,2021-22,330,318,303.5,data/raw/bvsd/pupil_count/2021-22_cde_headcount_summary.pdf,1,29.0,35.0,39.0,50.0,47.0,54.0,64.0,289.0,True
Nederland Elementary School,2021-22,201,199,190.5,data/raw/bvsd/pupil_count/2021-22_cde_headcount_summary.pdf,1,17.0,36.0,20.0,32.0,26.0,33.0,35.0,182.0,True
Peak to Peak K-12 Charter,2021-22,453,453,453.0,data/raw/bvsd/pupil_count/2021-22_cde_headcount_summary.pdf,1,0.0,72.0,72.0,75.0,78.0,78.0,78.0,453.0,True
Pioneer Elementary School,2021-22,471,465,447.5,data/raw/bvsd/pupil_count/2021-22_cde_headcount_summary.pdf,1,35.0,73.0,77.0,74.0,71.0,65.0,70.0,430.0,True
Ryan Elementary School,2021-22,451,477,464.5,data/raw/bvsd/pupil_count/2021-22_cde_headcount_summary.pdf,1,24.0,86.0,58.0,69.0,84.0,75.0,81.0,453.0,True
Superior Elementary School,2021-22,417,453,452.0,data/raw/bvsd/pupil_count/2021-22_cde_headcount_summary.pdf,1,0.0,58.0,76.0,74.0,80.0,67.0,98.0,453.0,True
University Hill Elementary School,2021-22,429,424,409.5,data/raw/bvsd/pupil_count/2021-22_cde_headcount_summary.pdf,1,29.0,67.0,65.0,72.0,70.0,58.0,63.0,395.0,True
Whittier International Elementary,2021-22,329,325,324.0,data/raw/bvsd/pupil_count/2021-22_cde_headcount_summary.pdf,1,0.0,43.0,51.0,42.0,74.0,69.0,46.0,325.0,True
Alicia Sanchez Elementary School,2022-23,330,339,320.0,data/raw/bvsd/pupil_count/2022-23_cde_headcount_summary.pdf,1,37.0,57.0,48.0,50.0,45.0,44.0,58.0,302.0,True
Aspen Creek K-8,2022-23,385,405,390.5,data/raw/bvsd/pupil_count/2022-23_cde_headcount_summary.pdf,1,27.0,58.0,58.0,67.0,63.0,63.0,69.0,378.0,True
BCSIS,2022-23,286,284,284.0,data/raw/bvsd/pupil_count/2022-23_cde_headcount_summary.pdf,1,0.0,37.0,44.0,50.0,48.0,52.0,53.0,284.0,True
Bear Creek Elementary,2022-23,346,342,342.0,data/raw/bvsd/pupil_count/2022-23_cde_headcount_summary.pdf,1,0.0,50.0,50.0,46.0,57.0,57.0,82.0,342.0,True
Birch Elementary,2022-23,334,333,321.0,data/raw/bvsd/pupil_count/2022-23_cde_headcount_summary.pdf,1,24.0,48.0,54.0,44.0,50.0,54.0,59.0,309.0,True
Boulder Universal,2022-23,96,33,33.0,data/raw/bvsd/pupil_count/2022-23_cde_headcount_summary.pdf,1,0.0,5.0,5.0,2.0,5.0,8.0,8.0,33.0,True
Coal Creek Elementary School,2022-23,371,330,329.5,data/raw/bvsd/pupil_count/2022-23_cde_headcount_summary.pdf,1,0.0,38.0,57.0,60.0,53.0,62.0,60.0,330.0,True
Colorado Preschool Program,2022-23,87,77,52.0,data/raw/bvsd/pupil_count/2022-23_cde_headcount_summary.pdf,1,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Columbine Elementary School,2022-23,410,402,380.5,data/raw/bvsd/pupil_count/2022-23_cde_headcount_summary.pdf,1,43.0,54.0,56.0,53.0,63.0,60.0,73.0,359.0,True
Community Montessori,2022-23,211,224,223.0,data/raw/bvsd/pupil_count/2022-23_cde_headcount_summary.pdf,1,0.0,41.0,33.0,45.0,40.0,33.0,32.0,224.0,True
Creekside Elementary at Martin Park,2022-23,337,376,355.5,data/raw/bvsd/pupil_count/2022-23_cde_headcount_summary.pdf,1,39.0,56.0,55.0,60.0,63.0,55.0,48.0,337.0,True
Crest View Elementary,2022-23,447,434,433.0,data/raw/bvsd/pupil_count/2022-23_cde_headcount_summary.pdf,1,0.0,60.0,75.0,65.0,82.0,76.0,76.0,434.0,True
Douglass Elementary School,2022-23,309,325,310.0,data/raw/bvsd/pupil_count/2022-23_cde_headcount_summary.pdf,1,27.0,42.0,43.0,35.0,50.0,57.0,71.0,298.0,True
Eisenhower Elementary School,2022-23,353,303,303.0,data/raw/bvsd/pupil_count/2022-23_cde_headcount_summary.pdf,1,0.0,41.0,43.0,59.0,49.0,58.0,53.0,303.0,True
Eldorado K-8,2022-23,304,301,293.0,data/raw/bvsd/pupil_count/2022-23_cde_headcount_summary.pdf,1,14.0,32.0,47.0,43.0,52.0,52.0,61.0,287.0,True
Emerald Elementary School,2022-23,376,407,387.0,data/raw/bvsd/pupil_count/2022-23_cde_headcount_summary.pdf,1,40.0,64.0,55.0,63.0,56.0,66.0,63.0,367.0,True
Fireside Elementary School,2022-23,453,429,406.0,data/raw/bvsd/pupil_count/2022-23_cde_headcount_summary.pdf,1,45.0,58.0,66.0,71.0,69.0,62.0,58.0,384.0,True
Flatirons Elementary School,2022-23,182,181,181.0,data/raw/bvsd/pupil_count/2022-23_cde_headcount_summary.pdf,1,0.0,29.0,26.0,26.0,29.0,29.0,42.0,181.0,True
Foothill Elementary School,2022-23,434,437,436.0,data/raw/bvsd/pupil_count/2022-23_cde_headcount_summary.pdf,1,0.0,70.0,63.0,67.0,66.0,83.0,88.0,437.0,True
Gold Hill Elementary School,2022-23,17,15,15.0,data/raw/bvsd/pupil_count/2022-23_cde_headcount_summary.pdf,1,0.0,1.0,3.0,2.0,2.0,2.0,5.0,15.0,True
Halcyon School,2022-23,1,2,2.0,data/raw/bvsd/pupil_count/2022-23_cde_headcount_summary.pdf,1,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,True
Heatherwood Elementary School,2022-23,253,253,241.5,data/raw/bvsd/pupil_count/2022-23_cde_headcount_summary.pdf,1,20.0,26.0,43.0,37.0,44.0,37.0,46.0,233.0,True
High Peaks Elementary,2022-23,259,265,265.0,data/raw/bvsd/pupil_count/2022-23_cde_headcount_summary.pdf,1,0.0,43.0,43.0,41.0,44.0,49.0,45.0,265.0,True
Horizons K-8 School,2022-23,232,230,230.0,data/raw/bvsd/pupil_count/2022-23_cde_headcount_summary.pdf,1,0.0,34.0,36.0,39.0,39.0,42.0,40.0,230.0,True
Jamestown Elementary School,2022-23,20,17,17.0,data/raw/bvsd/pupil_count/2022-23_cde_headcount_summary.pdf,1,0.0,2.0,3.0,2.0,4.0,5.0,1.0,17.0,True
Kohl Elementary School,2022-23,311,291,279.0,data/raw/bvsd/pupil_count/2022-23_cde_headcount_summary.pdf,1,24.0,45.0,47.0,40.0,42.0,46.0,47.0,267.0,True
Lafayette Elementary School,2022-23,471,482,457.0,data/raw/bvsd/pupil_count/2022-23_cde_headcount_summary.pdf,1,50.0,63.0,74.0,72.0,77.0,69.0,77.0,432.0,True
Louisville Elementary School,2022-23,452,451,449.5,data/raw/bvsd/pupil_count/2022-23_cde_headcount_summary.pdf,1,0.0,58.0,75.0,72.0,79.0,76.0,91.0,451.0,True
Mapleton Early Childhood Center,2022-23,77,64,42.0,data/raw/bvsd/pupil_count/2022-23_cde_headcount_summary.pdf,1,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Meadowlark School,2022-23,479,515,494.5,data/raw/bvsd/pupil_count/2022-23_cde_headcount_summary.pdf,1,40.0,68.0,83.0,73.0,90.0,82.0,79.0,475.0,True
Mesa Elementary School,2022-23,247,246,245.0,data/raw/bvsd/pupil_count/2022-23_cde_headcount_summary.pdf,1,0.0,27.0,39.0,43.0,42.0,46.0,49.0,246.0,True
Monarch K-8 School,2022-23,318,327,306.5,data/raw/bvsd/pupil_count/2022-23_cde_headcount_summary.pdf,1,41.0,34.0,34.0,47.0,57.0,52.0,62.0,286.0,True
Nederland Elementary School,2022-23,199,193,181.5,data/raw/bvsd/pupil_count/2022-23_cde_headcount_summary.pdf,1,23.0,23.0,35.0,23.0,30.0,28.0,31.0,170.0,True
Peak to Peak K-12 Charter,2022-23,453,449,449.0,data/raw/bvsd/pupil_count/2022-23_cde_headcount_summary.pdf,1,0.0,71.0,72.0,71.0,78.0,78.0,79.0,449.0,True
Pioneer Elementary School,2022-23,465,445,423.0,data/raw/bvsd/pupil_count/2022-23_cde_headcount_summary.pdf,1,44.0,76.0,67.0,67.0,72.0,62.0,57.0,401.0,True
Ryan Elementary School,2022-23,477,416,415.0,data/raw/bvsd/pupil_count/2022-23_cde_headcount_summary.pdf,1,0.0,70.0,80.0,57.0,63.0,77.0,69.0,416.0,True
Superior Elementary School,2022-23,453,420,420.0,data/raw/bvsd/pupil_count/2022-23_cde_headcount_summary.pdf,1,0.0,68.0,61.0,78.0,70.0,76.0,67.0,420.0,True
University Hill Elementary School,2022-23,424,405,391.0,data/raw/bvsd/pupil_count/2022-23_cde_headcount_summary.pdf,1,28.0,61.0,64.0,66.0,66.0,64.0,56.0,377.0,True
Whittier International Elementary,2022-23,325,329,329.0,data/raw/bvsd/pupil_count/2022-23_cde_headcount_summary.pdf,1,0.0,48.0,44.0,50.0,54.0,68.0,65.0,329.0,True
Alicia Sanchez Elementary School,2023-24,302,285,284.5,data/raw/bvsd/pupil_count/2023-24_cde_headcount_summary.pdf,1,,31.0,52.0,49.0,45.0,52.0,56.0,285.0,True
Aspen Creek K-8,2023-24,378,420,418.5,data/raw/bvsd/pupil_count/2023-24_cde_headcount_summary.pdf,1,,61.0,67.0,72.0,72.0,75.0,73.0,420.0,True
BCSIS,2023-24,284,265,264.0,data/raw/bvsd/pupil_count/2023-24_cde_headcount_summary.pdf,1,,38.0,37.0,48.0,43.0,45.0,54.0,265.0,True
Bear Creek Elementary,2023-24,342,298,298.0,data/raw/bvsd/pupil_count/2023-24_cde_headcount_summary.pdf,1,,32.0,53.0,49.0,45.0,59.0,60.0,298.0,True
Birch Elementary,2023-24,309,279,279.0,data/raw/bvsd/pupil_count/2023-24_cde_headcount_summary.pdf,1,,36.0,49.0,51.0,43.0,47.0,53.0,279.0,True
Boulder Universal,2023-24,33,42,42.0,data/raw/bvsd/pupil_count/2023-24_cde_headcount_summary.pdf,1,,3.0,5.0,9.0,5.0,10.0,10.0,42.0,True
Coal Creek Elementary School,2023-24,330,305,305.0,data/raw/bvsd/pupil_count/2023-24_cde_headcount_summary.pdf,1,,38.0,40.0,55.0,59.0,52.0,61.0,305.0,True
Columbine Elementary School,2023-24,359,352,351.5,data/raw/bvsd/pupil_count/2023-24_cde_headcount_summary.pdf,1,,55.0,51.0,54.0,61.0,62.0,69.0,352.0,True
Community Montessori,2023-24,224,227,227.0,data/raw/bvsd/pupil_count/2023-24_cde_headcount_summary.pdf,1,,41.0,40.0,35.0,43.0,37.0,31.0,227.0,True
Creekside Elementary at Martin Park,2023-24,337,333,332.0,data/raw/bvsd/pupil_count/2023-24_cde_headcount_summary.pdf,1,,43.0,59.0,61.0,55.0,58.0,57.0,333.0,True
Crest View Elementary,2023-24,434,410,409.5,data/raw/bvsd/pupil_count/2023-24_cde_headcount_summary.pdf,1,,49.0,60.0,77.0,65.0,86.0,73.0,410.0,True
Douglass Elementary School,2023-24,298,286,285.0,data/raw/bvsd/pupil_count/2023-24_cde_headcount_summary.pdf,1,,42.0,50.0,45.0,37.0,56.0,56.0,286.0,True
Eisenhower Elementary School,2023-24,303,311,310.5,data/raw/bvsd/pupil_count/2023-24_cde_headcount_summary.pdf,1,,45.0,44.0,43.0,64.0,52.0,63.0,311.0,True
Eldorado K-8,2023-24,287,263,263.0,data/raw/bvsd/pupil_count/2023-24_cde_headcount_summary.pdf,1,,25.0,33.0,56.0,46.0,50.0,53.0,263.0,True
Emerald Elementary School,2023-24,367,355,355.0,data/raw/bvsd/pupil_count/2023-24_cde_headcount_summary.pdf,1,,45.0,60.0,62.0,63.0,59.0,66.0,355.0,True
Fireside Elementary School,2023-24,384,396,396.0,data/raw/bvsd/pupil_count/2023-24_cde_headcount_summary.pdf,1,,58.0,66.0,66.0,75.0,69.0,62.0,396.0,True
Flatirons Elementary School,2023-24,181,164,163.0,data/raw/bvsd/pupil_count/2023-24_cde_headcount_summary.pdf,1,,26.0,32.0,24.0,25.0,31.0,26.0,164.0,True
Foothill Elementary School,2023-24,437,437,436.5,data/raw/bvsd/pupil_count/2023-24_cde_headcount_summary.pdf,1,,72.0,72.0,67.0,71.0,71.0,84.0,437.0,True
Gold Hill Elementary School,2023-24,15,12,12.0,data/raw/bvsd/pupil_count/2023-24_cde_headcount_summary.pdf,1,,3.0,4.0,2.0,1.0,1.0,1.0,12.0,True
Halcyon School,2023-24,2,3,3.0,data/raw/bvsd/pupil_count/2023-24_cde_headcount_summary.pdf,1,,0.0,0.0,0.0,0.0,0.0,3.0,3.0,True
Heatherwood Elementary School,2023-24,233,226,223.5,data/raw/bvsd/pupil_count/2023-24_cde_headcount_summary.pdf,1,,37.0,28.0,43.0,41.0,43.0,34.0,226.0,True
High Peaks Elementary,2023-24,265,245,245.0,data/raw/bvsd/pupil_count/2023-24_cde_headcount_summary.pdf,1,,26.0,42.0,41.0,45.0,41.0,50.0,245.0,True
Horizons K-8 School,2023-24,230,242,242.0,data/raw/bvsd/pupil_count/2023-24_cde_headcount_summary.pdf,1,,32.0,39.0,40.0,41.0,43.0,47.0,242.0,True
Jamestown Elementary School,2023-24,17,18,18.0,data/raw/bvsd/pupil_count/2023-24_cde_headcount_summary.pdf,1,,4.0,2.0,3.0,2.0,3.0,4.0,18.0,True
Kohl Elementary School,2023-24,267,251,251.0,data/raw/bvsd/pupil_count/2023-24_cde_headcount_summary.pdf,1,,33.0,42.0,42.0,39.0,47.0,48.0,251.0,True
Lafayette Elementary School,2023-24,432,444,443.5,data/raw/bvsd/pupil_count/2023-24_cde_headcount_summary.pdf,1,,64.0,70.0,82.0,74.0,83.0,71.0,444.0,True
Louisville Elementary School,2023-24,451,422,420.5,data/raw/bvsd/pupil_count/2023-24_cde_headcount_summary.pdf,1,,58.0,54.0,74.0,72.0,83.0,81.0,422.0,True
Meadowlark School,2023-24,475,464,464.0,data/raw/bvsd/pupil_count/2023-24_cde_headcount_summary.pdf,1,,65.0,68.0,87.0,70.0,90.0,84.0,464.0,True
Mesa Elementary School,2023-24,246,233,233.0,data/raw/bvsd/pupil_count/2023-24_cde_headcount_summary.pdf,1,,26.0,33.0,34.0,44.0,46.0,50.0,233.0,True
Monarch K-8 School,2023-24,286,274,272.5,data/raw/bvsd/pupil_count/2023-24_cde_headcount_summary.pdf,1,,39.0,36.0,40.0,47.0,58.0,54.0,274.0,True
Nederland Elementary School,2023-24,170,165,165.0,data/raw/bvsd/pupil_count/2023-24_cde_headcount_summary.pdf,1,,24.0,21.0,35.0,27.0,28.0,30.0,165.0,True
Peak to Peak K-12 Charter,2023-24,449,447,446.5,data/raw/bvsd/pupil_count/2023-24_cde_headcount_summary.pdf,1,,69.0,72.0,72.0,78.0,78.0,78.0,447.0,True
Pioneer Elementary School,2023-24,401,415,415.0,data/raw/bvsd/pupil_count/2023-24_cde_headcount_summary.pdf,1,,75.0,75.0,64.0,68.0,69.0,64.0,415.0,True
Ryan Elementary School,2023-24,416,426,425.0,data/raw/bvsd/pupil_count/2023-24_cde_headcount_summary.pdf,1,,71.0,69.0,83.0,58.0,68.0,77.0,426.0,True
Superior Elementary School,2023-24,420,429,428.5,data/raw/bvsd/pupil_count/2023-24_cde_headcount_summary.pdf,1,,74.0,71.0,64.0,82.0,70.0,68.0,429.0,True
University Hill Elementary School,2023-24,377,372,372.0,data/raw/bvsd/pupil_count/2023-24_cde_headcount_summary.pdf,1,,54.0,67.0,59.0,64.0,62.0,66.0,372.0,True
Whittier International Elementary,2023-24,329,291,290.5,data/raw/bvsd/pupil_count/2023-24_cde_headcount_summary.pdf,1,,44.0,46.0,36.0,50.0,56.0,59.0,291.0,True
Alicia Sanchez Elementary School,2024-25,285,290,290.0,data/raw/bvsd/pupil_count/2024-25_cde_headcount_summary.pdf,1,,48.0,42.0,50.0,48.0,50.0,52.0,290.0,True
Aspen Creek K-8,2024-25,420,443,443.0,data/raw/bvsd/pupil_count/2024-25_cde_headcount_summary.pdf,1,,70.0,59.0,70.0,76.0,86.0,82.0,443.0,True
BCSIS,2024-25,265,254,253.0,data/raw/bvsd/pupil_count/2024-25_cde_headcount_summary.pdf,1,,42.0,40.0,38.0,48.0,42.0,44.0,254.0,True
Bear Creek Elementary,2024-25,298,318,317.5,data/raw/bvsd/pupil_count/2024-25_cde_headcount_summary.pdf,1,,51.0,39.0,54.0,54.0,57.0,63.0,318.0,True
Birch Elementary,2024-25,279,276,275.5,data/raw/bvsd/pupil_count/2024-25_cde_headcount_summary.pdf,1,,49.0,36.0,47.0,52.0,44.0,48.0,276.0,True
Boulder Universal,2024-25,42,46,46.0,data/raw/bvsd/pupil_count/2024-25_cde_headcount_summary.pdf,1,,7.0,6.0,8.0,9.0,3.0,13.0,46.0,True
Coal Creek Elementary School,2024-25,305,283,282.0,data/raw/bvsd/pupil_count/2024-25_cde_headcount_summary.pdf,1,,39.0,39.0,43.0,51.0,59.0,52.0,283.0,True
