school,capacity,capacity_rounds,enroll_base,pct_cap_base,rounds_base,base_year,proj_2025-26,pct_2025-26,rounds_2025-26,proj_2026-27,pct_2026-27,rounds_2026-27,proj_2027-28,pct_2027-28,rounds_2027-28,proj_2028-29,pct_2028-29,rounds_2028-29,proj_2029-30,pct_2029-30,rounds_2029-30,_source,_page,_table,extraction
Bear Creek,492,3.5,318,65,2.1,2024-25,308,63,2.1,302,61,2.0,290,59,1.9,274,56,1.8,272,55,1.8,data/raw/bvsd/worksession_2025-10-21.pdf,17,Elementary Attendance Area Region - Boulder (slide 17),ocr+eye
Mesa,418,3.0,230,55,1.5,2024-25,230,55,1.5,220,53,1.5,218,52,1.5,216,52,1.4,224,54,1.5,data/raw/bvsd/worksession_2025-10-21.pdf,17,Elementary Attendance Area Region - Boulder (slide 17),ocr+eye
