vintage,school,target_fall,horizon_years,projected,actual,error,pct_error,base_enroll,mountain,abs_pct_error
jan2025,Community Montessori,2025,1,232.0,193,39.0,20.207253886010363,232.0,False,20.207253886010363
jan2025,Creekside Elementary at Martin Park,2025,1,310.0,288,22.0,7.638888888888889,327.0,False,7.638888888888889
jan2025,Crest View Elementary,2025,1,362.0,330,32.0,9.696969696969697,390.0,False,9.696969696969697
jan2025,Douglass Elementary School,2025,1,272.0,281,-9.0,-3.202846975088968,282.0,False,3.202846975088968
jan2025,Eisenhower Elementary School,2025,1,267.0,265,2.0,0.7547169811320755,276.0,False,0.7547169811320755
jan2025,Eldorado K-8,2025,1,250.0,252,-2.0,-0.7936507936507936,256.0,False,0.7936507936507936
jan2025,Emerald Elementary School,2025,1,353.0,365,-12.0,-3.287671232876712,348.0,False,3.287671232876712
jan2025,Fireside Elementary School,2025,1,396.0,406,-10.0,-2.4630541871921183,397.0,False,2.4630541871921183
jan2025,Flatirons Elementary School,2025,1,165.0,151,14.0,9.271523178807946,163.0,False,9.271523178807946
jan2025,Foothill Elementary School,2025,1,422.0,434,-12.0,-2.7649769585253456,418.0,False,2.7649769585253456
jan2025,Gold Hill Elementary School,2025,1,10.0,11,-1.0,-9.090909090909092,10.0,True,9.090909090909092
jan2025,Heatherwood Elementary School,2025,1,228.0,225,3.0,1.3333333333333333,233.0,False,1.3333333333333333
jan2025,Jamestown Elementary School,2025,1,16.0,17,-1.0,-5.882352941176471,17.0,True,5.882352941176471
jan2025,Kohl Elementary School,2025,1,247.0,256,-9.0,-3.515625,254.0,False,3.515625
jan2025,Lafayette Elementary School,2025,1,464.0,450,14.0,3.111111111111111,465.0,False,3.111111111111111
jan2025,Louisville Elementary School,2025,1,407.0,382,25.0,6.544502617801047,417.0,False,6.544502617801047
jan2025,Meadowlark School,2025,1,453.0,471,-18.0,-3.821656050955414,468.0,False,3.821656050955414
jan2025,Mesa Elementary School,2025,1,230.0,224,6.0,2.6785714285714284,230.0,False,2.6785714285714284
jan2025,Monarch K-8 School,2025,1,257.0,264,-7.0,-2.6515151515151514,264.0,False,2.6515151515151514
jan2025,Nederland Elementary School,2025,1,177.0,166,11.0,6.626506024096385,172.0,False,6.626506024096385
jan2025,Pioneer Elementary School,2025,1,388.0,371,17.0,4.5822102425876015,397.0,False,4.5822102425876015
jan2025,Ryan Elementary School,2025,1,406.0,393,13.0,3.3078880407124682,410.0,False,3.3078880407124682
jan2025,Alicia Sanchez Elementary School,2025,1,306.0,276,30.0,10.869565217391305,290.0,False,10.869565217391305
jan2025,Superior Elementary School,2025,1,419.0,433,-14.0,-3.233256351039261,416.0,False,3.233256351039261
jan2025,University Hill Elementary School,2025,1,373.0,368,5.0,1.358695652173913,380.0,False,1.358695652173913
jan2025,Whittier International Elementary,2025,1,252.0,257,-5.0,-1.9455252918287937,267.0,False,1.9455252918287937
