fiscal_year,school_year,cde_school_code,school_name,bvsd_location_code,bvsd_location_label,fund,fund_label,sre,program,program_label,object,object_major_label,job_class,job_class_band,project,amount_raw_as_given,amount_usd,is_expenditure_object,source_file,sheet,sheet_row,amount_column
FY2024,2023-24,3882,Heatherwood Elementary School,144,HEATHERWOOD ELEMENTARY,13,Community Schools Fund,00,3300,Community Services,0858,0800 Other Objects,000,(none),0000,-740997,-7409.97,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,1864,Amount
FY2024,2023-24,3882,Heatherwood Elementary School,144,HEATHERWOOD ELEMENTARY,19,Preschool Fund,00,0040,General Preschool Education,0858,0800 Other Objects,000,(none),3897,-740997,-7409.97,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,1865,Amount
FY2024,2023-24,0652,Bear Creek Elementary School,119,BEAR CREEK ELEMENTARY,13,Community Schools Fund,00,3300,Community Services,0858,0800 Other Objects,000,(none),0000,-702300,-7023.00,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,1889,Amount
FY2024,2023-24,2970,Flatirons Elementary School,136,FLATIRONS ELEMENTARY,13,Community Schools Fund,00,3300,Community Services,0858,0800 Other Objects,000,(none),0000,-702300,-7023.00,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,1898,Amount
FY2024,2023-24,3882,Heatherwood Elementary School,144,HEATHERWOOD ELEMENTARY,13,Community Schools Fund,00,3300,Community Services,0858,0800 Other Objects,000,(none),0000,-702300,-7023.00,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,1900,Amount
FY2024,2023-24,3882,Heatherwood Elementary School,144,HEATHERWOOD ELEMENTARY,19,Preschool Fund,00,0040,General Preschool Education,0858,0800 Other Objects,000,(none),3897,-702300,-7023.00,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,1901,Amount
FY2024,2023-24,5838,Mesa Elementary School,166,MESA ELEMENTARY,13,Community Schools Fund,00,3300,Community Services,0858,0800 Other Objects,000,(none),0000,-702300,-7023.00,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,1910,Amount
FY2024,2023-24,0652,Bear Creek Elementary School,119,BEAR CREEK ELEMENTARY,19,Preschool Fund,00,0040,General Preschool Education,0858,0800 Other Objects,000,(none),3897,-580000,-5800.00,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,2001,Amount
FY2024,2023-24,5838,Mesa Elementary School,166,MESA ELEMENTARY,19,Preschool Fund,00,0040,General Preschool Education,0858,0800 Other Objects,000,(none),3897,-580000,-5800.00,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,2004,Amount
FY2024,2023-24,3882,Heatherwood Elementary School,144,HEATHERWOOD ELEMENTARY,12,Differentiated School Support Fund,00,0010,General Elementary Education,0858,0800 Other Objects,000,(none),0000,-357025,-3570.25,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,2225,Amount
FY2024,2023-24,0652,Bear Creek Elementary School,119,BEAR CREEK ELEMENTARY,23,Student Activities Fund (CDE: Pupil Activity),00,0010,General Elementary Education,0850,0800 Other Objects,000,(none),0000,-316925,-3169.25,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,2274,Amount
FY2024,2023-24,0652,Bear Creek Elementary School,119,BEAR CREEK ELEMENTARY,10,General Operating Fund,00,0080,General Instructional Media,0112,0100 Salaries,411,401-490 Paraeducators & Aides,0000,-250312,-2503.12,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,2378,Amount
FY2024,2023-24,0652,Bear Creek Elementary School,119,BEAR CREEK ELEMENTARY,23,Student Activities Fund (CDE: Pupil Activity),00,0010,General Elementary Education,0850,0800 Other Objects,000,(none),0000,-188391,-1883.91,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,2515,Amount
FY2024,2023-24,0652,Bear Creek Elementary School,119,BEAR CREEK ELEMENTARY,10,General Operating Fund,00,0010,General Elementary Education,0735,0700 Property,000,(none),0000,-146944,-1469.44,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,2634,Amount
FY2024,2023-24,0652,Bear Creek Elementary School,119,BEAR CREEK ELEMENTARY,10,General Operating Fund,00,0080,General Instructional Media,0252,0200 Employee Benefits,411,401-490 Paraeducators & Aides,0000,-120914,-1209.14,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,2737,Amount
FY2024,2023-24,0652,Bear Creek Elementary School,119,BEAR CREEK ELEMENTARY,23,Student Activities Fund (CDE: Pupil Activity),00,2400,Support Services - School Administration,0850,0800 Other Objects,000,(none),0000,-100000,-1000.00,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,2825,Amount
FY2024,2023-24,5838,Mesa Elementary School,166,MESA ELEMENTARY,23,Student Activities Fund (CDE: Pupil Activity),00,2100,Support Services - Students,0850,0800 Other Objects,000,(none),0000,-100000,-1000.00,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,2828,Amount
FY2024,2023-24,0652,Bear Creek Elementary School,119,BEAR CREEK ELEMENTARY,23,Student Activities Fund (CDE: Pupil Activity),00,1700,Special Education,0850,0800 Other Objects,000,(none),0000,-66199,-661.99,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,3046,Amount
FY2024,2023-24,3882,Heatherwood Elementary School,144,HEATHERWOOD ELEMENTARY,19,Preschool Fund,00,2113,Social Work Services,0251,0200 Employee Benefits,405,401-490 Paraeducators & Aides,3897,-65571,-655.71,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,3054,Amount
FY2024,2023-24,0652,Bear Creek Elementary School,119,BEAR CREEK ELEMENTARY,23,Student Activities Fund (CDE: Pupil Activity),00,1900,Cocurricular Activities,0850,0800 Other Objects,000,(none),0000,-56410,-564.10,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,3124,Amount
FY2024,2023-24,0652,Bear Creek Elementary School,119,BEAR CREEK ELEMENTARY,10,General Operating Fund,00,0080,General Instructional Media,0230,0200 Employee Benefits,411,401-490 Paraeducators & Aides,0000,-53570,-535.70,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,3159,Amount
FY2024,2023-24,0652,Bear Creek Elementary School,119,BEAR CREEK ELEMENTARY,23,Student Activities Fund (CDE: Pupil Activity),00,0010,General Elementary Education,0850,0800 Other Objects,000,(none),0000,-37509,-375.09,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,3374,Amount
FY2024,2023-24,0652,Bear Creek Elementary School,119,BEAR CREEK ELEMENTARY,23,Student Activities Fund (CDE: Pupil Activity),00,0010,General Elementary Education,0850,0800 Other Objects,000,(none),0000,-31553,-315.53,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,3459,Amount
FY2024,2023-24,0652,Bear Creek Elementary School,119,BEAR CREEK ELEMENTARY,23,Student Activities Fund (CDE: Pupil Activity),00,0010,General Elementary Education,0850,0800 Other Objects,000,(none),0000,-28935,-289.35,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,3508,Amount
FY2024,2023-24,5838,Mesa Elementary School,166,MESA ELEMENTARY,23,Student Activities Fund (CDE: Pupil Activity),00,0010,General Elementary Education,0850,0800 Other Objects,000,(none),0000,-23293,-232.93,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,3619,Amount
FY2024,2023-24,3882,Heatherwood Elementary School,144,HEATHERWOOD ELEMENTARY,23,Student Activities Fund (CDE: Pupil Activity),00,0010,General Elementary Education,0850,0800 Other Objects,000,(none),0000,-22350,-223.50,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,3643,Amount
FY2024,2023-24,0652,Bear Creek Elementary School,119,BEAR CREEK ELEMENTARY,10,General Operating Fund,00,0080,General Instructional Media,0211,0200 Employee Benefits,411,401-490 Paraeducators & Aides,0000,-9647,-96.47,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,3943,Amount
FY2024,2023-24,5838,Mesa Elementary School,166,MESA ELEMENTARY,21,Food Services Fund,00,3120,,0858,0800 Other Objects,000,(none),0000,-9400,-94.00,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,3949,Amount
FY2024,2023-24,0652,Bear Creek Elementary School,119,BEAR CREEK ELEMENTARY,23,Student Activities Fund (CDE: Pupil Activity),00,0010,General Elementary Education,0850,0800 Other Objects,000,(none),0000,-8684,-86.84,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,3967,Amount
FY2024,2023-24,0652,Bear Creek Elementary School,119,BEAR CREEK ELEMENTARY,10,General Operating Fund,00,0010,General Elementary Education,0660,0600 Supplies,000,(none),0000,-8427,-84.27,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,3981,Amount
FY2024,2023-24,2970,Flatirons Elementary School,136,FLATIRONS ELEMENTARY,23,Student Activities Fund (CDE: Pupil Activity),00,0010,General Elementary Education,0850,0800 Other Objects,000,(none),0000,-5700,-57.00,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,4070,Amount
FY2024,2023-24,5838,Mesa Elementary School,166,MESA ELEMENTARY,23,Student Activities Fund (CDE: Pupil Activity),00,0010,General Elementary Education,0850,0800 Other Objects,000,(none),0000,-5693,-56.93,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,4071,Amount
FY2024,2023-24,0652,Bear Creek Elementary School,119,BEAR CREEK ELEMENTARY,10,General Operating Fund,00,0080,General Instructional Media,0251,0200 Employee Benefits,411,401-490 Paraeducators & Aides,0000,-4087,-40.87,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,4137,Amount
FY2024,2023-24,0652,Bear Creek Elementary School,119,BEAR CREEK ELEMENTARY,10,General Operating Fund,00,0080,General Instructional Media,0221,0200 Employee Benefits,411,401-490 Paraeducators & Aides,0000,-3631,-36.31,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,4157,Amount
FY2024,2023-24,0652,Bear Creek Elementary School,119,BEAR CREEK ELEMENTARY,10,General Operating Fund,00,2222,School Library Services,0251,0200 Employee Benefits,216,201-224 Teachers and Instructional Support,0000,-2955,-29.55,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,4188,Amount
FY2024,2023-24,2970,Flatirons Elementary School,136,FLATIRONS ELEMENTARY,23,Student Activities Fund (CDE: Pupil Activity),00,2200,Support Services - Instructional Staff,0850,0800 Other Objects,000,(none),0000,-2400,-24.00,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,4220,Amount
FY2024,2023-24,0652,Bear Creek Elementary School,119,BEAR CREEK ELEMENTARY,10,General Operating Fund,00,2222,School Library Services,0213,0200 Employee Benefits,216,201-224 Teachers and Instructional Support,0000,-1575,-15.75,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,4278,Amount
FY2024,2023-24,0652,Bear Creek Elementary School,119,BEAR CREEK ELEMENTARY,23,Student Activities Fund (CDE: Pupil Activity),00,2100,Support Services - Students,0850,0800 Other Objects,000,(none),0000,-1487,-14.87,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,4287,Amount
FY2024,2023-24,3882,Heatherwood Elementary School,144,HEATHERWOOD ELEMENTARY,19,Preschool Fund,00,0040,General Preschool Education,0230,0200 Employee Benefits,201,201-224 Teachers and Instructional Support,3897,-240,-2.40,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,4425,Amount
FY2024,2023-24,0652,Bear Creek Elementary School,119,BEAR CREEK ELEMENTARY,10,General Operating Fund,00,2222,School Library Services,0252,0200 Employee Benefits,216,201-224 Teachers and Instructional Support,0000,-201,-2.01,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,4434,Amount
FY2024,2023-24,3882,Heatherwood Elementary School,144,HEATHERWOOD ELEMENTARY,19,Preschool Fund,00,0040,General Preschool Education,0221,0200 Employee Benefits,201,201-224 Teachers and Instructional Support,3897,-58,-0.58,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,4483,Amount
FY2024,2023-24,0652,Bear Creek Elementary School,119,BEAR CREEK ELEMENTARY,10,General Operating Fund,00,2222,School Library Services,0211,0200 Employee Benefits,216,201-224 Teachers and Instructional Support,0000,-18,-0.18,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,4518,Amount
FY2024,2023-24,3882,Heatherwood Elementary School,144,HEATHERWOOD ELEMENTARY,10,General Operating Fund,00,1791,Preschool Child With A Disability,0230,0200 Employee Benefits,202,201-224 Teachers and Instructional Support,3130,-4,-0.04,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,4564,Amount
FY2024,2023-24,3882,Heatherwood Elementary School,144,HEATHERWOOD ELEMENTARY,19,Preschool Fund,00,0040,General Preschool Education,0110,0100 Salaries,201,201-224 Teachers and Instructional Support,3897,-2,-0.02,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,4588,Amount
FY2024,2023-24,2970,Flatirons Elementary School,136,FLATIRONS ELEMENTARY,10,General Operating Fund,00,0070,Gifted And Talented Education,0221,0200 Employee Benefits,418,401-490 Paraeducators & Aides,0000,-1,-0.01,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,4629,Amount
FY2024,2023-24,2970,Flatirons Elementary School,136,FLATIRONS ELEMENTARY,10,General Operating Fund,00,0070,Gifted And Talented Education,0230,0200 Employee Benefits,418,401-490 Paraeducators & Aides,0000,-1,-0.01,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,4630,Amount
FY2024,2023-24,3882,Heatherwood Elementary School,144,HEATHERWOOD ELEMENTARY,19,Preschool Fund,00,0040,General Preschool Education,0110,0100 Salaries,201,201-224 Teachers and Instructional Support,3897,-1,-0.01,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,4631,Amount
FY2024,2023-24,3882,Heatherwood Elementary School,144,HEATHERWOOD ELEMENTARY,10,General Operating Fund,00,1791,Preschool Child With A Disability,0110,0100 Salaries,202,201-224 Teachers and Instructional Support,3130,-1,-0.01,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,4632,Amount
FY2024,2023-24,0652,Bear Creek Elementary School,119,BEAR CREEK ELEMENTARY,10,General Operating Fund,00,0010,General Elementary Education,0221,0200 Employee Benefits,403,401-490 Paraeducators & Aides,0000,1,0.01,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,4678,Amount
FY2024,2023-24,0652,Bear Creek Elementary School,119,BEAR CREEK ELEMENTARY,10,General Operating Fund,00,0010,General Elementary Education,0230,0200 Employee Benefits,403,401-490 Paraeducators & Aides,0000,1,0.01,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,4679,Amount
FY2024,2023-24,2970,Flatirons Elementary School,136,FLATIRONS ELEMENTARY,10,General Operating Fund,00,1700,Special Education,0221,0200 Employee Benefits,202,201-224 Teachers and Instructional Support,3130,1,0.01,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,4708,Amount
FY2024,2023-24,2970,Flatirons Elementary School,136,FLATIRONS ELEMENTARY,10,General Operating Fund,00,1700,Special Education,0230,0200 Employee Benefits,202,201-224 Teachers and Instructional Support,3130,1,0.01,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,4709,Amount
FY2024,2023-24,3882,Heatherwood Elementary School,144,HEATHERWOOD ELEMENTARY,19,Preschool Fund,00,0040,General Preschool Education,0230,0200 Employee Benefits,201,201-224 Teachers and Instructional Support,3897,1,0.01,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,4711,Amount
FY2024,2023-24,5838,Mesa Elementary School,166,MESA ELEMENTARY,10,General Operating Fund,00,0010,General Elementary Education,0130,0100 Salaries,415,401-490 Paraeducators & Aides,0000,1,0.01,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,4721,Amount
FY2024,2023-24,0652,Bear Creek Elementary School,119,BEAR CREEK ELEMENTARY,10,General Operating Fund,00,0010,General Elementary Education,0130,0100 Salaries,403,401-490 Paraeducators & Aides,0000,2,0.02,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,4789,Amount
FY2024,2023-24,3882,Heatherwood Elementary School,144,HEATHERWOOD ELEMENTARY,13,Community Schools Fund,00,3300,Community Services,0221,0200 Employee Benefits,415,401-490 Paraeducators & Aides,0000,2,0.02,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,4802,Amount
FY2024,2023-24,0652,Bear Creek Elementary School,119,BEAR CREEK ELEMENTARY,13,Community Schools Fund,00,3300,Community Services,0252,0200 Employee Benefits,403,401-490 Paraeducators & Aides,0000,3,0.03,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,4835,Amount
FY2024,2023-24,2970,Flatirons Elementary School,136,FLATIRONS ELEMENTARY,10,General Operating Fund,00,1700,Special Education,0110,0100 Salaries,202,201-224 Teachers and Instructional Support,3130,4,0.04,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,4881,Amount
FY2024,2023-24,5838,Mesa Elementary School,166,MESA ELEMENTARY,10,General Operating Fund,00,2410,Office Of The Principal Services,0230,0200 Employee Benefits,409,401-490 Paraeducators & Aides,0000,4,0.04,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,4886,Amount
FY2024,2023-24,0652,Bear Creek Elementary School,119,BEAR CREEK ELEMENTARY,22,Grants Fund,00,1700,Special Education,0110,0100 Salaries,202,201-224 Teachers and Instructional Support,4027,6,0.06,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,4927,Amount
FY2024,2023-24,0652,Bear Creek Elementary School,119,BEAR CREEK ELEMENTARY,22,Grants Fund,00,1700,Special Education,0221,0200 Employee Benefits,202,201-224 Teachers and Instructional Support,4027,6,0.06,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,4928,Amount
FY2024,2023-24,0652,Bear Creek Elementary School,119,BEAR CREEK ELEMENTARY,22,Grants Fund,00,1700,Special Education,0230,0200 Employee Benefits,202,201-224 Teachers and Instructional Support,4027,6,0.06,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,4929,Amount
FY2024,2023-24,0652,Bear Creek Elementary School,119,BEAR CREEK ELEMENTARY,10,General Operating Fund,00,0010,General Elementary Education,0221,0200 Employee Benefits,218,201-224 Teachers and Instructional Support,0000,7,0.07,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,4951,Amount
FY2024,2023-24,0652,Bear Creek Elementary School,119,BEAR CREEK ELEMENTARY,10,General Operating Fund,00,0070,Gifted And Talented Education,0211,0200 Employee Benefits,418,401-490 Paraeducators & Aides,0000,12,0.12,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,5035,Amount
FY2024,2023-24,0652,Bear Creek Elementary School,119,BEAR CREEK ELEMENTARY,10,General Operating Fund,00,0010,General Elementary Education,0211,0200 Employee Benefits,218,201-224 Teachers and Instructional Support,0000,13,0.13,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,5050,Amount
FY2024,2023-24,3882,Heatherwood Elementary School,144,HEATHERWOOD ELEMENTARY,10,General Operating Fund,00,0070,Gifted And Talented Education,0211,0200 Employee Benefits,418,401-490 Paraeducators & Aides,0000,13,0.13,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,5052,Amount
FY2024,2023-24,3882,Heatherwood Elementary School,144,HEATHERWOOD ELEMENTARY,10,General Operating Fund,00,0070,Gifted And Talented Education,0213,0200 Employee Benefits,418,401-490 Paraeducators & Aides,0000,15,0.15,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,5077,Amount
FY2024,2023-24,0652,Bear Creek Elementary School,119,BEAR CREEK ELEMENTARY,10,General Operating Fund,00,0010,General Elementary Education,0213,0200 Employee Benefits,415,401-490 Paraeducators & Aides,0000,16,0.16,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,5087,Amount
FY2024,2023-24,3882,Heatherwood Elementary School,144,HEATHERWOOD ELEMENTARY,10,General Operating Fund,00,0070,Gifted And Talented Education,0251,0200 Employee Benefits,418,401-490 Paraeducators & Aides,0000,16,0.16,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,5093,Amount
FY2024,2023-24,0652,Bear Creek Elementary School,119,BEAR CREEK ELEMENTARY,10,General Operating Fund,00,0010,General Elementary Education,0130,0100 Salaries,415,401-490 Paraeducators & Aides,0000,17,0.17,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,5103,Amount
FY2024,2023-24,3882,Heatherwood Elementary School,144,HEATHERWOOD ELEMENTARY,19,Preschool Fund,00,2113,Social Work Services,0211,0200 Employee Benefits,405,401-490 Paraeducators & Aides,3897,20,0.20,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,5135,Amount
FY2024,2023-24,0652,Bear Creek Elementary School,119,BEAR CREEK ELEMENTARY,10,General Operating Fund,00,0070,Gifted And Talented Education,0112,0100 Salaries,418,401-490 Paraeducators & Aides,0000,22,0.22,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,5147,Amount
FY2024,2023-24,0652,Bear Creek Elementary School,119,BEAR CREEK ELEMENTARY,10,General Operating Fund,00,0010,General Elementary Education,0251,0200 Employee Benefits,204,201-224 Teachers and Instructional Support,0000,22,0.22,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,5148,Amount
FY2024,2023-24,3882,Heatherwood Elementary School,144,HEATHERWOOD ELEMENTARY,13,Community Schools Fund,00,3300,Community Services,0230,0200 Employee Benefits,415,401-490 Paraeducators & Aides,0000,24,0.24,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,5165,Amount
FY2024,2023-24,3882,Heatherwood Elementary School,144,HEATHERWOOD ELEMENTARY,10,General Operating Fund,00,0070,Gifted And Talented Education,0112,0100 Salaries,418,401-490 Paraeducators & Aides,0000,34,0.34,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,5250,Amount
FY2024,2023-24,3882,Heatherwood Elementary School,144,HEATHERWOOD ELEMENTARY,19,Preschool Fund,00,2113,Social Work Services,0213,0200 Employee Benefits,405,401-490 Paraeducators & Aides,3897,34,0.34,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,5251,Amount
FY2024,2023-24,0652,Bear Creek Elementary School,119,BEAR CREEK ELEMENTARY,10,General Operating Fund,00,0010,General Elementary Education,0211,0200 Employee Benefits,415,401-490 Paraeducators & Aides,0000,36,0.36,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,5262,Amount
FY2024,2023-24,2970,Flatirons Elementary School,136,FLATIRONS ELEMENTARY,10,General Operating Fund,00,0500,English Language Arts,0221,0200 Employee Benefits,201,201-224 Teachers and Instructional Support,0000,40,0.40,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,5301,Amount
FY2024,2023-24,2970,Flatirons Elementary School,136,FLATIRONS ELEMENTARY,10,General Operating Fund,00,0070,Gifted And Talented Education,0251,0200 Employee Benefits,418,401-490 Paraeducators & Aides,0000,40,0.40,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,5302,Amount
FY2024,2023-24,0652,Bear Creek Elementary School,119,BEAR CREEK ELEMENTARY,10,General Operating Fund,00,0010,General Elementary Education,0213,0200 Employee Benefits,204,201-224 Teachers and Instructional Support,0000,50,0.50,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,5377,Amount
FY2024,2023-24,0652,Bear Creek Elementary School,119,BEAR CREEK ELEMENTARY,10,General Operating Fund,00,0010,General Elementary Education,0211,0200 Employee Benefits,204,201-224 Teachers and Instructional Support,0000,53,0.53,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,5391,Amount
FY2024,2023-24,0652,Bear Creek Elementary School,119,BEAR CREEK ELEMENTARY,23,Student Activities Fund (CDE: Pupil Activity),00,0010,General Elementary Education,0130,0100 Salaries,415,401-490 Paraeducators & Aides,0000,54,0.54,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,5397,Amount
FY2024,2023-24,2970,Flatirons Elementary School,136,FLATIRONS ELEMENTARY,23,Student Activities Fund (CDE: Pupil Activity),00,0070,Gifted And Talented Education,0221,0200 Employee Benefits,418,401-490 Paraeducators & Aides,0000,54,0.54,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,5400,Amount
FY2024,2023-24,0652,Bear Creek Elementary School,119,BEAR CREEK ELEMENTARY,12,Differentiated School Support Fund,00,0010,General Elementary Education,0221,0200 Employee Benefits,218,201-224 Teachers and Instructional Support,0000,55,0.55,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,5407,Amount
FY2024,2023-24,2970,Flatirons Elementary School,136,FLATIRONS ELEMENTARY,23,Student Activities Fund (CDE: Pupil Activity),00,0070,Gifted And Talented Education,0251,0200 Employee Benefits,418,401-490 Paraeducators & Aides,0000,64,0.64,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,5449,Amount
