fiscal_year,school_year,cde_school_code,school_name,bvsd_location_code,bvsd_location_label,fund,fund_label,sre,program,program_label,object,object_major_label,job_class,job_class_band,project,amount_raw_as_given,amount_usd,is_expenditure_object,source_file,sheet,sheet_row,amount_column
FY2024,2023-24,0652,Bear Creek Elementary School,119,BEAR CREEK ELEMENTARY,10,General Operating Fund,00,2410,Office Of The Principal Services,0585,0500 Other Purchased Services,000,(none),0000,25900,259.00,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,19052,Amount
FY2024,2023-24,2970,Flatirons Elementary School,136,FLATIRONS ELEMENTARY,10,General Operating Fund,00,0500,English Language Arts,0120,0100 Salaries,204,201-224 Teachers and Instructional Support,0000,26000,260.00,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,19069,Amount
FY2024,2023-24,2970,Flatirons Elementary School,136,FLATIRONS ELEMENTARY,10,General Operating Fund,00,0010,General Elementary Education,0252,0200 Employee Benefits,204,201-224 Teachers and Instructional Support,0000,26542,265.42,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,19168,Amount
FY2024,2023-24,5838,Mesa Elementary School,166,MESA ELEMENTARY,23,Student Activities Fund (CDE: Pupil Activity),00,0010,General Elementary Education,0320,0300 Purchased Professional and Technical Services,000,(none),0000,26574,265.74,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,19173,Amount
FY2024,2023-24,3882,Heatherwood Elementary School,144,HEATHERWOOD ELEMENTARY,10,General Operating Fund,00,0010,General Elementary Education,0221,0200 Employee Benefits,204,201-224 Teachers and Instructional Support,0000,27046,270.46,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,19268,Amount
FY2024,2023-24,0652,Bear Creek Elementary School,119,BEAR CREEK ELEMENTARY,10,General Operating Fund,00,0070,Gifted And Talented Education,0252,0200 Employee Benefits,418,401-490 Paraeducators & Aides,0000,27217,272.17,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,19298,Amount
FY2024,2023-24,3882,Heatherwood Elementary School,144,HEATHERWOOD ELEMENTARY,23,Student Activities Fund (CDE: Pupil Activity),00,0010,General Elementary Education,0320,0300 Purchased Professional and Technical Services,000,(none),0000,27413,274.13,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,19326,Amount
FY2024,2023-24,0652,Bear Creek Elementary School,119,BEAR CREEK ELEMENTARY,23,Student Activities Fund (CDE: Pupil Activity),00,0010,General Elementary Education,0660,0600 Supplies,000,(none),0000,28100,281.00,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,19434,Amount
FY2024,2023-24,3882,Heatherwood Elementary School,144,HEATHERWOOD ELEMENTARY,10,General Operating Fund,00,2122,Counseling Services,0252,0200 Employee Benefits,211,201-224 Teachers and Instructional Support,0000,28199,281.99,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,19454,Amount
FY2024,2023-24,2970,Flatirons Elementary School,136,FLATIRONS ELEMENTARY,10,General Operating Fund,00,0830,Physical Education,0252,0200 Employee Benefits,201,201-224 Teachers and Instructional Support,0000,28200,282.00,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,19464,Amount
FY2024,2023-24,2970,Flatirons Elementary School,136,FLATIRONS ELEMENTARY,10,General Operating Fund,00,2222,School Library Services,0252,0200 Employee Benefits,216,201-224 Teachers and Instructional Support,0000,28200,282.00,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,19465,Amount
FY2024,2023-24,2970,Flatirons Elementary School,136,FLATIRONS ELEMENTARY,10,General Operating Fund,00,0500,English Language Arts,0252,0200 Employee Benefits,222,201-224 Teachers and Instructional Support,0000,28200,282.00,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,19466,Amount
FY2024,2023-24,3882,Heatherwood Elementary School,144,HEATHERWOOD ELEMENTARY,10,General Operating Fund,00,0500,English Language Arts,0252,0200 Employee Benefits,222,201-224 Teachers and Instructional Support,0000,28200,282.00,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,19467,Amount
FY2024,2023-24,5838,Mesa Elementary School,166,MESA ELEMENTARY,10,General Operating Fund,00,2122,Counseling Services,0252,0200 Employee Benefits,211,201-224 Teachers and Instructional Support,0000,28200,282.00,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,19472,Amount
FY2024,2023-24,0652,Bear Creek Elementary School,119,BEAR CREEK ELEMENTARY,10,General Operating Fund,00,0500,English Language Arts,0252,0200 Employee Benefits,222,201-224 Teachers and Instructional Support,0000,28201,282.01,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,19502,Amount
FY2024,2023-24,2970,Flatirons Elementary School,136,FLATIRONS ELEMENTARY,10,General Operating Fund,00,2122,Counseling Services,0252,0200 Employee Benefits,211,201-224 Teachers and Instructional Support,0000,28201,282.01,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,19503,Amount
FY2024,2023-24,0652,Bear Creek Elementary School,119,BEAR CREEK ELEMENTARY,23,Student Activities Fund (CDE: Pupil Activity),00,0010,General Elementary Education,0850,0800 Other Objects,000,(none),0000,28240,282.40,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,19510,Amount
FY2024,2023-24,2970,Flatirons Elementary School,136,FLATIRONS ELEMENTARY,10,General Operating Fund,00,0500,English Language Arts,0192,0100 Salaries,222,201-224 Teachers and Instructional Support,0000,28256,282.56,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,19511,Amount
FY2024,2023-24,2970,Flatirons Elementary School,136,FLATIRONS ELEMENTARY,10,General Operating Fund,00,2600,Operation And Maintenance Of Plant Services,0130,0100 Salaries,608,600-637 Crafts/Trades Services,0000,28289,282.89,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,19518,Amount
FY2024,2023-24,0652,Bear Creek Elementary School,119,BEAR CREEK ELEMENTARY,10,General Operating Fund,00,0010,General Elementary Education,0251,0200 Employee Benefits,415,401-490 Paraeducators & Aides,0000,28388,283.88,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,19528,Amount
FY2024,2023-24,2970,Flatirons Elementary School,136,FLATIRONS ELEMENTARY,23,Student Activities Fund (CDE: Pupil Activity),00,2200,Support Services - Instructional Staff,0644,0600 Supplies,000,(none),0000,28854,288.54,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,19603,Amount
FY2024,2023-24,0652,Bear Creek Elementary School,119,BEAR CREEK ELEMENTARY,10,General Operating Fund,00,0010,General Elementary Education,0230,0200 Employee Benefits,415,401-490 Paraeducators & Aides,0000,29071,290.71,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,19639,Amount
FY2024,2023-24,2970,Flatirons Elementary School,136,FLATIRONS ELEMENTARY,10,General Operating Fund,00,0010,General Elementary Education,0221,0200 Employee Benefits,415,401-490 Paraeducators & Aides,0000,29380,293.80,True,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,19676,Amount
