fiscal_year,entity,measure,value_usd,source_file,sheet,note
FY2024,Flatirons Elementary School (2970),expenditures_all_funds_obj0100-0999,2856702.96,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2024,Flatirons Elementary School (2970),expenditures_fund10_obj0100-0999,2190387.43,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2024,Flatirons Elementary School (2970),fund10_benefits_obj02xx,529418.39,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2024,Flatirons Elementary School (2970),fund10_prog0010_general_elementary_education,1074505.05,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2024,Flatirons Elementary School (2970),fund10_prog1700_special_education,132916.53,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2024,Flatirons Elementary School (2970),fund10_prog2400-2410_school_administration,307326.09,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2024,Flatirons Elementary School (2970),fund10_prog2600s_operations_maintenance,237552.69,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2024,Flatirons Elementary School (2970),fund10_salaries_obj01xx,1549905.74,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2024,Flatirons Elementary School (2970),total_fund10_all_objects,2190387.43,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2024,Flatirons Elementary School (2970),total_fund12_all_objects,55228.43,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2024,Flatirons Elementary School (2970),total_fund13_all_objects,95368.58,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2024,Flatirons Elementary School (2970),total_fund21_all_objects,110726.84,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2024,Flatirons Elementary School (2970),total_fund22_all_objects,258229.93,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2024,Flatirons Elementary School (2970),total_fund23_all_objects,128226.12,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2024,Flatirons Elementary School (2970),total_fund43_all_objects,18535.63,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2024_website_view.xlsx,0480-Fin7,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
