fiscal_year,entity,measure,value_usd,source_file,sheet,note
FY2025,Flatirons Elementary School (2970),total_fund13_all_objects,53033.49,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,Flatirons Elementary School (2970),total_fund21_all_objects,120251.41,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,Flatirons Elementary School (2970),total_fund22_all_objects,274088.22,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,Flatirons Elementary School (2970),total_fund23_all_objects,147558.02,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,Flatirons Elementary School (2970),total_fund43_all_objects,7684.58,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,Heatherwood Elementary School (3882),expenditures_all_funds_obj0100-0999,4453971.96,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,Heatherwood Elementary School (3882),expenditures_fund10_obj0100-0999,3666619.27,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,Heatherwood Elementary School (3882),fund10_benefits_obj02xx,839717.68,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,Heatherwood Elementary School (3882),fund10_prog0010_general_elementary_education,1728086.78,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,Heatherwood Elementary School (3882),fund10_prog1700_special_education,469472.01,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,Heatherwood Elementary School (3882),fund10_prog2400-2410_school_administration,402291.64,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,Heatherwood Elementary School (3882),fund10_prog2600s_operations_maintenance,321338.04,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,Heatherwood Elementary School (3882),fund10_salaries_obj01xx,2597775.97,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,Heatherwood Elementary School (3882),total_fund06_all_objects,3574.13,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,Heatherwood Elementary School (3882),total_fund10_all_objects,3666619.27,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,Heatherwood Elementary School (3882),total_fund12_all_objects,3980.37,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,Heatherwood Elementary School (3882),total_fund13_all_objects,100147.59,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,Heatherwood Elementary School (3882),total_fund19_all_objects,430147.74,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,Heatherwood Elementary School (3882),total_fund21_all_objects,155144.89,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,Heatherwood Elementary School (3882),total_fund22_all_objects,1967.86,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,Heatherwood Elementary School (3882),total_fund23_all_objects,83216.30,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,Heatherwood Elementary School (3882),total_fund41_all_objects,4120.00,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,Heatherwood Elementary School (3882),total_fund43_all_objects,5053.81,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,Mesa Elementary School (5838),expenditures_all_funds_obj0100-0999,4260899.25,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,Mesa Elementary School (5838),expenditures_fund10_obj0100-0999,3518664.79,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,Mesa Elementary School (5838),fund10_benefits_obj02xx,854859.72,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,Mesa Elementary School (5838),fund10_prog0010_general_elementary_education,1569589.68,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,Mesa Elementary School (5838),fund10_prog1700_special_education,389922.81,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,Mesa Elementary School (5838),fund10_prog2400-2410_school_administration,359531.63,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,Mesa Elementary School (5838),fund10_prog2600s_operations_maintenance,288233.46,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,Mesa Elementary School (5838),fund10_salaries_obj01xx,2490541.13,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,Mesa Elementary School (5838),total_fund06_all_objects,3166.33,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,Mesa Elementary School (5838),total_fund10_all_objects,3518664.79,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,Mesa Elementary School (5838),total_fund12_all_objects,545.74,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,Mesa Elementary School (5838),total_fund13_all_objects,119828.49,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,Mesa Elementary School (5838),total_fund19_all_objects,349809.05,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,Mesa Elementary School (5838),total_fund21_all_objects,141290.52,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,Mesa Elementary School (5838),total_fund22_all_objects,2258.18,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,Mesa Elementary School (5838),total_fund23_all_objects,120616.75,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
FY2025,Mesa Elementary School (5838),total_fund41_all_objects,4719.40,data/raw/bvsd/budget/cde_financial_transparency_0480_FY2025_website_view.xlsx,Working TB,sum of rows; amounts in file are integer cents (divided by 100); expenditure objects = 0100-0999
