school,tokens,n_tokens,min_conf
Elementary,Capacity* Rounds Enroll Cap. Rnds. Proj. Cap. Rnds. Proj. Cap. Rnds. Proj. Cap. Rnds. Proj. Cap. Rnds. Proj. Cap. Rnds.,20,0.97
Aspen Creek,461 3.0 420 91% 2.8 440 95% 2.9 439 95% 2.9 440 95% 2.9 429 93% 2.9 415 %06 2.8,20,0.95
BCSIS-HP,590 4.0 510 %98 3.4 486 82% 3.2 480 81% 3.2 475 81% 3.2 462 78% 3.1 459 78% 3.1,20,0.92
BearCreek,467 3.0 298 64% 2.0 287 61% 1.9 273 58% 1.8 271 58% 1.8 262 56% 1.7 248 53% 1.7,20,0.96
Birch,418 3.0 279 67% 1.9 259 62% 1.7 237 57% 1.6 217 52% 1.4 189 45% 1.3 165 39% 1.1,20,0.98
Coal Creek,516 3.5 305 59% 2.0 278 54% 1.9 263 51% 1.8 244 47% 1.6 226 44% 1.5 225 44% 1.5,20,0.95
Columbine,590 4.0 352 %09 2.3 324 55% 2.2 309 52% 2.1 298 51% 2.0 288 49% 1.9 285 48% 1.9,20,0.99
Montessori,392 2.5 227 58% 1.5 226 58% 1.5 227 58% 1.5 222 57% 1.5 227 58% 1.5 229 58% 1.5,20,0.99
Creekside,369 2.5 333 %06 2.2 321 87% 2.1 313 85% 2.1 300 81% 2.0 273 74% 1.8 246 67% 1.6,20,0.85
CrestView,615 4.0 410 67% 2.7 385 63% 2.6 362 59% 2.4 356 58% 2.4 342 56% 2.3 342 56% 2.3,20,0.99
Douglass,442 3.0 286 65% 1.9 272 62% 1.8 265 %09 1.8 269 61% 1.8 262 59% 1.7 251 57% 1.7,20,0.94
Eisenhower,492 3.5 311 63% 2.1 285 58% 1.9 276 56% 1.8 263 53% 1.8 266 54% 1.8 269 55% 1.8,20,1.0
Eldorado,568 4.0 263 46% 1.8 252 44% 1.7 245 43% 1.6 255 45% 1.7 254 45% 1.7 266 47% 1.8,20,0.88
Emerald,393 2.5 356 91% 2.4 344 88% 2.3 334 85% 2.2 315 80% 2.1 301 77% 2.0 280 71% 1.9,20,0.99
Fireside,516 3.5 396 77% 2.6 384 74% 2.6 383 74% 2.6 367 71% 2.4 344 67% 2.3 335 65% 2.2,20,0.98
Flatirons,320 2.0 164 51% 1.1 162 51% 1.1 159 50% 1.1 160 50% 1.1 166 52% 1.1 161 50% 1.1,20,0.96
Foothill,565 4.0 437 77% 2.9 414 73% 2.8 419 74% 2.8 422 75% 2.8 409 72% 2.7 398 70% 2.7,20,0.98
Gold Hill,49 0.5 12 24% 0.1 13 27% 0.1 12 24% 0.1 12 24% 0.1 12 24% 0.1 10 20% 0.1,20,0.94
Heatherwood,492 3.5 226 46% 1.5 227 46% 1.5 217 44% 209 42% 1.4 196 40% 1.3 203 41% 1.4,19,0.98
Jamestown,25 0.5 18 72% 0.1 15 60% 0.1 15 60% 0.1 16 64% 0.1 15 60% 0.1 15 60% 0.1,20,0.99
Kohl,516 3.5 251 49% 1.7 238 46% 1.6 234 45% 1.6 227 44% 1.5 221 43% 1.5 222 43% 1.5,20,0.98
Lafayette,565 4.0 444 79% 3.0 467 83% 3.1 453 %08 3.0 440 78% 2.9 412 73% 2.7 397 70% 2.6,20,0.95
Louisville,615 4.0 422 %69 2.8 408 66% 2.7 393 64% 2.6 391 64% 2.6 377 61% 2.5 384 62% 2.6,20,0.95
Meadowlark,441 3.0 464 105% 3.1 475 108% 3.2 471 107% 3.1 496 112% 3.3 520 118% 3.5 556 126% 3.7,20,0.99
Mesa,418 3.0 233 56% 1.6 220 53% 1.5 211 50% 1.4 202 48% 1.3 203 49% 1.4 202 48% 1.3,20,0.99
Monarch,381 2.5 274 72% 1.8 301 79% 2.0 303 80% 2.0 320 84% 2.1 317 83% 2.1 312 82% 2.1,20,0.88
Nederland,467 3.0 165 35% 1.1 159 34% 1.1 159 34% 1.1 161 34% 1.1 154 33% 1.0 158 34% 1.1,20,0.96
Pioneer,541 3.5 415 77% 2.8 406 75% 2.7 403 74% 2.7 403 74% 2.7 401 74% 2.7 401 74% 2.7,20,0.99
Ryan,467 3.0 426 91% 2.8 424 91% 2.8 416 %68 2.8 418 %06 2.8 421 %06 2.8 421 %06 2.8,20,0.85
Sanchez,418 3.0 285 68% 1.9 310 74% 2.1 318 76% 2.1 335 80% 2.2 334 %08 2.2 334 80% 2.2,20,0.95
Superior,467 3.0 429 92% 2.9 433 93% 2.9 437 94% 2.9 428 92% 2.9 457 98% 3.0 432 93% 2.9,20,0.99
Whittier,442 3.0 291 %99 1.9 273 62% 1.8 250 57% 1.7 240 54% 1.6 236 53% 1.6 229 52% 1.5,20,0.9
Elem.Total,"14,608 10,074 %69 9,842 67% 9,619 66% 9,506 65% 9,308 64% 9,174 63%",13,0.98
