school,tokens,n_tokens,min_conf
Elementary,Capacity* Rounds Enroll Cap. Rnds. Proj. Cap. Rnds. Proj. Cap. Rnds. Proj. Cap. Rnds. Proj. Cap. Rnds. Proj. Cap. Rnds.,20,0.98
AspenCreek,461 3.0 443 96% 3.0 462 100% 3.1 467 101% 3.1 470 102% 3.1 471 102% 3.1 477 103% 3.2,20,0.88
BCSIS-HP,590 4.0 511 87% 3.4 509 86% 3.4 516 87% 3.4 508 86% 3.4 509 86% 3.4 512 87% 3.4,20,0.89
BearCreek,492 3.5 318 65% 2.1 308 63% 2.1 302 61% 2.0 290 59% 1.9 274 56% 1.8 272 55% 1.8,20,0.95
Birch,418 3.0 275 66% 1.8 269 64% 1.8 262 63% 1.7 251 60% 1.7 241 58% 1.6 242 58% 1.6,20,0.88
Coal Creek,492 3.5 283 58% 1.9 268 54% 1.8 248 50% 1.7 240 49% 1.6 242 49% 1.6 247 50% 1.6,20,0.96
Columbine,590 4.0 343 58% 2.3 347 59% 2.3 345 58% 2.3 333 56% 2.2 310 53% 2.1 294 50% 2.0,20,0.97
Montessori,392 2.5 232 59% 1.5 232 59% 1.5 233 59% 1.6 237 60% 1.6 238 61% 1.6 240 61% 1.6,20,0.86
Creekside,369 2.5 327 89% 2.2 310 84% 2.1 296 80% 2.0 268 73% 1.8 244 66% 1.6 229 62% 1.5,20,1.0
CrestView,615 4.0 390 63% 2.6 362 59% 2.4 361 59% 2.4 343 56% 2.3 332 54% 2.2 335 54% 2.2,20,0.97
Douglass,418 3.0 282 67% 1.9 272 65% 1.8 273 65% 1.8 270 65% 1.8 263 63% 1.8 260 62% 1.7,20,0.97
Eisenhower,492 3.5 276 56% 1.8 267 54% 1.8 255 52% 1.7 258 52% 1.7 257 52% 1.7 258 52% 1.7,20,0.99
Eldorado,568 4.0 256 45% 1.7 250 44% 1.7 242 43% 1.6 239 42% 1.6 247 43% 1.6 256 45% 1.7,20,0.99
Emerald,393 2.5 348 89% 2.3 353 90% 2.4 348 89% 2.3 348 89% 2.3 350 89% 2.3 365 93% 2.4,20,0.84
Fireside,516 3.5 397 77% 2.6 396 77% 2.6 375 73% 2.5 358 69% 2.4 333 65% 2.2 326 63% 2.2,20,0.95
Flatirons,320 2.0 163 51% 1.1 165 52% 1.1 164 51% 1.1 175 55% 1.2 169 53% 1.1 169 53% 1.1,20,0.93
Foothill,565 4.0 418 74% 2.8 422 75% 2.8 418 74% 2.8 402 71% 2.7 376 67% 2.5 353 62% 2.4,20,0.93
Gold Hill,49 0.5 10 20% 0.1 10 20% 0.1 12 24% 0.1 12 24% 0.1 10 20% 0.1 10 20% 0.1,20,0.96
Heatherwood,492 3.5 233 47% 1.6 228 46% 1.5 224 46% 1.5 213 43% 1.4 215 44% 1.4 211 43% 1.4,20,0.85
Jamestown,25 0.5 17 68% 0.1 16 64% 0.1 17 68% 0.1 16 64% 0.1 17 68% 0.1 17 68% 0.1,20,0.95
Kohl,516 3.5 254 49% 1.7 247 48% 1.6 245 47% 1.6 237 46% 1.6 227 44% 1.5 227 44% 1.5,20,0.94
Lafayette,565 4.0 465 82% 3.1 464 82% 3.1 478 85% 3.2 460 81% 3.1 435 77% 2.9 423 75% 2.8,20,0.96
Louisville,615 4.0 417 68% 2.8 407 66% 2.7 388 63% 2.6 367 60% 2.4 370 60% 2.5 366 60% 2.4,20,0.88
Meadowlark,441 3.0 468 106% 3.1 453 103% 3.0 461 105% 3.1 497 113% 3.3 537 122% 3.6 582 132% 3.9,20,0.93
Mesa,418 3.0 230 55% 1.5 230 55% 1.5 220 53% 1.5 218 52% 1.5 216 52% 1.4 224 54% 1.5,20,0.89
Monarch,381 2.5 264 69% 1.8 257 67% 1.7 278 73% 1.9 284 75% 1.9 289 76% 1.9 293 77% 2.0,20,1.0
Nederland,467 3.0 172 37% 1.1 177 38% 1.2 179 38% 1.2 177 38% 1.2 181 39% 1.2 184 39% 1.2,20,0.87
Pioneer,541 3.5 397 73% 2.6 388 72% 2.6 390 72% 2.6 389 72% 2.6 388 72% 2.6 392 72% 2.6,20,0.99
Ryan,467 3.0 410 88% 2.7 406 87% 2.7 424 91% 2.8 416 89% 2.8 417 89% 2.8 418 %06 2.8,20,1.0
Sanchez,418 3.0 290 69% 1.9 306 73% 2.0 323 77% 2.2 323 77% 2.2 322 77% 2.1 315 75% 2.1,20,0.94
Superior,467 3.0 416 89% 2.8 419 %06 2.8 399 85% 2.7 397 85% 2.6 402 86% 2.7 374 80% 2.5,20,0.9
UniversityHill,590 4.0 380 64% 2.5 373 63% 2.5 360 61% 2.4 352 60% 2.3 333 56% 2.2 337 57% 2.2,20,0.96
Whittier,442 3.0 267 60% 1.8 252 57% 1.7 240 54% 1.6 241 55% 1.6 229 52% 1.5 223 50% 1.5,20,0.77
Elem.Total,"14,585 9,952 68% 9,825 67% 9,743 67% 9,589 66% 9,444 65% 9,431 65%",13,0.98
