school,capacity,capacity_rounds,enroll_base,pct_cap_base,rounds_base,base_year,proj_2026-27,pct_2026-27,rounds_2026-27,proj_2027-28,pct_2027-28,rounds_2027-28,proj_2028-29,pct_2028-29,rounds_2028-29,proj_2029-30,pct_2029-30,rounds_2029-30,proj_2030-31,pct_2030-31,rounds_2030-31,_source,_page,_table,extraction
Bear Creek,492,3.5,312,63,2.1,2025-26,299,61,2.0,293,60,2.0,288,59,1.9,310,63,2.1,320,65,2.1,data/raw/bvsd/trend_report_feb2026.pdf,9,BVSD Capacity Summary 2025-26 (updated 1/26/2026),ocr+eye
Mesa,418,3.0,224,54,1.5,2025-26,217,52,1.4,203,49,1.4,203,49,1.4,202,48,1.3,201,48,1.3,data/raw/bvsd/trend_report_feb2026.pdf,9,BVSD Capacity Summary 2025-26 (updated 1/26/2026),ocr+eye
