school,level,october_year,enrollment,data_type,_source,_source_line
Nederland Elementary,elementary,2020,183,actual,data/raw/enrollmentdata/maps/index.html,798
Nederland Elementary,elementary,2021,175,actual,data/raw/enrollmentdata/maps/index.html,798
Nederland Elementary,elementary,2022,176,actual,data/raw/enrollmentdata/maps/index.html,798
Nederland Elementary,elementary,2023,171,actual,data/raw/enrollmentdata/maps/index.html,798
Nederland Elementary,elementary,2024,166,actual,data/raw/enrollmentdata/maps/index.html,798
Nederland Elementary,elementary,2025,165,actual,data/raw/enrollmentdata/maps/index.html,798
Angevine Middle School,middle,2014,662,actual,data/raw/enrollmentdata/maps/index.html,843
Angevine Middle School,middle,2015,725,actual,data/raw/enrollmentdata/maps/index.html,843
Angevine Middle School,middle,2016,711,actual,data/raw/enrollmentdata/maps/index.html,843
Angevine Middle School,middle,2017,672,actual,data/raw/enrollmentdata/maps/index.html,843
Angevine Middle School,middle,2018,693,actual,data/raw/enrollmentdata/maps/index.html,843
Angevine Middle School,middle,2019,691,actual,data/raw/enrollmentdata/maps/index.html,843
Angevine Middle School,middle,2020,636,actual,data/raw/enrollmentdata/maps/index.html,843
Angevine Middle School,middle,2021,658,actual,data/raw/enrollmentdata/maps/index.html,843
Angevine Middle School,middle,2022,659,actual,data/raw/enrollmentdata/maps/index.html,843
Angevine Middle School,middle,2023,605,actual,data/raw/enrollmentdata/maps/index.html,843
Angevine Middle School,middle,2024,616,actual,data/raw/enrollmentdata/maps/index.html,843
Angevine Middle School,middle,2025,588,actual,data/raw/enrollmentdata/maps/index.html,843
Broomfield Heights Middle School,middle,2014,487,actual,data/raw/enrollmentdata/maps/index.html,845
Broomfield Heights Middle School,middle,2015,509,actual,data/raw/enrollmentdata/maps/index.html,845
Broomfield Heights Middle School,middle,2016,527,actual,data/raw/enrollmentdata/maps/index.html,845
Broomfield Heights Middle School,middle,2017,548,actual,data/raw/enrollmentdata/maps/index.html,845
Broomfield Heights Middle School,middle,2018,565,actual,data/raw/enrollmentdata/maps/index.html,845
Broomfield Heights Middle School,middle,2019,556,actual,data/raw/enrollmentdata/maps/index.html,845
Broomfield Heights Middle School,middle,2020,498,actual,data/raw/enrollmentdata/maps/index.html,845
Broomfield Heights Middle School,middle,2021,495,actual,data/raw/enrollmentdata/maps/index.html,845
Broomfield Heights Middle School,middle,2022,492,actual,data/raw/enrollmentdata/maps/index.html,845
Broomfield Heights Middle School,middle,2023,479,actual,data/raw/enrollmentdata/maps/index.html,845
Broomfield Heights Middle School,middle,2024,472,actual,data/raw/enrollmentdata/maps/index.html,845
Broomfield Heights Middle School,middle,2025,483,actual,data/raw/enrollmentdata/maps/index.html,845
Casey Middle School,middle,2014,639,actual,data/raw/enrollmentdata/maps/index.html,847
Casey Middle School,middle,2015,655,actual,data/raw/enrollmentdata/maps/index.html,847
Casey Middle School,middle,2016,660,actual,data/raw/enrollmentdata/maps/index.html,847
Casey Middle School,middle,2017,672,actual,data/raw/enrollmentdata/maps/index.html,847
Casey Middle School,middle,2018,622,actual,data/raw/enrollmentdata/maps/index.html,847
Casey Middle School,middle,2019,594,actual,data/raw/enrollmentdata/maps/index.html,847
Casey Middle School,middle,2020,477,actual,data/raw/enrollmentdata/maps/index.html,847
Casey Middle School,middle,2021,463,actual,data/raw/enrollmentdata/maps/index.html,847
Casey Middle School,middle,2022,441,actual,data/raw/enrollmentdata/maps/index.html,847
Casey Middle School,middle,2023,370,actual,data/raw/enrollmentdata/maps/index.html,847
Casey Middle School,middle,2024,346,actual,data/raw/enrollmentdata/maps/index.html,847
Casey Middle School,middle,2025,321,actual,data/raw/enrollmentdata/maps/index.html,847
Centennial Middle School,middle,2014,639,actual,data/raw/enrollmentdata/maps/index.html,849
Centennial Middle School,middle,2015,631,actual,data/raw/enrollmentdata/maps/index.html,849
Centennial Middle School,middle,2016,640,actual,data/raw/enrollmentdata/maps/index.html,849
Centennial Middle School,middle,2017,646,actual,data/raw/enrollmentdata/maps/index.html,849
Centennial Middle School,middle,2018,628,actual,data/raw/enrollmentdata/maps/index.html,849
Centennial Middle School,middle,2019,604,actual,data/raw/enrollmentdata/maps/index.html,849
Centennial Middle School,middle,2020,530,actual,data/raw/enrollmentdata/maps/index.html,849
Centennial Middle School,middle,2021,534,actual,data/raw/enrollmentdata/maps/index.html,849
Centennial Middle School,middle,2022,531,actual,data/raw/enrollmentdata/maps/index.html,849
Centennial Middle School,middle,2023,538,actual,data/raw/enrollmentdata/maps/index.html,849
Centennial Middle School,middle,2024,542,actual,data/raw/enrollmentdata/maps/index.html,849
Centennial Middle School,middle,2025,560,actual,data/raw/enrollmentdata/maps/index.html,849
Louisville Middle School,middle,2014,649,actual,data/raw/enrollmentdata/maps/index.html,851
Louisville Middle School,middle,2015,651,actual,data/raw/enrollmentdata/maps/index.html,851
Louisville Middle School,middle,2016,674,actual,data/raw/enrollmentdata/maps/index.html,851
Louisville Middle School,middle,2017,670,actual,data/raw/enrollmentdata/maps/index.html,851
Louisville Middle School,middle,2018,678,actual,data/raw/enrollmentdata/maps/index.html,851
Louisville Middle School,middle,2019,674,actual,data/raw/enrollmentdata/maps/index.html,851
Louisville Middle School,middle,2020,618,actual,data/raw/enrollmentdata/maps/index.html,851
Louisville Middle School,middle,2021,622,actual,data/raw/enrollmentdata/maps/index.html,851
Louisville Middle School,middle,2022,620,actual,data/raw/enrollmentdata/maps/index.html,851
Louisville Middle School,middle,2023,619,actual,data/raw/enrollmentdata/maps/index.html,851
Louisville Middle School,middle,2024,618,actual,data/raw/enrollmentdata/maps/index.html,851
Louisville Middle School,middle,2025,624,actual,data/raw/enrollmentdata/maps/index.html,851
Manhattan Middle School,middle,2014,543,actual,data/raw/enrollmentdata/maps/index.html,853
Manhattan Middle School,middle,2015,540,actual,data/raw/enrollmentdata/maps/index.html,853
Manhattan Middle School,middle,2016,525,actual,data/raw/enrollmentdata/maps/index.html,853
Manhattan Middle School,middle,2017,530,actual,data/raw/enrollmentdata/maps/index.html,853
Manhattan Middle School,middle,2018,535,actual,data/raw/enrollmentdata/maps/index.html,853
Manhattan Middle School,middle,2019,523,actual,data/raw/enrollmentdata/maps/index.html,853
Manhattan Middle School,middle,2020,461,actual,data/raw/enrollmentdata/maps/index.html,853
Manhattan Middle School,middle,2021,471,actual,data/raw/enrollmentdata/maps/index.html,853
Manhattan Middle School,middle,2022,474,actual,data/raw/enrollmentdata/maps/index.html,853
Manhattan Middle School,middle,2023,454,actual,data/raw/enrollmentdata/maps/index.html,853
Manhattan Middle School,middle,2024,440,actual,data/raw/enrollmentdata/maps/index.html,853
Manhattan Middle School,middle,2025,450,actual,data/raw/enrollmentdata/maps/index.html,853
Nevin Platt Middle School,middle,2014,612,actual,data/raw/enrollmentdata/maps/index.html,855
Nevin Platt Middle School,middle,2015,629,actual,data/raw/enrollmentdata/maps/index.html,855
Nevin Platt Middle School,middle,2016,639,actual,data/raw/enrollmentdata/maps/index.html,855
Nevin Platt Middle School,middle,2017,624,actual,data/raw/enrollmentdata/maps/index.html,855
Nevin Platt Middle School,middle,2018,601,actual,data/raw/enrollmentdata/maps/index.html,855
Nevin Platt Middle School,middle,2019,570,actual,data/raw/enrollmentdata/maps/index.html,855
Nevin Platt Middle School,middle,2020,504,actual,data/raw/enrollmentdata/maps/index.html,855
Nevin Platt Middle School,middle,2021,504,actual,data/raw/enrollmentdata/maps/index.html,855
Nevin Platt Middle School,middle,2022,514,actual,data/raw/enrollmentdata/maps/index.html,855
Nevin Platt Middle School,middle,2023,494,actual,data/raw/enrollmentdata/maps/index.html,855
Nevin Platt Middle School,middle,2024,484,actual,data/raw/enrollmentdata/maps/index.html,855
Nevin Platt Middle School,middle,2025,485,actual,data/raw/enrollmentdata/maps/index.html,855
Southern Hills Middle School,middle,2014,501,actual,data/raw/enrollmentdata/maps/index.html,857
Southern Hills Middle School,middle,2015,515,actual,data/raw/enrollmentdata/maps/index.html,857
Southern Hills Middle School,middle,2016,494,actual,data/raw/enrollmentdata/maps/index.html,857
Southern Hills Middle School,middle,2017,504,actual,data/raw/enrollmentdata/maps/index.html,857
Southern Hills Middle School,middle,2018,503,actual,data/raw/enrollmentdata/maps/index.html,857
Southern Hills Middle School,middle,2019,508,actual,data/raw/enrollmentdata/maps/index.html,857
Southern Hills Middle School,middle,2020,444,actual,data/raw/enrollmentdata/maps/index.html,857
Southern Hills Middle School,middle,2021,467,actual,data/raw/enrollmentdata/maps/index.html,857
Southern Hills Middle School,middle,2022,476,actual,data/raw/enrollmentdata/maps/index.html,857
Southern Hills Middle School,middle,2023,509,actual,data/raw/enrollmentdata/maps/index.html,857
Southern Hills Middle School,middle,2024,539,actual,data/raw/enrollmentdata/maps/index.html,857
Southern Hills Middle School,middle,2025,560,actual,data/raw/enrollmentdata/maps/index.html,857
Summit Charter Middle School,middle,2014,344,actual,data/raw/enrollmentdata/maps/index.html,859
Summit Charter Middle School,middle,2015,342,actual,data/raw/enrollmentdata/maps/index.html,859
Summit Charter Middle School,middle,2016,339,actual,data/raw/enrollmentdata/maps/index.html,859
Summit Charter Middle School,middle,2017,345,actual,data/raw/enrollmentdata/maps/index.html,859
Summit Charter Middle School,middle,2018,340,actual,data/raw/enrollmentdata/maps/index.html,859
Summit Charter Middle School,middle,2019,343,actual,data/raw/enrollmentdata/maps/index.html,859
Summit Charter Middle School,middle,2020,327,actual,data/raw/enrollmentdata/maps/index.html,859
Summit Charter Middle School,middle,2021,334,actual,data/raw/enrollmentdata/maps/index.html,859
Summit Charter Middle School,middle,2022,342,actual,data/raw/enrollmentdata/maps/index.html,859
Summit Charter Middle School,middle,2023,359,actual,data/raw/enrollmentdata/maps/index.html,859
Summit Charter Middle School,middle,2024,366,actual,data/raw/enrollmentdata/maps/index.html,859
Summit Charter Middle School,middle,2025,365,actual,data/raw/enrollmentdata/maps/index.html,859
Boulder High School,high,2014,1997,actual,data/raw/enrollmentdata/maps/index.html,863
Boulder High School,high,2015,2031,actual,data/raw/enrollmentdata/maps/index.html,863
Boulder High School,high,2016,2098,actual,data/raw/enrollmentdata/maps/index.html,863
Boulder High School,high,2017,2134,actual,data/raw/enrollmentdata/maps/index.html,863
Boulder High School,high,2018,2162,actual,data/raw/enrollmentdata/maps/index.html,863
Boulder High School,high,2019,2169,actual,data/raw/enrollmentdata/maps/index.html,863
Boulder High School,high,2020,1991,actual,data/raw/enrollmentdata/maps/index.html,863
Boulder High School,high,2021,1975,actual,data/raw/enrollmentdata/maps/index.html,863
Boulder High School,high,2022,1943,actual,data/raw/enrollmentdata/maps/index.html,863
Boulder High School,high,2023,1877,actual,data/raw/enrollmentdata/maps/index.html,863
Boulder High School,high,2024,1823,actual,data/raw/enrollmentdata/maps/index.html,863
Boulder High School,high,2025,1768,actual,data/raw/enrollmentdata/maps/index.html,863
Broomfield High School,high,2014,1451,actual,data/raw/enrollmentdata/maps/index.html,865
Broomfield High School,high,2015,1461,actual,data/raw/enrollmentdata/maps/index.html,865
Broomfield High School,high,2016,1506,actual,data/raw/enrollmentdata/maps/index.html,865
Broomfield High School,high,2017,1524,actual,data/raw/enrollmentdata/maps/index.html,865
Broomfield High School,high,2018,1549,actual,data/raw/enrollmentdata/maps/index.html,865
Broomfield High School,high,2019,1576,actual,data/raw/enrollmentdata/maps/index.html,865
Broomfield High School,high,2020,1513,actual,data/raw/enrollmentdata/maps/index.html,865
Broomfield High School,high,2021,1589,actual,data/raw/enrollmentdata/maps/index.html,865
Broomfield High School,high,2022,1644,actual,data/raw/enrollmentdata/maps/index.html,865
Broomfield High School,high,2023,1691,actual,data/raw/enrollmentdata/maps/index.html,865
Broomfield High School,high,2024,1674,actual,data/raw/enrollmentdata/maps/index.html,865
Broomfield High School,high,2025,1658,actual,data/raw/enrollmentdata/maps/index.html,865
Centaurus High School,high,2014,1356,actual,data/raw/enrollmentdata/maps/index.html,867
Centaurus High School,high,2015,1372,actual,data/raw/enrollmentdata/maps/index.html,867
Centaurus High School,high,2016,1373,actual,data/raw/enrollmentdata/maps/index.html,867
Centaurus High School,high,2017,1413,actual,data/raw/enrollmentdata/maps/index.html,867
Centaurus High School,high,2018,1430,actual,data/raw/enrollmentdata/maps/index.html,867
Centaurus High School,high,2019,1451,actual,data/raw/enrollmentdata/maps/index.html,867
Centaurus High School,high,2020,1408,actual,data/raw/enrollmentdata/maps/index.html,867
Centaurus High School,high,2021,1598,actual,data/raw/enrollmentdata/maps/index.html,867
Centaurus High School,high,2022,1572,actual,data/raw/enrollmentdata/maps/index.html,867
Centaurus High School,high,2023,1574,actual,data/raw/enrollmentdata/maps/index.html,867
Centaurus High School,high,2024,1567,actual,data/raw/enrollmentdata/maps/index.html,867
Centaurus High School,high,2025,1551,actual,data/raw/enrollmentdata/maps/index.html,867
Fairview High School,high,2014,2143,actual,data/raw/enrollmentdata/maps/index.html,869
Fairview High School,high,2015,2175,actual,data/raw/enrollmentdata/maps/index.html,869
Fairview High School,high,2016,2196,actual,data/raw/enrollmentdata/maps/index.html,869
Fairview High School,high,2017,2228,actual,data/raw/enrollmentdata/maps/index.html,869
Fairview High School,high,2018,2203,actual,data/raw/enrollmentdata/maps/index.html,869
Fairview High School,high,2019,2187,actual,data/raw/enrollmentdata/maps/index.html,869
Fairview High School,high,2020,2028,actual,data/raw/enrollmentdata/maps/index.html,869
Fairview High School,high,2021,2009,actual,data/raw/enrollmentdata/maps/index.html,869
Fairview High School,high,2022,1991,actual,data/raw/enrollmentdata/maps/index.html,869
Fairview High School,high,2023,1942,actual,data/raw/enrollmentdata/maps/index.html,869
Fairview High School,high,2024,1879,actual,data/raw/enrollmentdata/maps/index.html,869
Fairview High School,high,2025,1851,actual,data/raw/enrollmentdata/maps/index.html,869
Monarch High School,high,2014,1684,actual,data/raw/enrollmentdata/maps/index.html,871
Monarch High School,high,2015,1694,actual,data/raw/enrollmentdata/maps/index.html,871
Monarch High School,high,2016,1706,actual,data/raw/enrollmentdata/maps/index.html,871
Monarch High School,high,2017,1726,actual,data/raw/enrollmentdata/maps/index.html,871
Monarch High School,high,2018,1710,actual,data/raw/enrollmentdata/maps/index.html,871
Monarch High School,high,2019,1692,actual,data/raw/enrollmentdata/maps/index.html,871
Monarch High School,high,2020,1551,actual,data/raw/enrollmentdata/maps/index.html,871
Monarch High School,high,2021,1533,actual,data/raw/enrollmentdata/maps/index.html,871
Monarch High School,high,2022,1516,actual,data/raw/enrollmentdata/maps/index.html,871
Monarch High School,high,2023,1499,actual,data/raw/enrollmentdata/maps/index.html,871
Monarch High School,high,2024,1472,actual,data/raw/enrollmentdata/maps/index.html,871
Monarch High School,high,2025,1453,actual,data/raw/enrollmentdata/maps/index.html,871
New Vista High School,high,2014,253,actual,data/raw/enrollmentdata/maps/index.html,873
New Vista High School,high,2015,266,actual,data/raw/enrollmentdata/maps/index.html,873
New Vista High School,high,2016,269,actual,data/raw/enrollmentdata/maps/index.html,873
New Vista High School,high,2017,290,actual,data/raw/enrollmentdata/maps/index.html,873
New Vista High School,high,2018,310,actual,data/raw/enrollmentdata/maps/index.html,873
New Vista High School,high,2019,328,actual,data/raw/enrollmentdata/maps/index.html,873
New Vista High School,high,2020,300,actual,data/raw/enrollmentdata/maps/index.html,873
New Vista High School,high,2021,320,actual,data/raw/enrollmentdata/maps/index.html,873
New Vista High School,high,2022,316,actual,data/raw/enrollmentdata/maps/index.html,873
New Vista High School,high,2023,313,actual,data/raw/enrollmentdata/maps/index.html,873
New Vista High School,high,2024,307,actual,data/raw/enrollmentdata/maps/index.html,873
New Vista High School,high,2025,307,actual,data/raw/enrollmentdata/maps/index.html,873
Arapahoe Ridge High School,high,2014,137,actual,data/raw/enrollmentdata/maps/index.html,884
Arapahoe Ridge High School,high,2015,132,actual,data/raw/enrollmentdata/maps/index.html,884
Arapahoe Ridge High School,high,2016,100,actual,data/raw/enrollmentdata/maps/index.html,884
Arapahoe Ridge High School,high,2017,105,actual,data/raw/enrollmentdata/maps/index.html,884
Arapahoe Ridge High School,high,2018,141,actual,data/raw/enrollmentdata/maps/index.html,884
Arapahoe Ridge High School,high,2019,88,actual,data/raw/enrollmentdata/maps/index.html,884
Arapahoe Ridge High School,high,2020,135,actual,data/raw/enrollmentdata/maps/index.html,884
Arapahoe Ridge High School,high,2021,135,actual,data/raw/enrollmentdata/maps/index.html,884
Arapahoe Ridge High School,high,2022,206,actual,data/raw/enrollmentdata/maps/index.html,884
Arapahoe Ridge High School,high,2023,244,actual,data/raw/enrollmentdata/maps/index.html,884
Arapahoe Ridge High School,high,2024,188,actual,data/raw/enrollmentdata/maps/index.html,884
Arapahoe Ridge High School,high,2025,184,actual,data/raw/enrollmentdata/maps/index.html,884
Boulder Prep Charter,high,2014,93,actual,data/raw/enrollmentdata/maps/index.html,886
Boulder Prep Charter,high,2015,84,actual,data/raw/enrollmentdata/maps/index.html,886
Boulder Prep Charter,high,2016,84,actual,data/raw/enrollmentdata/maps/index.html,886
Boulder Prep Charter,high,2017,88,actual,data/raw/enrollmentdata/maps/index.html,886
Boulder Prep Charter,high,2018,93,actual,data/raw/enrollmentdata/maps/index.html,886
Boulder Prep Charter,high,2019,101,actual,data/raw/enrollmentdata/maps/index.html,886
Boulder Prep Charter,high,2020,107,actual,data/raw/enrollmentdata/maps/index.html,886
Boulder Prep Charter,high,2021,115,actual,data/raw/enrollmentdata/maps/index.html,886
Boulder Prep Charter,high,2022,119,actual,data/raw/enrollmentdata/maps/index.html,886
Boulder Prep Charter,high,2023,111,actual,data/raw/enrollmentdata/maps/index.html,886
Boulder Prep Charter,high,2024,102,actual,data/raw/enrollmentdata/maps/index.html,886
Boulder Prep Charter,high,2025,93,actual,data/raw/enrollmentdata/maps/index.html,886
