spec,horizon,n,cov50,cov80,cov95,n_above_p90,n_below_p10,median_ape_model,median_ape_bvsd,mean_signed_model,p90_ape_model,p90_ape_bvsd,n_paired
level,1,50,0.48,0.76,0.92,4,8,4.03121906978531,3.260869565217391,1.7112409179889776,8.854347975687354,9.356612482440298,49
level,2,25,0.32,0.72,0.88,4,3,6.530464442062348,5.679487404238907,2.9652007117724124,17.039622767899353,11.884328358208954,24
trend,1,50,0.4,0.74,0.88,7,6,3.294287053522668,3.260869565217391,0.28262797606771867,9.737523789560774,9.356612482440298,49
trend,2,25,0.32,0.72,0.88,6,1,8.42827475349485,5.679487404238907,-0.6435694439098758,15.248048584552748,11.884328358208954,24
