fall,lo,hi,bc,mesa,r_implied_lo,r_implied_hi,sum_100pct
2027,392,445,293.0,203.0,0.4876847290640394,0.7487684729064039,496.0
2030,403,462,320.0,201.0,0.4129353233830846,0.7064676616915423,521.0
