spec,fall,run,median,p10,p90,p_over_450,p_over_492,bc_median,mesa_median
trend,2027,baseline (data through Oct 2025),472.7713126250011,425.06738586703415,521.9210316878122,0.7503,0.3027,292.025007122662,200.183879255443
trend,2027,conditional (Aug 08-28 count as Oct 2026),491.2701017485565,464.02707761793937,526.5748823157917,0.9174,0.4848,319.15684936735147,190.17072658715855
trend,2030,baseline (data through Oct 2025),430.0953917633183,359.9897897382391,509.62472730265034,0.3725,0.1573,268.23333681795305,180.0520116270686
trend,2030,conditional (Aug 08-28 count as Oct 2026),449.63380527283084,387.41005318133176,513.1701020563038,0.4969,0.1941,294.82456798050146,170.58993893611614
level,2027,baseline (data through Oct 2025),493.610303751162,443.22157493440733,543.320294808308,0.8696,0.516,306.72455485207735,206.9508693570313
level,2027,conditional (Aug 08-28 count as Oct 2026),506.15782582514925,475.7827921418358,541.5761237163954,0.9174,0.7526,329.7515995152223,193.76329451703236
level,2030,baseline (data through Oct 2025),502.5755875662302,428.78538643226767,581.5785221815819,0.8176,0.5738,317.4354526876225,204.77054397451815
level,2030,conditional (Aug 08-28 count as Oct 2026),522.280661029276,455.8893730735749,590.0062287202245,0.9202,0.7211,348.5074268016571,192.51763274010466
