group,n,median_abs,p80_abs,p90_abs,max_abs,mean_signed,share_over
"all elementary, 10 Octobers",328,3.114769595112292,6.506519997086037,8.160066006600662,20.207253886010363,1.0986919678189417,0.5365853658536586
size under 300,112,3.756842285323298,7.399810393863658,8.826881244345198,20.207253886010363,2.142587978363222,0.6071428571428571
size 300-400,88,3.6038349597671635,7.394356026689005,9.14924859470001,18.151815181518153,1.132528343864634,0.5113636363636364
size over 400,128,2.488124985930078,5.411905340789368,7.456124190357988,11.778846153846153,0.16202045006128324,0.4921875
Bear Creek,10,2.949275362318841,,,8.0,0.074903346553749,0.4
Mesa,10,3.604504048582996,,,7.317073170731708,0.9481257036712141,0.6
