school,fy27_book_gf_budget,fy27_fte,fy27_projected_pupils,fy25_cde_fund10_spending,fy25_school_administration,fy25_operations_maintenance,fy24_cde_fund10_spending,fy27_budget_per_projected_pupil,fixed_lines_admin_plus_om_fy25
Mesa,3024735,25.343,217,3518665,359532.0,288233.0,3369354,13938.870967741936,647765.0
Bear Creek,3688335,30.511,299,3977000,,,3615292,12335.56856187291,
