,err_n,err_median_ape,err_mean_ape,err_p80_ape,err_p90_ape,err_max_ape,err_mean_signed,err_share_under,err_rmse_pct,rev_n,rev_median_abs,rev_p80_abs,rev_p90_abs,rev_max_abs
1,59.0,3.202846975088968,4.151917293290953,6.397328606175539,9.356612482440298,20.207253886010363,0.5946340006966309,0.576271186440678,5.525578090157935,,,,,
2,29.0,5.693950177935943,6.489666807013643,9.396029258098224,12.954545454545453,17.616580310880828,0.01936563154710845,0.5517241379310345,7.884927409006497,59.0,3.9045553145336225,9.066965739300315,11.546358155450548,24.892703862660944
3,,,,,,,,,,59.0,5.970149253731344,10.757763975155283,12.275558631599763,27.426160337552744
4,,,,,,,,,,59.0,6.1946902654867255,12.210723874566645,15.073131056919538,32.804232804232804
5,,,,,,,,,,59.0,6.538461538461538,12.50364608653379,14.7292700607818,46.06060606060606
