,p10,p50,p90,observed_2021_25
trend,25.248093740010304,39.49579492522672,51.022677523878706,"[48, 50, 32, 51, 48]"
level,29.52133750960384,45.27522129429363,57.78850796859838,"[48, 50, 32, 51, 48]"
