item,share_of_GF_book,share_of_GF_ubs,teacher_FTE_at_loaded_cost,FTE_per_elementary_school,per_closed_school_of_six
package recurring saving $3.5M,0.009061930801517034,0.008532379527067268,23.328201129084935,0.8044207285891357,583333.3333333334
package recurring saving $4.0M,0.010356492344590896,0.009751290888076877,26.660801290382782,0.9193379755304407,666666.6666666666
