fall,residents_deck,capture_2025_26,residents_attending,external_in_district,out_of_district,placements,external_total,enrollment_today_pattern,range_lo,range_hi,capacity,capture_needed_lo_ext_held,external_needed_lo_capture_held,external_cut_lo_capture_held,capture_needed_hi_ext_held,external_needed_hi_capture_held,external_cut_hi_capture_held,capture_needed_450_ext_held,external_needed_450_capture_held,external_cut_450_capture_held,capture_needed_492_ext_held,external_needed_492_capture_held,external_cut_492_capture_held
2027,473.0,0.827,391.171,75,23,23,121,512.171,392,445,492,0.572938689217759,0.8290000000000077,120.17099999999999,0.6849894291754757,53.82900000000001,67.17099999999999,0.6955602536997886,58.82900000000001,62.17099999999999,0.7843551797040169,100.82900000000001,20.170999999999992
2030,522.0,0.827,431.69399999999996,75,23,23,121,552.694,403,462,492,0.5402298850574713,-28.69399999999996,149.69399999999996,0.6532567049808429,30.30600000000004,90.69399999999996,0.6302681992337165,18.30600000000004,102.69399999999996,0.710727969348659,60.30600000000004,60.69399999999996
