crossflow_x,combined_area_capture,external_seats,fall,enrollment_today_pattern,capture_needed_lo,capture_needed_hi,capture_gap_vs_today,seats_needed_hi,cut_needed_hi,cut_share_of_external
0,0.7415506958250497,163.0,2027,513.7534791252485,0.48414376321353064,0.5961945031712473,0.1453561926538024,94.24652087475147,68.75347912524853,0.4218004854309726
0,0.7415506958250497,163.0,2030,550.089463220676,0.45977011494252873,0.5727969348659003,0.1687537609591494,74.91053677932405,88.08946322067595,0.5404261547280733
20,0.7813121272365805,143.0,2027,512.5606361829025,0.5264270613107822,0.638477801268499,0.14283432596808154,75.43936381709744,67.56063618290256,0.47245200127903886
20,0.7813121272365805,143.0,2030,550.844930417495,0.49808429118773945,0.6111111111111112,0.17020101612546934,54.15506958250501,88.844930417495,0.6212932197027622
40,0.8210735586481114,123.0,2027,511.3677932405567,0.5687103594080338,0.6807610993657506,0.1403124592823608,56.63220675944331,66.3677932405567,0.539575554801274
40,0.8210735586481114,123.0,2030,551.6003976143141,0.5363984674329502,0.6494252873563219,0.1716482712917895,33.39960238568585,89.60039761431415,0.7284585171895459
60,0.8608349900596421,103.0,2027,510.1749502982107,0.6109936575052854,0.7230443974630021,0.13779059259664006,37.82504970178928,65.17495029821072,0.6327665077496186
60,0.8608349900596421,103.0,2030,552.3558648111332,0.5747126436781609,0.6877394636015326,0.17309552645810955,12.644135188866812,90.35586481113319,0.8772414059333319
80,0.9005964214711729,83.0,2027,508.9821073558648,0.653276955602537,0.7653276955602537,0.1352687259109192,19.017892644135202,63.9821073558648,0.7708687633236723
80,0.9005964214711729,83.0,2030,553.1113320079523,0.6130268199233716,0.7260536398467433,0.1745427816244296,-8.111332007952285,91.11133200795229,1.0977268916620757
100,0.9403578528827038,63.0,2027,507.7892644135189,0.6955602536997886,0.8076109936575053,0.13274685922519847,0.21073558648112112,62.78926441351888,0.9966549906907759
100,0.9403578528827038,63.0,2030,553.8667992047714,0.6513409961685823,0.764367816091954,0.17599003679074976,-28.866799204771382,91.86679920477138,1.458203161980498
