october_year,n,median_abs,p80_abs,p90_abs,max_abs,mean_signed,share_over
2015,32,2.253202124336145,4.340840840840841,4.8087298689708335,7.6923076923076925,-0.4485922741222983,0.375
2016,32,3.4476418864908074,5.76522114613534,8.03640423366133,8.851674641148325,0.6479157951271742,0.59375
2017,33,2.3593466424682394,3.963756383111222,4.42306028474472,8.970976253298153,0.24893785099074708,0.5151515151515151
2018,33,3.508771929824561,7.765610438024231,8.952527082975093,9.667673716012084,0.8707222652930691,0.5454545454545454
2019,33,4.112554112554113,7.439109406997517,7.584235167702817,9.821428571428571,0.5942809098917979,0.5151515151515151
2021,33,4.646017699115045,9.388253241800154,13.939372781753654,17.647058823529413,3.654554366514829,0.6363636363636364
2022,33,4.49438202247191,8.443264053020151,11.454326923076923,18.151815181518153,3.3889727964256235,0.7272727272727273
2023,33,4.262295081967213,6.140615895897625,7.340885631034979,9.047619047619047,0.9579930019207352,0.5757575757575758
2024,33,2.0316027088036117,4.86046511627907,5.5223959713755635,6.918238993710692,-0.9481837348950433,0.36363636363636365
2025,33,3.233256351039261,7.102899229426542,9.611880393337348,20.207253886010363,1.9597714157508743,0.5151515151515151
