fall,target,target_label,enrollment_at_today_rates,capture_needed_if_seats_today,seats_needed_if_capture_today
2027,392,bottom of proposal range,513.7534791252485,0.48414376321353064,41.24652087475147
2027,445,top of proposal range,513.7534791252485,0.5961945031712473,94.24652087475147
2027,492,building capacity,513.7534791252485,0.6955602536997886,141.24652087475147
2030,403,bottom of proposal range,550.089463220676,0.45977011494252873,15.910536779324048
2030,462,top of proposal range,550.089463220676,0.5727969348659003,74.91053677932405
2030,492,building capacity,550.089463220676,0.6302681992337165,104.91053677932405
