spec,draw,fall,median,p10,p90,width80,p_over_450,p_over_492,corr_bc_mesa
trend,joint (main),2027,473.6566868217882,426.80479053890457,522.224761358022,95.4199708191174,0.7476,0.3037,0.6157501709825939
trend,joint (main),2030,430.99816715531415,360.3130344244647,509.18726184760067,148.87422742313595,0.3716,0.1538,0.32470184330232327
trend,independent,2027,474.32219615209357,434.8132913398943,515.2302204264033,80.41692908650901,0.7792,0.2864,-0.0018631933922636404
trend,independent,2030,431.6798259458841,365.95007338868004,500.97081173436186,135.02073834568182,0.3704,0.1301,-0.011565278115753337
level,joint (main),2027,493.61030375116206,443.22157493440733,543.320294808308,100.09871987390062,0.8696,0.516,0.6210917646760181
level,joint (main),2030,502.5755875662302,428.78538643226767,581.5785221815818,152.7931357493141,0.8176,0.5738,0.4213793239956353
level,independent,2027,494.3887305416698,452.482387850059,536.2147190441995,83.73233119414044,0.9123,0.5306,-0.004067229887883742
level,independent,2030,503.1001701282462,436.50513832829716,574.7010251653063,138.19588683700914,0.8418,0.5829,-0.0014368888871817609
