decision_year,information,horizon_years,width80_2030,median_2030,width80_sd_across_outcomes,median_spread_p10_p90
2026,today: counts through Oct 2025,5,150.16760467368636,431.05410914737917,,
2027,1 more October count(s),4,127.73926664414563,435.314769588681,11.291450039687607,99.02774669977032
2028,2 more October count(s),3,105.63812547235845,436.4774275076503,12.06806899006203,121.16199004208039
