level_window_years,window,merged_2030_median,p10,p90,p_over_450,p_over_492
2,2024-2025,546.8908122545445,473.00822144461847,621.6086946205993,0.95575,0.83
3,2023-2025,503.2307272006526,429.81082395024475,583.257265200879,0.81975,0.58075
5,2021-2025,519.4461893079565,447.70950741150205,595.16074057027,0.893,0.687
6,2020-2025,505.0390511762491,436.4697197156674,581.1030826490144,0.8465,0.59725
3,2023-2025 (median-centred noise),484.37954357280216,414.805764973124,560.67343850514,0.7325,0.4455
