fall,residents,capture,choice_seats,enrollment,in_district_range,above_492,is_today_rates,p_over_492_trend,p_over_492_level
2030,522.0,0.7,75,440.4,True,False,False,0.2007,0.1641
2030,522.0,0.7,100,465.4,False,False,False,0.3384,0.3118
2030,522.0,0.7,125,490.4,False,False,False,0.4899,0.4898
2030,522.0,0.7,163,528.4,False,True,False,0.7064,0.7279
2030,522.0,0.7415506958250497,0,387.08946322067595,False,False,False,0.0291,0.0155
2030,522.0,0.7415506958250497,25,412.08946322067595,True,False,False,0.0822,0.0555
2030,522.0,0.7415506958250497,50,437.08946322067595,True,False,False,0.1836,0.1469
2030,522.0,0.7415506958250497,75,462.08946322067595,False,False,False,0.318,0.2907
2030,522.0,0.7415506958250497,100,487.08946322067595,False,False,False,0.4696,0.4655
2030,522.0,0.7415506958250497,125,512.089463220676,False,True,False,0.6232,0.6368
2030,522.0,0.7415506958250497,163,550.089463220676,False,True,True,0.7975,0.8244
2030,522.0,0.8,0,417.6,True,False,False,0.1023,0.0726
2030,522.0,0.8,25,442.6,True,False,False,0.214,0.1771
2030,522.0,0.8,50,467.6,False,False,False,0.3518,0.3265
2030,522.0,0.8,75,492.6,False,True,False,0.5038,0.505
2030,522.0,0.8,100,517.6,False,True,False,0.6514,0.6674
2030,522.0,0.8,125,542.6,False,True,False,0.7673,0.7955
2030,522.0,0.8,163,580.6,False,True,False,0.8881,0.9138
2030,522.0,0.85,0,443.7,True,False,False,0.2214,0.1838
2030,522.0,0.85,25,468.7,False,False,False,0.3598,0.3338
2030,522.0,0.85,50,493.7,False,True,False,0.5102,0.512
2030,522.0,0.85,75,518.7,False,True,False,0.6568,0.6744
2030,522.0,0.85,100,543.7,False,True,False,0.7724,0.7987
2030,522.0,0.85,125,568.7,False,True,False,0.8571,0.8841
2030,522.0,0.85,163,606.7,False,True,False,0.9356,0.9552
2030,522.0,0.9,0,469.8,False,False,False,0.3659,0.3406
2030,522.0,0.9,25,494.8,False,True,False,0.5167,0.5201
2030,522.0,0.9,50,519.8,False,True,False,0.6621,0.6797
2030,522.0,0.9,75,544.8,False,True,False,0.7774,0.8039
2030,522.0,0.9,100,569.8,False,True,False,0.8595,0.887
2030,522.0,0.9,125,594.8,False,True,False,0.9178,0.9387
2030,522.0,0.9,163,632.8,False,True,False,0.9656,0.9796
