B25010_001EA,B25010_002EA,B25010_003EA,B25010_001MA,B25010_002M,B25010_001M,B25010_002MA,B25010_003MA,NAME,GEO_ID,B25010_003M,B25010_002E,B25010_001E,B25010_003E
,,,,0.32,0.22,,,Census Tract 132.15; Boulder County; Colorado,1400000US08013013215,0.31,2.56,2.30,2.07
,,,,0.30,0.18,,,Census Tract 133.02; Boulder County; Colorado,1400000US08013013302,0.19,2.01,1.88,1.70
,,,,0.43,0.29,,,Census Tract 133.05; Boulder County; Colorado,1400000US08013013305,0.47,3.16,2.78,1.99
,,,,0.43,0.31,,,Census Tract 133.06; Boulder County; Colorado,1400000US08013013306,0.51,2.62,2.41,1.95
,,,,0.20,0.18,,,Census Tract 133.07; Boulder County; Colorado,1400000US08013013307,0.39,2.42,2.28,2.05
,,,,0.12,0.18,,,Census Tract 133.08; Boulder County; Colorado,1400000US08013013308,0.48,1.76,2.00,2.40
,,,,0.34,0.15,,,Census Tract 134.01; Boulder County; Colorado,1400000US08013013401,0.20,2.55,1.92,1.67
,,,,0.20,0.17,,,Census Tract 134.02; Boulder County; Colorado,1400000US08013013402,0.54,2.28,2.36,2.63
,,,,0.25,0.26,,,Census Tract 135.03; Boulder County; Colorado,1400000US08013013503,0.55,2.47,2.61,2.77
,,,,0.50,0.26,,,Census Tract 135.05; Boulder County; Colorado,1400000US08013013505,0.37,2.77,2.40,2.14
,,,,0.15,0.14,,,Census Tract 135.06; Boulder County; Colorado,1400000US08013013506,0.50,2.32,2.39,2.77
,,,,0.31,0.34,,,Census Tract 135.07; Boulder County; Colorado,1400000US08013013507,0.75,2.24,2.50,3.26
,,,,0.16,0.18,,,Census Tract 135.08; Boulder County; Colorado,1400000US08013013508,0.58,2.41,2.42,2.48
,,,,0.23,0.21,,,Census Tract 136.01; Boulder County; Colorado,1400000US08013013601,0.41,2.56,2.41,1.54
,,,,0.38,0.37,,,Census Tract 136.02; Boulder County; Colorado,1400000US08013013602,0.72,2.14,2.07,1.62
,,,,0.15,0.15,,,Census Tract 137.03; Boulder County; Colorado,1400000US08013013703,0.36,2.02,1.92,1.20
,,,,0.20,0.16,,,Census Tract 137.04; Boulder County; Colorado,1400000US08013013704,0.52,2.14,2.11,1.99
,,,,0.25,0.20,,,Census Tract 137.05; Boulder County; Colorado,1400000US08013013705,0.28,2.32,2.11,1.80
,,,,0.21,0.18,,,Census Tract 137.06; Boulder County; Colorado,1400000US08013013706,0.55,2.18,2.20,2.34
,,,,0.40,0.22,,,Census Tract 606.01; Boulder County; Colorado,1400000US08013060601,0.23,2.98,2.32,1.94
,,,,0.30,0.37,,,Census Tract 606.02; Boulder County; Colorado,1400000US08013060602,1.59,1.78,2.00,3.13
,,,,0.18,0.14,,,Census Tract 607; Boulder County; Colorado,1400000US08013060700,0.28,2.34,2.24,1.79
,,,,0.30,0.23,,,Census Tract 608.01; Boulder County; Colorado,1400000US08013060801,0.29,2.51,2.12,1.88
,,,,0.44,0.31,,,Census Tract 608.02; Boulder County; Colorado,1400000US08013060802,0.44,2.49,2.63,2.77
,,,,0.25,0.21,,,Census Tract 609; Boulder County; Colorado,1400000US08013060900,0.33,2.64,2.42,1.70
,,,,0.21,0.19,,,Census Tract 613; Boulder County; Colorado,1400000US08013061300,0.63,3.18,3.23,3.54
,,,,0.24,0.23,,,Census Tract 614; Boulder County; Colorado,1400000US08013061400,0.52,2.93,2.84,2.51
