B01001_024E,B01001_012E,B01001_048E,B01001_031MA,B01001_036E,B01001_035EA,B01001_024M,B01001_012M,B01001_016MA,B01001_048M,B01001_036M,B01001_039MA,B01001_012EA,B01001_009EA,B01001_011E,B01001_020MA,B01001_035E,B01001_023E,B01001_047E,B01001_043MA,B01001_011M,B01001_005MA,B01001_028MA,B01001_035M,B01001_047EA,B01001_023M,B01001_047M,B01001_001EA,B01001_024EA,B01001_002E,B01001_015MA,B01001_026E,B01001_030MA,B01001_014E,B01001_038E,B01001_011EA,B01001_034EA,B01001_002M,B01001_026M,B01001_038MA,B01001_014M,B01001_038M,B01001_008EA,B01001_013E,B01001_001E,B01001_037E,B01001_004MA,B01001_025E,B01001_042MA,B01001_049E,B01001_046EA,B01001_013M,B01001_001M,B01001_027MA,B01001_037M,B01001_025M,B01001_023EA,B01001_049M,B01001_010MA,B01001_004E,B01001_028E,B01001_016E,B01001_033MA,B01001_018MA,B01001_037EA,B01001_004M,B01001_014EA,B01001_028M,B01001_016M,B01001_049EA,B01001_029E,B01001_022MA,B01001_045MA,B01001_015E,B01001_003E,B01001_039E,B01001_027E,B01001_007MA,B01001_003EA,B01001_015M,B01001_026EA,B01001_041EA,B01001_003M,B01001_039M,B01001_027M,NAME,B01001_038EA,B01001_018M,B01001_006E,B01001_032MA,B01001_017MA,B01001_036EA,B01001_006M,B01001_013EA,B01001_019E,B01001_007E,B01001_021MA,B01001_029M,B01001_040EA,B01001_017E,B01001_005E,B01001_044MA,B01001_029MA,B01001_006MA,B01001_048EA,B01001_025EA,B01001_017M,B01001_002EA,B01001_005M,B01001_018E,B01001_008M,B01001_035MA,B01001_012MA,B01001_040E,B01001_031EA,B01001_005EA,B01001_028EA,B01001_040M,B01001_009E,B01001_019M,B01001_007M,B01001_047MA,B01001_001MA,B01001_024MA,B01001_020EA,B01001_009MA,B01001_043EA,B01001_017EA,B01001_008E,B01001_011MA,B01001_034MA,B01001_019MA,B01001_015EA,B01001_030EA,B01001_042E,B01001_030E,B01001_027EA,B01001_042M,B01001_030M,B01001_046MA,B01001_009M,B01001_023MA,B01001_008MA,B01001_004EA,B01001_042EA,B01001_041E,B01001_016EA,B01001_039EA,B01001_041M,B01001_044E,B01001_032E,B01001_037MA,B01001_014MA,B01001_044M,B01001_010EA,B01001_032M,B01001_020E,B01001_033EA,B01001_007EA,B01001_020M,B01001_043E,B01001_003MA,B01001_026MA,B01001_041MA,B01001_022EA,B01001_045EA,B01001_043M,B01001_049MA,B01001_031E,B01001_019EA,B01001_031M,B01001_022E,B01001_010E,B01001_036MA,B01001_046E,B01001_034E,B01001_013MA,B01001_022M,B01001_010M,B01001_046M,B01001_034M,B01001_032EA,B01001_029EA,B01001_006EA,B01001_033E,B01001_021E,B01001_045E,B01001_048MA,B01001_025MA,B01001_002MA,B01001_033M,B01001_021EA,B01001_021M,B01001_045M,B01001_044EA,GEO_ID,B01001_018EA,B01001_040MA
1,0,0,,50,,2,14,,14,74,,,,79,,37,7,15,,93,,,57,,13,20,,,668,,471,,15,15,,,347,234,,25,25,,98,1139,66,,0,,0,,94,569,,72,14,,14,,0,0,0,,,,14,,14,14,,0,,,0,112,8,38,,,14,,,105,15,54,Block Group 3; Census Tract 121.05; Boulder County; Colorado,,42,14,,,,27,,20,80,,14,,105,24,,,,,,101,,40,25,14,,,91,,,,119,0,25,128,,,,,,,,0,,,,,,7,42,,13,67,,14,,,,,10,,,18,8,0,,,14,,14,37,,,32,18,,,,,,25,,0,,14,16,27,,0,25,,23,47,14,47,,,,0,8,41,,,,14,,16,34,,1500000US080130121053,,
31,9,16,,12,,38,15,,27,22,,,,63,,10,9,18,,60,,,16,,14,14,,,852,,804,,61,117,,,398,227,,78,107,,0,1656,0,,9,,0,,14,577,,14,14,,14,,98,0,78,,,,91,,14,78,,57,,,33,24,104,0,,,41,,,41,87,14,Block Group 4; Census Tract 121.05; Boulder County; Colorado,,105,22,,,,42,,0,0,,77,,227,18,,,,,,314,,27,106,14,,,113,,,,115,0,14,14,,,,,,,,0,,,,,,131,21,,96,31,,14,,,,,83,,,61,0,0,,,14,,14,0,,,14,32,,,,,,50,,0,,14,30,14,,54,28,,27,24,57,32,,,,0,20,8,,,,14,,23,15,,1500000US080130121054,,
7,21,7,,48,,11,26,,11,49,,,,49,,69,9,7,,40,,,39,,14,11,,,487,,477,,0,24,,,189,138,,14,23,,73,964,7,,0,,0,,70,249,,12,14,,14,,55,47,61,,,,65,,44,41,,12,,,41,0,31,10,,,29,,,14,36,14,Block Group 1; Census Tract 121.06; Boulder County; Colorado,,14,0,,,,14,,17,23,,16,,62,0,,,,,,54,,14,9,14,,,43,,,,41,0,26,39,,,,,,,,0,,,,,,7,20,,11,31,,14,,,,,28,,,36,32,0,,,30,,14,0,,,14,40,,,,,,46,,0,,14,18,26,,9,0,,26,31,15,14,,,,19,16,17,,,,29,,18,24,,1500000US080130121061,,
8,42,12,,41,,13,48,,18,44,,,,41,,63,28,29,,33,,,46,,25,23,,,743,,921,,34,13,,,163,242,,36,24,,32,1664,66,,0,,1,,32,323,,46,14,,8,,47,33,67,,,,56,,33,55,,9,,,78,30,47,35,,,49,,,53,31,31,Block Group 2; Census Tract 121.06; Boulder County; Colorado,,24,56,,,,50,,23,0,,15,,26,50,,,,,,26,,46,15,14,,,160,,,,85,0,38,14,,,,,,,,0,,,,,,22,56,,35,42,,14,,,,,32,,,27,72,0,,,53,,14,54,,,37,9,,,,,,14,,35,,51,74,28,,169,0,,54,43,184,14,,,,0,10,17,,,,14,,17,20,,1500000US080130121062,,
10,15,5,,52,,14,18,,8,38,,,,151,,69,28,6,,100,,,57,,35,10,,,763,,652,,53,49,,,219,165,,40,43,,95,1415,58,,6,,0,,63,303,,51,11,,14,,25,35,30,,,,28,,30,35,,62,,,53,38,48,40,,,55,,,57,56,38,Block Group 1; Census Tract 121.07; Boulder County; Colorado,,13,0,,,,14,,22,25,,82,,4,23,,,,,,8,,27,4,15,,,0,,,,14,0,22,38,,,,,,,,9,,,,,,22,16,,34,19,,14,,,,,23,,,20,0,40,,,14,,56,25,,,29,33,,,,,,32,,0,,14,63,84,,23,35,,48,110,21,35,,,,0,0,36,,,,14,,14,30,,1500000US080130121071,,
16,119,11,,35,,25,110,,17,37,,,,206,,131,53,13,,138,,,105,,35,23,,,922,,795,,117,27,,,235,307,,75,34,,29,1717,14,,54,,105,,27,493,,21,59,,87,,96,0,35,,,,95,,14,33,,10,,,8,0,56,12,,,13,,,14,77,18,Block Group 2; Census Tract 121.07; Boulder County; Colorado,,14,10,,,,14,,19,0,,14,,69,0,,,,,,48,,14,13,14,,,18,,,,27,18,21,14,,,,,,,,0,,,,,,17,33,,27,36,,29,,,,,86,,,49,5,0,,,9,,14,8,,,15,9,,,,,,14,,0,,14,34,8,,54,159,,34,15,31,198,,,,0,10,0,,,,14,,25,14,,1500000US080130121072,,
22,53,0,,22,,23,45,,14,23,,,,106,,11,0,27,,96,,,18,,14,25,,,511,,734,,0,42,,,195,315,,14,60,,9,1245,97,,9,,45,,15,456,,60,15,,37,,18,30,11,,,,29,,29,16,,0,,,69,0,55,11,,,65,,,14,55,17,Block Group 3; Census Tract 121.07; Boulder County; Colorado,,27,33,,,,40,,27,16,,14,,0,69,,,,,,14,,76,23,14,,,21,,,,29,0,27,28,,,,,,,,0,,,,,,0,56,,14,52,,14,,,,,78,,,59,0,0,,,14,,14,19,,,30,37,,,,,,37,,172,,238,0,27,,17,13,,14,47,21,23,,,,0,0,0,,,,14,,14,14,,1500000US080130121073,,
14,29,10,,21,,15,34,,13,34,,,,32,,77,17,14,,32,,,97,,27,15,,,249,,404,,45,51,,,94,143,,39,56,,10,653,19,,8,,7,,16,190,,19,13,,11,,0,10,40,,,,14,,16,57,,6,,,0,11,0,0,,,14,,,17,14,14,Block Group 1; Census Tract 122.01; Boulder County; Colorado,,14,0,,,,14,,0,0,,9,,5,0,,,,,,10,,14,0,14,,,7,,,,12,0,14,14,,,,,,,,0,,,,,,0,0,,14,14,,14,,,,,10,,,13,7,39,,,12,,63,0,,,14,0,,,,,,14,,17,,33,22,0,,52,41,,18,14,53,44,,,,0,16,16,,,,14,,19,18,,1500000US080130122011,,
13,45,7,,43,,16,56,,11,34,,,,28,,200,0,0,,33,,,163,,14,14,,,735,,772,,136,86,,,217,358,,124,67,,53,1507,25,,0,,6,,38,513,,30,14,,12,,0,0,47,,,,14,,14,68,,83,,,13,25,73,21,,,18,,,33,108,28,Block Group 2; Census Tract 122.01; Boulder County; Colorado,,14,0,,,,14,,14,44,,124,,90,10,,,,,,50,,17,0,47,,,26,,,,29,60,17,48,,,,,,,,41,,,,,,15,51,,23,63,,56,,,,,41,,,37,10,9,,,16,,13,16,,,24,21,,,,,,23,,0,,14,10,90,,15,9,,16,77,18,14,,,,0,0,31,,,,14,,14,39,,1500000US080130122012,,
32,10,40,,0,,23,16,,25,14,,,,70,,54,9,10,,66,,,50,,12,13,,,675,,567,,37,22,,,151,154,,32,30,,45,1242,26,,7,,0,,37,256,,25,11,,14,,0,26,7,,,,14,,35,12,,6,,,28,38,47,0,,,38,,,44,36,14,Block Group 3; Census Tract 122.01; Boulder County; Colorado,,33,7,,,,12,,20,0,,10,,27,47,,,,,,25,,41,39,14,,,13,,,,16,9,30,14,,,,,,,,0,,,,,,10,17,,15,22,,15,,,,,43,,,39,13,40,,,18,,51,4,,,6,20,,,,,,17,,10,,17,102,95,,41,37,,62,73,33,38,,,,84,42,8,,,,96,,26,12,,1500000US080130122013,,
