B01001_024E,B01001_012E,B01001_048E,B01001_031MA,B01001_036E,B01001_035EA,B01001_024M,B01001_012M,B01001_016MA,B01001_048M,B01001_036M,B01001_039MA,B01001_012EA,B01001_009EA,B01001_011E,B01001_020MA,B01001_035E,B01001_023E,B01001_047E,B01001_043MA,B01001_011M,B01001_005MA,B01001_028MA,B01001_035M,B01001_047EA,B01001_023M,B01001_047M,B01001_001EA,B01001_024EA,B01001_002E,B01001_015MA,B01001_026E,B01001_030MA,B01001_014E,B01001_038E,B01001_011EA,B01001_034EA,B01001_002M,B01001_026M,B01001_038MA,B01001_014M,B01001_038M,B01001_008EA,B01001_013E,B01001_001E,B01001_037E,B01001_004MA,B01001_025E,B01001_042MA,B01001_049E,B01001_046EA,B01001_013M,B01001_001M,B01001_027MA,B01001_037M,B01001_025M,B01001_023EA,B01001_049M,B01001_010MA,B01001_004E,B01001_028E,B01001_016E,B01001_033MA,B01001_018MA,B01001_037EA,B01001_004M,B01001_014EA,B01001_028M,B01001_016M,B01001_049EA,B01001_029E,B01001_022MA,B01001_045MA,B01001_015E,B01001_003E,B01001_039E,B01001_027E,B01001_007MA,B01001_003EA,B01001_015M,B01001_026EA,B01001_041EA,B01001_003M,B01001_039M,B01001_027M,NAME,B01001_038EA,B01001_018M,B01001_006E,B01001_032MA,B01001_017MA,B01001_036EA,B01001_006M,B01001_013EA,B01001_019E,B01001_007E,B01001_021MA,B01001_029M,B01001_040EA,B01001_017E,B01001_005E,B01001_044MA,B01001_029MA,B01001_006MA,B01001_048EA,B01001_025EA,B01001_017M,B01001_002EA,B01001_005M,B01001_018E,B01001_008M,B01001_035MA,B01001_012MA,B01001_040E,B01001_031EA,B01001_005EA,B01001_028EA,B01001_040M,B01001_009E,B01001_019M,B01001_007M,B01001_047MA,B01001_001MA,B01001_024MA,B01001_020EA,B01001_009MA,B01001_043EA,B01001_017EA,B01001_008E,B01001_011MA,B01001_034MA,B01001_019MA,B01001_015EA,B01001_030EA,B01001_042E,B01001_030E,B01001_027EA,B01001_042M,B01001_030M,B01001_046MA,B01001_009M,B01001_023MA,B01001_008MA,B01001_004EA,B01001_042EA,B01001_041E,B01001_016EA,B01001_039EA,B01001_041M,B01001_044E,B01001_032E,B01001_037MA,B01001_014MA,B01001_044M,B01001_010EA,B01001_032M,B01001_020E,B01001_033EA,B01001_007EA,B01001_020M,B01001_043E,B01001_003MA,B01001_026MA,B01001_041MA,B01001_022EA,B01001_045EA,B01001_043M,B01001_049MA,B01001_031E,B01001_019EA,B01001_031M,B01001_022E,B01001_010E,B01001_036MA,B01001_046E,B01001_034E,B01001_013MA,B01001_022M,B01001_010M,B01001_046M,B01001_034M,B01001_032EA,B01001_029EA,B01001_006EA,B01001_033E,B01001_021E,B01001_045E,B01001_048MA,B01001_025MA,B01001_002MA,B01001_033M,B01001_021EA,B01001_021M,B01001_045M,B01001_044EA,GEO_ID,B01001_018EA,B01001_040MA
0,87,0,,145,,14,60,,14,100,,,,34,,58,0,9,,32,,,44,,14,17,,,464,,531,,12,28,,,137,187,,20,33,,47,995,95,,0,,7,,50,230,,67,14,,10,,16,34,14,,,,15,,65,22,,13,,,16,0,48,0,,,15,,,14,27,14,Block Group 1; Census Tract 122.04; Boulder County; Colorado,,14,15,,,,14,,36,0,,22,,30,0,,,,,,28,,14,0,14,,,0,,,,14,20,42,14,,,,,,,,0,,,,,,0,0,,14,14,,20,,,,,20,,,21,0,0,,,14,,14,12,,,19,0,,,,,,14,,0,,14,54,59,,35,30,,57,63,46,48,,,,0,12,9,,,,14,,17,15,,1500000US080130122041,,
0,48,26,,39,,14,48,,19,43,,,,5,,45,0,21,,7,,,46,,14,33,,,820,,480,,0,16,,,515,169,,14,28,,0,1300,0,,9,,48,,14,522,,14,13,,39,,0,0,0,,,,14,,14,14,,0,,,21,0,0,0,,,40,,,14,14,14,Block Group 2; Census Tract 122.04; Boulder County; Colorado,,7,0,,,,14,,6,83,,14,,0,0,,,,,,14,,14,4,112,,,0,,,,14,112,10,61,,,,,,,,163,,,,,,0,0,,14,14,,106,,,,,0,,,14,18,74,,,20,,78,0,,,14,23,,,,,,28,,43,,35,0,350,,0,113,,14,449,14,91,,,,14,19,0,,,,22,,21,14,,1500000US080130122042,,
7,54,0,,8,,11,43,,14,13,,,,119,,76,9,0,,89,,,56,,15,14,,,473,,578,,21,22,,,195,270,,33,33,,18,1051,19,,0,,0,,20,360,,24,14,,14,,0,21,7,,,,14,,33,12,,21,,,0,0,7,0,,,14,,,14,11,14,Block Group 3; Census Tract 122.04; Boulder County; Colorado,,10,0,,,,14,,9,8,,33,,63,0,,,,,,38,,14,5,11,,,7,,,,12,40,14,14,,,,,,,,6,,,,,,0,0,,14,14,,40,,,,,27,,,18,26,44,,,32,,39,18,,,22,16,,,,,,17,,46,,51,0,74,,0,84,,14,95,14,96,,,,121,15,33,,,,184,,21,29,,1500000US080130122043,,
0,0,20,,24,,14,14,,31,39,,,,277,,216,10,15,,288,,,168,,15,15,,,677,,677,,4,95,,,303,191,,7,76,,74,1354,14,,0,,0,,62,446,,17,14,,14,,0,0,24,,,,14,,14,28,,0,,,59,38,53,0,,,59,,,38,44,14,Block Group 1; Census Tract 122.05; Boulder County; Colorado,,14,0,,,,14,,67,15,,14,,35,0,,,,,,40,,14,0,14,,,14,,,,27,0,74,30,,,,,,,,0,,,,,,0,0,,14,14,,14,,,,,14,,,22,34,16,,,40,,26,0,,,14,56,,,,,,69,,0,,14,23,39,,10,96,,21,52,15,71,,,,0,12,0,,,,14,,18,14,,1500000US080130122051,,
0,103,2,,33,,14,72,,5,37,,,,239,,97,0,10,,118,,,67,,14,17,,,1317,,635,,82,14,,,532,285,,77,21,,85,1952,13,,0,,0,,73,570,,20,14,,14,,42,0,0,,,,62,,14,14,,4,,,0,0,4,0,,,14,,,14,12,14,Block Group 2; Census Tract 122.05; Boulder County; Colorado,,35,53,,,,77,,0,0,,11,,23,0,,,,,,27,,14,32,508,,,0,,,,14,198,14,14,,,,,,,,398,,,,,,9,0,,14,14,,171,,,,,17,,,21,0,10,,,14,,18,0,,,14,23,,,,,,29,,0,,14,0,41,,218,144,,14,44,245,93,,,,0,21,37,,,,14,,25,35,,1500000US080130122052,,
0,181,0,,23,,14,92,,14,19,,,,134,,178,0,0,,83,,,102,,14,14,,,891,,790,,71,12,,,239,210,,78,18,,72,1681,24,,0,,0,,63,318,,24,14,,14,,0,0,38,,,,14,,14,36,,0,,,0,0,40,0,,,14,,,14,46,14,Block Group 1; Census Tract 122.06; Boulder County; Colorado,,14,0,,,,14,,11,11,,14,,3,0,,,,,,7,,14,0,54,,,29,,,,26,60,18,15,,,,,,,,67,,,,,,0,0,,14,14,,55,,,,,12,,,18,0,103,,,14,,71,12,,,18,0,,,,,,14,,127,,112,0,231,,0,72,,14,166,14,67,,,,160,0,10,,,,107,,14,16,,1500000US080130122061,,
0,26,0,,9,,14,26,,14,15,,,,41,,33,11,12,,39,,,39,,17,17,,,579,,835,,0,0,,,214,322,,14,14,,43,1414,0,,14,,90,,71,369,,14,17,,50,,0,0,10,,,,14,,14,16,,0,,,0,0,18,8,,,14,,,14,22,14,Block Group 2; Census Tract 122.06; Boulder County; Colorado,,14,0,,,,14,,26,59,,14,,41,0,,,,,,64,,14,0,52,,,0,,,,14,58,28,56,,,,,,,,48,,,,,,10,0,,15,14,,89,,,,,77,,,83,0,136,,,14,,111,27,,,30,0,,,,,,14,,111,,91,27,133,,11,193,,28,130,17,184,,,,104,15,23,,,,90,,24,27,,1500000US080130122062,,
0,50,0,,140,,14,60,,14,100,,,,15,,0,13,36,,24,,,14,,21,48,,,819,,1032,,0,69,,,317,522,,14,77,,69,1851,139,,0,,0,,71,374,,53,14,,14,,43,76,14,,,,71,,116,21,,181,,,42,277,37,78,,,51,,,136,50,150,Block Group 1; Census Tract 122.07; Boulder County; Colorado,,14,0,,,,14,,39,0,,278,,11,8,,,,,,18,,23,0,185,,,33,,,,38,0,57,14,,,,,,,,231,,,,,,45,109,,68,93,,14,,,,,0,,,14,0,17,,,14,,28,0,,,14,0,,,,,,14,,42,,82,7,0,,0,14,,11,14,14,23,,,,16,0,0,,,,28,,14,14,,1500000US080130122071,,
0,96,7,,106,,14,63,,19,68,,,,78,,43,53,0,,66,,,57,,61,14,,,754,,587,,54,0,,,226,227,,53,14,,44,1341,93,,0,,0,,43,415,,72,14,,14,,33,0,55,,,,60,,14,59,,31,,,54,21,31,0,,,65,,,39,36,14,Block Group 2; Census Tract 122.07; Boulder County; Colorado,,14,0,,,,14,,8,0,,58,,145,41,,,,,,80,,64,0,14,,,27,,,,44,0,14,14,,,,,,,,0,,,,,,10,0,,22,14,,14,,,,,64,,,65,8,0,,,23,,14,0,,,14,8,,,,,,22,,0,,14,63,0,,86,0,,57,14,75,14,,,,0,9,73,,,,14,,16,70,,1500000US080130122072,,
0,103,41,,92,,14,72,,39,65,,,,212,,171,11,0,,118,,,127,,20,14,,,1196,,511,,17,39,,,482,217,,26,52,,145,1707,35,,119,,11,,89,544,,47,146,,18,,0,0,46,,,,14,,14,46,,0,,,247,42,22,16,,,333,,,65,36,27,Block Group 3; Census Tract 122.07; Boulder County; Colorado,,20,0,,,,14,,52,0,,14,,19,0,,,,,,27,,14,12,14,,,0,,,,14,20,82,14,,,,,,,,0,,,,,,0,24,,14,39,,33,,,,,0,,,14,0,0,,,14,,14,15,,,26,37,,,,,,42,,0,,14,35,101,,13,0,,40,98,22,14,,,,0,0,10,,,,14,,14,23,,1500000US080130122073,,
0,209,0,,220,,14,100,,14,115,,,,165,,190,18,0,,72,,,100,,30,14,,,978,,886,,33,30,,,196,168,,30,48,,112,1864,89,,0,,0,,73,257,,61,14,,14,,0,10,10,,,,14,,15,17,,45,,,25,0,48,0,,,29,,,14,58,14,Block Group 1; Census Tract 122.08; Boulder County; Colorado,,133,0,,,,14,,0,0,,64,,54,19,,,,,,40,,36,86,57,,,11,,,,20,0,14,14,,,,,,,,39,,,,,,0,0,,14,14,,14,,,,,69,,,61,0,0,,,14,,14,17,,,25,19,,,,,,24,,27,,32,22,159,,26,91,,32,107,40,72,,,,11,10,0,,,,18,,15,14,,1500000US080130122081,,
0,19,8,,51,,14,31,,12,52,,,,0,,0,23,24,,14,,,14,,28,33,,,256,,230,,59,38,,,91,96,,49,46,,12,486,14,,2,,12,,19,159,,21,3,,17,,20,0,27,,,,22,,14,34,,20,,,25,0,0,0,,,32,,,14,14,14,Block Group 2; Census Tract 122.08; Boulder County; Colorado,,14,0,,,,14,,0,16,,21,,31,0,,,,,,28,,14,0,24,,,0,,,,14,0,14,26,,,,,,,,14,,,,,,13,0,,20,14,,14,,,,,0,,,14,7,0,,,11,,14,0,,,14,0,,,,,,14,,0,,14,8,0,,21,0,,13,14,24,14,,,,0,0,22,,,,14,,14,27,,1500000US080130122082,,
0,6,0,,0,,14,13,,14,14,,,,15,,15,0,0,,22,,,22,,14,14,,,2607,,2331,,10,3,,,251,248,,15,6,,7,4938,9,,0,,0,,14,295,,19,14,,14,,3,0,0,,,,6,,14,14,,4,,,2,0,0,0,,,4,,,14,14,14,Block Group 1; Census Tract 123; Boulder County; Colorado,,14,16,,,,24,,0,2155,,6,,0,3,,,,,,14,,6,0,79,,,0,,,,14,97,14,272,,,,,,,,174,,,,,,0,35,,14,55,,69,,,,,0,,,14,0,268,,,14,,125,0,,,14,0,,,,,,14,,1933,,229,0,119,,0,48,,14,78,14,47,,,,16,0,0,,,,19,,14,14,,1500000US080130123001,,
0,123,0,,114,,14,72,,14,42,,,,349,,100,0,0,,153,,,52,,14,14,,,1278,,809,,9,41,,,287,197,,8,33,,95,2087,34,,0,,0,,41,372,,19,14,,14,,52,15,0,,,,23,,22,14,,0,,,22,13,0,65,,,29,,,16,14,45,Block Group 2; Census Tract 123; Boulder County; Colorado,,14,0,,,,14,,0,276,,14,,0,11,,,,,,14,,16,0,118,,,0,,,,14,31,14,172,,,,,,,,149,,,,,,0,0,,14,14,,32,,,,,0,,,14,0,50,,,14,,57,0,,,14,0,,,,,,14,,189,,101,0,148,,0,162,,14,75,14,94,,,,39,0,0,,,,43,,14,14,,1500000US080130123002,,
0,17,0,,0,,14,31,,14,14,,,,19,,0,0,0,,43,,,14,,14,14,,,856,,1898,,23,0,,,739,887,,38,14,,37,2754,35,,0,,0,,62,1149,,56,14,,14,,0,0,0,,,,14,,14,14,,0,,,0,0,0,0,,,14,,,14,14,14,Block Group 1; Census Tract 124.01; Boulder County; Colorado,,14,36,,,,56,,0,317,,14,,0,0,,,,,,14,,14,0,377,,,0,,,,14,45,14,326,,,,,,,,342,,,,,,0,0,,14,14,,62,,,,,0,,,14,0,282,,,14,,279,0,,,14,0,,,,,,14,,539,,370,0,20,,0,79,,14,33,14,80,,,,963,0,0,,,,693,,14,14,,1500000US080130124011,,
0,10,0,,0,,14,16,,14,14,,,,0,,24,0,0,,14,,,29,,14,14,,,1658,,661,,16,0,,,727,354,,28,14,,0,2319,0,,3,,0,,14,805,,14,7,,14,,0,0,0,,,,14,,14,14,,0,,,0,0,16,14,,,14,,,14,28,25,Block Group 2; Census Tract 124.01; Boulder County; Colorado,,14,0,,,,14,,0,264,,14,,24,0,,,,,,37,,14,0,313,,,0,,,,14,416,14,212,,,,,,,,462,,,,,,0,0,,14,14,,287,,,,,23,,,36,0,331,,,14,,325,0,,,14,0,,,,,,14,,125,,84,0,463,,0,16,,14,357,14,25,,,,112,0,0,,,,91,,14,14,,1500000US080130124012,,
4,51,0,,41,,7,65,,14,64,,,,5,,0,40,34,,9,,,14,,36,36,,,319,,477,,12,10,,,152,206,,21,16,,0,796,19,,29,,49,,14,321,,32,33,,51,,0,0,48,,,,14,,14,56,,0,,,4,0,26,40,,,9,,,14,31,55,Block Group 3; Census Tract 124.01; Boulder County; Colorado,,14,0,,,,14,,0,0,,14,,57,40,,,,,,75,,64,0,14,,,16,,,,24,0,14,14,,,,,,,,0,,,,,,0,0,,14,14,,14,,,,,47,,,76,0,20,,,14,,25,0,,,14,0,,,,,,14,,82,,63,29,0,,50,19,,55,14,63,25,,,,15,0,9,,,,24,,14,20,,1500000US080130124013,,
0,0,0,,0,,14,14,,14,14,,,,28,,0,0,0,,45,,,14,,14,14,,,929,,626,,4,4,,,637,332,,17,17,,7,1555,0,,13,,0,,14,647,,14,20,,14,,3,3,9,,,,18,,17,17,,0,,,0,0,8,3,,,14,,,14,15,14,Block Group 4; Census Tract 124.01; Boulder County; Colorado,,14,0,,,,14,,13,114,,14,,0,0,,,,,,14,,14,0,196,,,0,,,,14,323,20,148,,,,,,,,204,,,,,,0,10,,14,18,,380,,,,,0,,,14,0,112,,,14,,114,0,,,14,12,,,,,,19,,351,,291,15,196,,14,109,,24,223,21,164,,,,0,0,0,,,,14,,14,14,,1500000US080130124014,,
9,75,7,,82,,15,35,,10,54,,,,189,,154,23,10,,93,,,76,,29,13,,,1014,,1015,,82,111,,,244,370,,64,106,,60,2029,45,,8,,26,,35,538,,29,10,,21,,0,55,17,,,,14,,77,19,,175,,,131,15,60,47,,,127,,,20,40,38,Block Group 1; Census Tract 125.01; Boulder County; Colorado,,14,29,,,,30,,36,0,,174,,42,0,,,,,,47,,14,11,73,,,55,,,,45,0,34,14,,,,,,,,52,,,,,,17,0,,21,14,,14,,,,,7,,,12,14,26,,,14,,35,33,,,49,7,,,,,,12,,3,,5,21,167,,19,84,,17,131,17,80,,,,11,14,0,,,,13,,18,14,,1500000US080130125011,,
0,6,0,,22,,14,10,,14,21,,,,71,,30,7,0,,77,,,41,,11,14,,,324,,300,,44,14,,,114,113,,27,14,,28,624,0,,13,,15,,32,214,,14,22,,17,,3,17,9,,,,6,,23,14,,0,,,0,43,8,49,,,14,,,44,12,41,Block Group 2; Census Tract 125.01; Boulder County; Colorado,,21,7,,,,12,,16,10,,14,,8,0,,,,,,12,,14,18,12,,,8,,,,13,0,18,15,,,,,,,,7,,,,,,0,16,,14,19,,14,,,,,17,,,20,13,7,,,13,,12,7,,,11,7,,,,,,12,,29,,31,19,0,,5,32,,20,14,7,54,,,,0,8,11,,,,14,,12,12,,1500000US080130125012,,
0,0,0,,0,,14,14,,14,14,,,,0,,14,8,24,,14,,,22,,13,21,,,215,,419,,10,7,,,91,248,,15,11,,8,634,0,,0,,10,,13,280,,14,14,,16,,46,0,0,,,,46,,14,14,,0,,,25,0,21,9,,,26,,,14,22,15,Block Group 1; Census Tract 125.05; Boulder County; Colorado,,14,0,,,,14,,15,14,,14,,9,22,,,,,,15,,32,0,14,,,0,,,,14,0,18,23,,,,,,,,0,,,,,,17,0,,19,14,,14,,,,,9,,,14,14,161,,,15,,175,3,,,5,15,,,,,,16,,94,,98,26,13,,12,12,,23,19,18,19,,,,0,16,0,,,,14,,17,14,,1500000US080130125051,,
26,105,23,,24,,22,86,,21,28,,,,164,,91,46,18,,74,,,62,,47,19,,,1387,,1665,,109,170,,,173,307,,60,46,,60,3052,59,,33,,49,,35,420,,44,27,,36,,61,91,127,,,,46,,44,64,,88,,,75,47,167,45,,,74,,,37,109,33,Block Group 2; Census Tract 125.05; Boulder County; Colorado,,22,25,,,,24,,49,34,,58,,78,59,,,,,,49,,47,26,17,,,106,,,,58,21,33,38,,,,,,,,15,,,,,,40,225,,33,179,,24,,,,,52,,,46,24,39,,,27,,41,60,,,64,69,,,,,,49,,30,,38,55,36,,85,139,,45,35,58,75,,,,0,76,31,,,,14,,53,28,,1500000US080130125052,,
0,12,8,,3,,14,16,,12,10,,,,4,,0,0,12,,8,,,14,,14,19,,,242,,172,,9,0,,,93,60,,15,14,,0,414,0,,0,,0,,14,141,,14,14,,14,,0,0,22,,,,14,,14,27,,0,,,14,0,28,0,,,22,,,14,29,14,Block Group 3; Census Tract 125.05; Boulder County; Colorado,,15,19,,,,24,,5,4,,14,,40,36,,,,,,44,,46,12,14,,,29,,,,25,0,9,7,,,,,,,,0,,,,,,0,0,,14,14,,14,,,,,7,,,12,12,0,,,15,,14,0,,,14,24,,,,,,21,,4,,9,31,0,,17,0,,28,14,19,14,,,,7,34,21,,,,14,,28,23,,1500000US080130125053,,
0,123,9,,69,,14,59,,14,51,,,,143,,71,15,14,,74,,,62,,16,15,,,1046,,739,,39,0,,,320,316,,46,14,,42,1785,72,,0,,7,,44,484,,88,14,,12,,41,0,1,,,,52,,14,5,,1,,,2,0,29,15,,,4,,,14,32,23,Block Group 1; Census Tract 125.07; Boulder County; Colorado,,14,4,,,,7,,22,41,,2,,0,7,,,,,,14,,14,0,34,,,0,,,,14,49,23,68,,,,,,,,22,,,,,,19,8,,20,16,,46,,,,,59,,,75,9,48,,,14,,49,0,,,14,12,,,,,,18,,130,,142,0,310,,57,62,,14,222,51,67,,,,27,185,21,,,,41,,133,26,,1500000US080130125071,,
0,5,0,,8,,14,10,,14,13,,,,54,,18,18,26,,34,,,23,,19,23,,,736,,850,,40,23,,,155,270,,36,26,,59,1586,33,,0,,0,,48,304,,30,14,,14,,25,31,42,,,,26,,28,29,,42,,,33,0,93,21,,,32,,,14,44,23,Block Group 2; Census Tract 125.07; Boulder County; Colorado,,16,26,,,,26,,22,105,,41,,23,22,,,,,,20,,36,13,23,,,11,,,,17,62,21,87,,,,,,,,20,,,,,,13,21,,14,33,,67,,,,,23,,,29,13,145,,,19,,162,20,,,30,5,,,,,,9,,56,,62,6,132,,8,93,,9,96,12,65,,,,167,9,0,,,,170,,14,14,,1500000US080130125072,,
0,31,8,,36,,14,33,,12,38,,,,29,,31,9,0,,33,,,27,,13,14,,,349,,323,,31,31,,,125,100,,33,33,,42,672,4,,0,,0,,39,206,,7,14,,14,,7,46,8,,,,11,,37,13,,16,,,2,54,11,6,,,3,,,42,15,8,Block Group 3; Census Tract 125.07; Boulder County; Colorado,,16,0,,,,14,,0,0,,18,,27,11,,,,,,20,,17,16,10,,,33,,,,27,10,14,14,,,,,,,,5,,,,,,5,23,,8,24,,22,,,,,12,,,14,0,0,,,14,,14,0,,,14,5,,,,,,8,,0,,14,10,57,,28,28,,16,49,20,27,,,,0,0,0,,,,14,,14,14,,1500000US080130125073,,
22,158,8,,84,,20,173,,12,97,,,,34,,7,19,0,,36,,,10,,29,14,,,518,,218,,10,7,,,144,108,,17,10,,22,736,0,,0,,0,,26,226,,14,14,,14,,29,8,27,,,,25,,12,24,,0,,,24,0,21,0,,,20,,,14,19,14,Block Group 1; Census Tract 125.08; Boulder County; Colorado,,14,14,,,,15,,13,9,,14,,20,22,,,,,,21,,25,0,14,,,18,,,,20,0,16,14,,,,,,,,0,,,,,,22,9,,32,14,,14,,,,,13,,,14,0,0,,,14,,14,0,,,14,0,,,,,,14,,0,,14,0,95,,6,0,,14,109,10,14,,,,8,0,7,,,,14,,14,12,,1500000US080130125081,,
0,68,0,,69,,14,42,,14,49,,,,64,,94,0,6,,38,,,57,,14,9,,,467,,662,,31,68,,,120,139,,22,49,,27,1129,14,,0,,0,,24,207,,18,14,,14,,26,52,10,,,,27,,71,15,,42,,,100,0,24,57,,,62,,,14,22,41,Block Group 2; Census Tract 125.08; Boulder County; Colorado,,28,0,,,,14,,11,37,,41,,14,8,,,,,,16,,13,18,14,,,23,,,,25,0,17,42,,,,,,,,0,,,,,,33,0,,26,14,,14,,,,,0,,,14,0,13,,,14,,19,0,,,14,0,,,,,,14,,0,,14,19,8,,22,123,,22,13,21,86,,,,9,26,13,,,,15,,39,12,,1500000US080130125082,,
0,86,3,,14,,14,112,,5,15,,,,7,,6,8,20,,10,,,10,,12,31,,,446,,326,,41,90,,,128,127,,29,81,,21,772,17,,7,,6,,20,207,,20,11,,11,,0,7,7,,,,14,,11,13,,7,,,21,7,8,0,,,19,,,11,12,14,Block Group 3; Census Tract 125.08; Boulder County; Colorado,,57,9,,,,14,,11,0,,11,,22,34,,,,,,19,,22,42,40,,,9,,,,16,0,16,14,,,,,,,,36,,,,,,7,10,,11,14,,14,,,,,49,,,40,0,0,,,14,,14,18,,,20,6,,,,,,10,,0,,14,17,52,,9,58,,19,58,13,57,,,,0,0,0,,,,14,,14,14,,1500000US080130125083,,
0,4,15,,8,,14,7,,17,13,,,,9,,0,13,14,,15,,,14,,19,16,,,483,,429,,65,35,,,126,106,,44,28,,16,912,27,,19,,10,,18,205,,23,21,,15,,23,10,18,,,,25,,16,17,,55,,,49,0,51,16,,,38,,,14,32,19,Block Group 1; Census Tract 125.09; Boulder County; Colorado,,15,39,,,,31,,27,20,,43,,23,81,,,,,,20,,57,13,14,,,33,,,,25,7,36,31,,,,,,,,0,,,,,,0,41,,14,43,,12,,,,,38,,,39,0,0,,,14,,14,23,,,30,20,,,,,,28,,0,,14,22,12,,44,12,,26,19,26,17,,,,0,0,0,,,,14,,14,14,,1500000US080130125091,,
36,24,27,,19,,26,17,,30,17,,,,19,,16,53,63,,33,,,19,,35,44,,,872,,744,,54,113,,,325,162,,48,91,,8,1616,32,,23,,21,,13,446,,23,22,,25,,182,8,42,,,,214,,13,33,,53,,,117,35,25,15,,,97,,,31,23,16,Block Group 2; Census Tract 125.09; Boulder County; Colorado,,22,31,,,,24,,44,0,,42,,31,88,,,,,,29,,50,24,14,,,78,,,,44,7,31,14,,,,,,,,0,,,,,,13,54,,18,33,,13,,,,,61,,,47,25,0,,,39,,14,11,,,17,86,,,,,,53,,0,,14,43,0,,12,0,,38,14,18,14,,,,0,0,23,,,,14,,14,22,,1500000US080130125092,,
0,36,0,,13,,14,31,,14,15,,,,69,,19,0,10,,53,,,27,,14,14,,,460,,373,,75,87,,,135,121,,65,62,,28,833,16,,0,,8,,35,233,,17,14,,13,,51,16,25,,,,52,,19,22,,43,,,13,15,26,47,,,21,,,20,27,68,Block Group 3; Census Tract 125.09; Boulder County; Colorado,,14,45,,,,34,,16,0,,35,,5,47,,,,,,8,,56,0,14,,,9,,,,14,0,18,14,,,,,,,,0,,,,,,12,0,,19,14,,14,,,,,0,,,14,41,0,,,40,,14,0,,,14,0,,,,,,14,,0,,14,14,0,,0,26,,20,14,14,44,,,,0,21,0,,,,14,,22,14,,1500000US080130125093,,
0,6,31,,27,,14,9,,25,20,,,,0,,4,0,0,,14,,,7,,14,14,,,161,,181,,0,0,,,83,72,,14,14,,24,342,6,,9,,0,,21,144,,10,14,,14,,12,13,35,,,,21,,17,35,,12,,,8,0,24,16,,,14,,,14,28,16,Block Group 1; Census Tract 125.10; Boulder County; Colorado,,14,21,,,,24,,0,0,,18,,23,0,,,,,,22,,14,0,14,,,18,,,,21,0,14,14,,,,,,,,0,,,,,,0,0,,14,14,,14,,,,,11,,,17,0,0,,,14,,14,0,,,14,0,,,,,,14,,0,,14,23,0,,6,0,,21,14,10,14,,,,0,0,13,,,,14,,14,15,,1500000US080130125101,,
11,13,6,,24,,14,16,,10,22,,,,49,,15,27,17,,44,,,17,,30,19,,,468,,492,,9,22,,,149,125,,14,24,,39,960,0,,7,,27,,34,237,,14,11,,40,,18,17,40,,,,27,,25,39,,42,,,57,9,70,0,,,44,,,14,50,14,Block Group 2; Census Tract 125.10; Boulder County; Colorado,,52,0,,,,14,,19,0,,37,,8,40,,,,,,13,,36,33,15,,,52,,,,43,0,20,14,,,,,,,,10,,,,,,7,40,,11,35,,14,,,,,41,,,56,22,0,,,20,,14,16,,,17,10,,,,,,12,,0,,14,30,11,,48,24,,24,18,29,30,,,,0,22,8,,,,14,,23,12,,1500000US080130125102,,
0,86,8,,47,,14,51,,11,38,,,,40,,96,57,31,,26,,,54,,28,20,,,844,,1085,,20,41,,,190,197,,22,30,,46,1929,61,,21,,7,,30,300,,51,18,,10,,15,21,46,,,,21,,26,39,,51,,,58,10,55,13,,,48,,,17,37,18,Block Group 3; Census Tract 125.10; Boulder County; Colorado,,21,0,,,,14,,42,22,,53,,60,141,,,,,,41,,118,17,17,,,99,,,,55,0,33,29,,,,,,,,11,,,,,,97,38,,125,39,,14,,,,,85,,,44,44,8,,,27,,14,8,,,12,35,,,,,,27,,25,,42,20,59,,51,62,,18,69,30,41,,,,27,65,83,,,,23,,55,67,,1500000US080130125103,,
8,35,7,,77,,12,41,,10,60,,,,11,,19,10,20,,18,,,22,,14,18,,,268,,307,,42,6,,,96,102,,43,11,,0,575,0,,9,,9,,14,172,,14,14,,15,,0,26,55,,,,14,,42,52,,0,,,8,0,0,0,,,12,,,14,14,14,Block Group 4; Census Tract 125.10; Boulder County; Colorado,,16,8,,,,12,,8,0,,14,,0,0,,,,,,14,,14,10,14,,,42,,,,51,0,14,14,,,,,,,,0,,,,,,0,0,,14,14,,14,,,,,37,,,45,0,0,,,14,,14,17,,,20,21,,,,,,21,,0,,14,27,0,,6,13,,24,14,9,21,,,,0,20,24,,,,14,,23,28,,1500000US080130125104,,
32,41,34,,35,,24,30,,20,43,,,,97,,92,14,88,,61,,,85,,15,57,,,807,,642,,33,8,,,164,148,,25,14,,74,1449,37,,93,,88,,47,244,,27,43,,46,,40,0,57,,,,33,,14,38,,7,,,68,20,13,0,,,57,,,20,19,14,Block Group 1; Census Tract 125.11; Boulder County; Colorado,,14,25,,,,42,,68,0,,11,,0,0,,,,,,14,,14,0,14,,,29,,,,30,13,64,14,,,,,,,,0,,,,,,17,14,,18,21,,21,,,,,0,,,14,0,0,,,14,,14,26,,,24,24,,,,,,25,,0,,14,11,95,,36,80,,20,57,26,63,,,,0,0,40,,,,14,,14,63,,1500000US080130125111,,
