P12_005NA,P12_009NA,P12_047NA,P12_019N,P12_007N,P12_028NA,P12_035N,P12_023N,P12_043NA,P12_047N,P12_024NA,P12_001NA,P12_011N,P12_020NA,P12_040N,P12_016NA,P12_008N,P12_039NA,P12_024N,P12_012N,P12_035NA,P12_036N,P12_048N,P12_012NA,P12_031NA,P12_006NA,P12_029NA,P12_009N,P12_025NA,P12_048NA,P12_049N,P12_013N,P12_021NA,P12_044NA,P12_001N,P12_037N,P12_025N,P12_002NA,P12_040NA,P12_041N,P12_017NA,P12_036NA,P12_038N,P12_002N,P12_032NA,P12_026N,P12_014N,P12_013NA,P12_030N,P12_042N,P12_003NA,P12_039N,P12_026NA,P12_027N,P12_007NA,P12_049NA,P12_022NA,P12_015N,P12_003N,P12_045NA,P12_031N,P12_043N,P12_041NA,NAME,P12_014NA,P12_028N,P12_016N,P12_037NA,P12_018NA,P12_033NA,P12_004N,P12_020N,P12_010NA,P12_032N,P12_044N,P12_004NA,P12_017N,P12_005N,P12_008NA,P12_027NA,P12_029N,P12_045N,P12_023NA,P12_046NA,P12_033N,P12_042NA,P12_021N,GEO_ID,P12_015NA,P12_006N,P12_019NA,P12_038NA,P12_018N,P12_034N,P12_046N,P12_034NA,P12_011NA,P12_022N,P12_030NA,P12_010N
,,,25,17,,77,20,,44,,,91,,52,,19,,25,64,,30,47,,,,,20,,,51,33,,,1666,30,30,,,55,,,39,851,,815,48,,19,16,,37,,31,,,,48,26,,28,28,,Block Group 2; Census Tract 125.11; Boulder County; Colorado,,22,44,,,,34,15,,16,17,,38,47,,,40,33,,,23,,24,1500000US080130125112,,24,,,19,36,44,,,51,,89
,,,0,1076,,7,1,,0,,,22,,1,,218,,0,6,,2,0,,,,,167,,,4,0,,,3340,0,0,,,1,,,1,1655,,1685,0,,3,0,,1,,1,,,,4,1,,1201,0,,Block Group 3; Census Tract 125.11; Boulder County; Colorado,,0,1,,,,1,0,,195,0,,1,1,,,0,0,,,145,,0,1500000US080130125113,,1,,,1,122,1,,,0,,154
,,,28,2,,28,32,,41,,,48,,55,,2,,14,35,,25,13,,,,,11,,,9,25,,,1238,21,11,,,41,,,39,634,,604,26,,29,15,,53,,12,,,,40,28,,14,27,,Block Group 1; Census Tract 126.03; Boulder County; Colorado,,25,46,,,,31,23,,5,25,,40,35,,,32,25,,,4,,30,1500000US080130126031,,33,,,16,27,39,,,44,,34
,,,23,18,,32,10,,9,,,36,,37,,7,,10,35,,33,12,,,,,5,,,8,19,,,1028,34,2,,,40,,,35,534,,494,37,,20,11,,25,,25,,,,25,17,,12,11,,Block Group 2; Census Tract 126.03; Boulder County; Colorado,,34,38,,,,29,13,,2,14,,39,32,,,21,18,,,1,,27,1500000US080130126032,,36,,,22,22,38,,,30,,24
,,,11,6,,82,20,,16,,,87,,28,,13,,19,68,,54,14,,,,,9,,,16,48,,,1133,29,5,,,25,,,37,600,,533,45,,14,16,,25,,9,,,,33,19,,6,15,,Block Group 3; Census Tract 126.03; Boulder County; Colorado,,25,32,,,,16,2,,10,12,,22,29,,,28,10,,,9,,14,1500000US080130126033,,11,,,15,30,23,,,22,,54
,,,3,6,,90,0,,0,,,131,,5,,6,,1,79,,74,0,,,,,4,,,1,36,,,680,32,0,,,3,,,27,371,,309,24,,2,2,,10,,4,,,,8,6,,4,0,,Block Group 1; Census Tract 126.05; Boulder County; Colorado,,2,5,,,,2,2,,1,0,,3,1,,,8,0,,,6,,0,1500000US080130126051,,4,,,5,37,1,,,3,,42
,,,6,27,,51,11,,4,,,105,,7,,75,,0,47,,28,2,,,,,78,,,1,26,,,1001,18,3,,,3,,,8,622,,379,6,,1,7,,2,,13,,,,7,7,,11,3,,Block Group 2; Census Tract 126.05; Boulder County; Colorado,,6,14,,,,4,5,,34,4,,6,13,,,8,2,,,61,,4,1500000US080130126052,,5,,,7,89,16,,,4,,162
,,,28,20,,124,26,,26,,,165,,60,,31,,15,127,,87,26,,,,,62,,,27,80,,,2247,65,12,,,54,,,65,1206,,1041,75,,19,25,,69,,35,,,,62,41,,14,36,,Block Group 1; Census Tract 126.08; Boulder County; Colorado,,36,57,,,,44,25,,12,30,,55,38,,,37,34,,,33,,33,1500000US080130126081,,19,,,17,93,34,,,40,,134
,,,5,29,,117,3,,3,,,173,,14,,71,,1,84,,50,2,,,,,100,,,4,26,,,1404,19,2,,,13,,,20,816,,588,17,,4,3,,18,,5,,,,26,14,,23,9,,Block Group 1; Census Tract 126.09; Boulder County; Colorado,,8,22,,,,5,5,,51,2,,10,9,,,18,4,,,69,,10,1500000US080130126091,,11,,,1,129,3,,,11,,181
,,,8,95,,40,22,,43,,,101,,1,,161,,15,21,,9,50,,,,,113,,,94,11,,,1706,7,21,,,6,,,8,868,,838,11,,5,1,,7,,10,,,,8,19,,85,4,,Block Group 1; Census Tract 126.10; Boulder County; Colorado,,3,7,,,,6,14,,108,7,,4,5,,,8,22,,,128,,18,1500000US080130126101,,3,,,0,157,35,,,19,,186
,,,3,109,,180,3,,1,,,270,,8,,165,,1,112,,103,0,,,,,204,,,3,52,,,2476,51,5,,,7,,,55,1396,,1080,38,,9,0,,16,,17,,,,5,23,,93,2,,Block Group 2; Census Tract 126.10; Boulder County; Colorado,,12,7,,,,3,3,,167,6,,5,12,,,13,0,,,109,,5,1500000US080130126102,,10,,,0,225,3,,,9,,352
,,,0,13,,61,0,,0,,,109,,5,,41,,1,40,,23,1,,,,,62,,,3,25,,,860,9,1,,,2,,,5,530,,330,15,,1,0,,4,,5,,,,9,7,,16,2,,Block Group 3; Census Tract 126.10; Boulder County; Colorado,,3,3,,,,2,2,,44,0,,11,2,,,1,3,,,49,,4,1500000US080130126103,,2,,,0,89,4,,,1,,180
,,,19,4,,4,17,,10,,,7,,23,,1,,11,6,,8,11,,,,,2,,,3,17,,,626,6,9,,,42,,,26,315,,311,11,,14,7,,18,,13,,,,24,7,,10,23,,Block Group 1; Census Tract 127.01; Boulder County; Colorado,,15,25,,,,25,11,,2,9,,25,20,,,17,20,,,1,,11,1500000US080130127011,,7,,,16,7,22,,,26,,14
,,,49,12,,23,33,,26,,,27,,45,,1,,17,18,,23,18,,,,,10,,,9,20,,,1367,31,5,,,60,,,26,694,,673,22,,26,33,,41,,20,,,,38,27,,11,48,,Block Group 2; Census Tract 127.01; Boulder County; Colorado,,21,45,,,,42,36,,4,41,,49,52,,,52,42,,,6,,61,1500000US080130127012,,27,,,28,13,54,,,53,,22
,,,50,22,,33,32,,29,,,36,,99,,10,,19,41,,37,8,,,,,11,,,9,66,,,2353,66,9,,,107,,,81,1190,,1163,70,,70,42,,120,,62,,,,120,48,,17,39,,Block Group 3; Census Tract 127.01; Boulder County; Colorado,,57,112,,,,75,23,,2,36,,89,104,,,102,45,,,12,,48,1500000US080130127013,,72,,,37,28,62,,,48,,48
,,,32,15,,111,16,,27,,,118,,65,,12,,9,115,,119,26,,,,,16,,,64,98,,,2103,85,14,,,59,,,65,990,,1113,71,,26,30,,71,,34,,,,67,30,,21,36,,Block Group 4; Census Tract 127.01; Boulder County; Colorado,,35,64,,,,34,20,,11,22,,38,40,,,52,39,,,13,,28,1500000US080130127014,,29,,,28,46,56,,,42,,54
,,,16,3,,100,8,,17,,,135,,31,,2,,2,93,,66,1,,,,,20,,,8,62,,,1129,38,2,,,36,,,16,585,,544,36,,13,11,,17,,22,,,,23,18,,14,9,,Block Group 1; Census Tract 127.05; Boulder County; Colorado,,6,17,,,,7,6,,5,8,,17,9,,,9,22,,,13,,16,1500000US080130127051,,8,,,7,59,23,,,20,,58
,,,14,7,,23,8,,22,,,36,,25,,6,,8,47,,36,8,,,,,4,,,3,31,,,791,32,1,,,25,,,20,408,,383,24,,27,15,,30,,11,,,,22,13,,5,14,,Block Group 2; Census Tract 127.05; Boulder County; Colorado,,5,31,,,,22,20,,4,11,,20,26,,,16,11,,,2,,25,1500000US080130127052,,6,,,6,15,23,,,20,,11
,,,4,10,,25,13,,11,,,12,,20,,5,,2,13,,9,7,,,,,4,,,2,15,,,588,14,0,,,20,,,22,289,,299,19,,18,8,,16,,11,,,,24,14,,1,19,,Block Group 3; Census Tract 127.05; Boulder County; Colorado,,14,8,,,,19,14,,4,12,,18,19,,,19,17,,,3,,16,1500000US080130127053,,16,,,14,10,17,,,22,,8
,,,19,0,,127,0,,3,,,126,,42,,6,,0,135,,102,5,,,,,5,,,6,66,,,1232,51,3,,,31,,,38,608,,624,47,,8,16,,34,,10,,,,29,9,,1,23,,Block Group 4; Census Tract 127.05; Boulder County; Colorado,,17,30,,,,10,10,,3,9,,25,6,,,21,10,,,0,,22,1500000US080130127054,,3,,,11,46,21,,,16,,30
,,,1,0,,98,0,,0,,,110,,19,,1,,0,82,,69,0,,,,,9,,,1,39,,,768,36,0,,,14,,,26,400,,368,13,,8,5,,15,,5,,,,25,6,,3,2,,Block Group 5; Census Tract 127.05; Boulder County; Colorado,,5,14,,,,5,2,,5,4,,22,6,,,5,3,,,6,,6,1500000US080130127055,,3,,,12,37,2,,,0,,44
,,,31,28,,24,14,,9,,,73,,34,,5,,8,86,,32,12,,,,,24,,,5,61,,,1314,33,11,,,26,,,42,778,,536,49,,16,8,,47,,33,,,,45,22,,20,33,,Block Group 1; Census Tract 127.07; Boulder County; Colorado,,23,40,,,,26,21,,4,13,,59,36,,,47,19,,,11,,12,1500000US080130127071,,34,,,16,22,23,,,37,,40
,,,24,6,,12,16,,17,,,14,,35,,2,,10,2,,14,8,,,,,1,,,13,19,,,756,19,3,,,50,,,25,378,,378,29,,12,15,,22,,10,,,,17,20,,9,12,,Block Group 2; Census Tract 127.07; Boulder County; Colorado,,16,29,,,,27,15,,2,12,,39,19,,,23,12,,,3,,16,1500000US080130127072,,13,,,21,13,24,,,25,,11
,,,20,8,,32,9,,1,,,41,,37,,4,,4,68,,51,2,,,,,9,,,1,57,,,1077,40,2,,,33,,,52,559,,518,34,,16,22,,37,,17,,,,35,21,,9,31,,Block Group 1; Census Tract 127.08; Boulder County; Colorado,,35,45,,,,28,21,,0,19,,27,27,,,14,31,,,4,,17,1500000US080130127081,,19,,,14,13,21,,,29,,20
,,,15,8,,7,21,,18,,,12,,35,,4,,18,2,,20,13,,,,,2,,,3,13,,,795,26,14,,,35,,,20,399,,396,20,,21,11,,23,,18,,,,27,20,,8,11,,Block Group 2; Census Tract 127.08; Boulder County; Colorado,,16,33,,,,38,5,,1,16,,31,29,,,24,22,,,6,,24,1500000US080130127082,,24,,,11,10,32,,,26,,2
,,,33,14,,16,39,,53,,,9,,55,,6,,37,13,,9,33,,,,,5,,,14,29,,,1291,29,18,,,64,,,41,622,,669,34,,24,17,,45,,28,,,,41,17,,10,28,,Block Group 3; Census Tract 127.08; Boulder County; Colorado,,27,50,,,,29,18,,3,25,,55,28,,,36,29,,,9,,39,1500000US080130127083,,23,,,23,9,65,,,50,,12
,,,4,13,,17,9,,8,,,15,,27,,9,,1,26,,26,6,,,,,3,,,4,30,,,714,29,11,,,32,,,25,361,,353,26,,6,21,,27,,15,,,,26,17,,6,13,,Block Group 4; Census Tract 127.08; Boulder County; Colorado,,20,28,,,,21,14,,5,14,,22,27,,,14,19,,,2,,15,1500000US080130127084,,8,,,13,2,15,,,20,,3
,,,36,14,,30,21,,31,,,38,,39,,3,,14,35,,44,26,,,,,5,,,18,38,,,1224,29,15,,,56,,,35,593,,631,31,,24,32,,36,,13,,,,39,22,,5,30,,Block Group 5; Census Tract 127.08; Boulder County; Colorado,,30,32,,,,20,16,,4,17,,45,38,,,31,29,,,2,,23,1500000US080130127085,,27,,,26,29,41,,,41,,14
,,,46,27,,28,41,,37,,,42,,74,,8,,23,46,,37,23,,,,,13,,,14,55,,,1823,57,18,,,86,,,55,940,,883,54,,35,20,,70,,33,,,,71,34,,15,45,,Block Group 1; Census Tract 127.09; Boulder County; Colorado,,36,65,,,,64,29,,7,25,,72,74,,,65,50,,,7,,31,1500000US080130127091,,37,,,29,19,45,,,50,,11
,,,18,8,,4,11,,11,,,9,,14,,7,,8,5,,7,10,,,,,2,,,5,9,,,461,6,6,,,33,,,11,248,,213,4,,4,5,,11,,5,,,,17,3,,5,11,,Block Group 1; Census Tract 127.10; Boulder County; Colorado,,16,6,,,,6,12,,3,11,,25,11,,,12,6,,,1,,13,1500000US080130127101,,24,,,14,2,20,,,24,,6
,,,46,22,,36,43,,33,,,37,,61,,8,,17,46,,43,10,,,,,7,,,21,49,,,1727,36,12,,,85,,,56,879,,848,58,,36,28,,61,,28,,,,60,20,,18,46,,Block Group 2; Census Tract 127.10; Boulder County; Colorado,,38,60,,,,44,31,,9,26,,68,54,,,51,47,,,6,,34,1500000US080130127102,,49,,,26,10,63,,,65,,23
,,,48,17,,42,28,,36,,,25,,69,,5,,24,34,,37,21,,,,,5,,,19,25,,,1564,23,19,,,67,,,43,772,,792,34,,37,30,,55,,22,,,,53,28,,22,46,,Block Group 3; Census Tract 127.10; Boulder County; Colorado,,36,59,,,,32,25,,7,30,,69,52,,,45,44,,,2,,52,1500000US080130127103,,35,,,31,17,42,,,53,,19
,,,39,7,,15,20,,30,,,20,,58,,4,,18,18,,21,10,,,,,6,,,7,32,,,1231,24,4,,,72,,,41,613,,618,30,,20,27,,43,,19,,,,42,23,,9,35,,Block Group 1; Census Tract 128.01; Boulder County; Colorado,,40,53,,,,38,23,,6,18,,53,40,,,40,21,,,8,,23,1500000US080130128011,,39,,,28,17,37,,,39,,14
,,,29,27,,44,26,,28,,,60,,95,,11,,9,77,,109,18,,,,,13,,,9,136,,,2899,142,6,,,94,,,152,1422,,1477,113,,70,29,,124,,94,,,,133,95,,26,42,,Block Group 2; Census Tract 128.01; Boulder County; Colorado,,124,118,,,,117,24,,6,23,,89,153,,,138,29,,,9,,17,1500000US080130128012,,60,,,30,20,52,,,34,,45
,,,79,54,,62,27,,37,,,77,,152,,18,,24,102,,128,25,,,,,20,,,32,158,,,4588,198,14,,,164,,,210,2306,,2282,211,,98,73,,184,,159,,,,187,172,,56,65,,Block Group 3; Census Tract 128.01; Boulder County; Colorado,,215,158,,,,230,40,,16,48,,163,205,,,165,59,,,19,,50,1500000US080130128013,,139,,,68,44,73,,,69,,41
,,,62,18,,13,29,,12,,,20,,63,,8,,10,31,,26,17,,,,,11,,,6,32,,,1509,48,13,,,80,,,43,751,,758,35,,26,16,,71,,37,,,,56,32,,17,41,,Block Group 1; Census Tract 128.02; Boulder County; Colorado,,36,41,,,,32,31,,15,29,,71,51,,,62,39,,,1,,32,1500000US080130128021,,30,,,40,10,50,,,48,,18
,,,28,27,,49,13,,16,,,56,,91,,14,,12,103,,101,18,,,,,10,,,5,117,,,2582,116,2,,,81,,,129,1315,,1267,113,,70,23,,105,,87,,,,108,95,,38,31,,Block Group 2; Census Tract 128.02; Boulder County; Colorado,,104,96,,,,97,23,,4,29,,75,139,,,89,19,,,9,,32,1500000US080130128022,,53,,,37,13,40,,,35,,30
,,,12,1,,2,21,,12,,,6,,27,,0,,4,9,,5,5,,,,,3,,,8,6,,,467,13,1,,,14,,,6,233,,234,14,,17,14,,11,,11,,,,17,12,,5,12,,Block Group 3; Census Tract 128.02; Boulder County; Colorado,,12,23,,,,14,10,,2,11,,23,7,,,9,12,,,2,,12,1500000US080130128023,,18,,,6,11,13,,,9,,5
,,,29,19,,24,13,,27,,,14,,100,,12,,8,43,,34,12,,,,,5,,,6,49,,,1874,76,8,,,63,,,65,906,,968,80,,47,18,,85,,51,,,,88,59,,23,37,,Block Group 4; Census Tract 128.02; Boulder County; Colorado,,76,83,,,,76,21,,4,6,,62,83,,,98,22,,,12,,21,1500000US080130128024,,57,,,25,27,55,,,36,,15
,,,22,11,,13,16,,32,,,16,,44,,5,,9,28,,23,7,,,,,3,,,14,36,,,1115,29,5,,,56,,,42,540,,575,36,,28,19,,52,,30,,,,36,36,,10,22,,Block Group 1; Census Tract 129.03; Boulder County; Colorado,,35,43,,,,42,15,,1,14,,45,49,,,29,19,,,10,,14,1500000US080130129031,,23,,,17,18,28,,,22,,11
,,,27,16,,24,22,,24,,,20,,52,,3,,18,23,,30,8,,,,,4,,,4,42,,,1189,39,11,,,37,,,36,594,,595,26,,11,24,,48,,23,,,,39,27,,14,27,,Block Group 2; Census Tract 129.03; Boulder County; Colorado,,34,48,,,,35,17,,7,23,,44,36,,,27,36,,,1,,24,1500000US080130129032,,29,,,18,12,54,,,49,,16
,,,33,12,,67,10,,14,,,88,,75,,8,,5,97,,91,8,,,,,8,,,8,95,,,1903,86,6,,,92,,,80,949,,954,72,,35,24,,53,,62,,,,68,54,,20,32,,Block Group 1; Census Tract 129.04; Boulder County; Colorado,,49,54,,,,53,18,,6,13,,62,59,,,52,34,,,7,,11,1500000US080130129041,,40,,,22,28,18,,,34,,40
,,,35,21,,15,22,,21,,,29,,70,,5,,11,30,,45,15,,,,,6,,,19,40,,,1418,38,6,,,69,,,38,690,,728,45,,27,29,,42,,40,,,,37,23,,12,37,,Block Group 2; Census Tract 129.04; Boulder County; Colorado,,35,56,,,,43,32,,11,33,,63,36,,,44,27,,,10,,40,1500000US080130129042,,33,,,23,4,47,,,34,,20
,,,27,9,,52,9,,13,,,28,,66,,5,,7,42,,43,5,,,,,10,,,10,62,,,1460,61,5,,,56,,,48,696,,764,52,,33,17,,63,,34,,,,43,40,,12,42,,Block Group 3; Census Tract 129.04; Boulder County; Colorado,,67,54,,,,48,18,,6,21,,63,44,,,39,32,,,5,,29,1500000US080130129043,,36,,,26,14,25,,,26,,13
,,,11,8,,10,25,,44,,,5,,22,,0,,36,22,,21,63,,,,,2,,,184,22,,,1083,19,61,,,19,,,33,446,,637,30,,13,13,,32,,16,,,,34,20,,3,21,,Block Group 4; Census Tract 129.04; Boulder County; Colorado,,25,24,,,,24,9,,3,11,,21,26,,,29,15,,,0,,7,1500000US080130129044,,16,,,5,4,37,,,31,,7
,,,16,23,,56,12,,32,,,60,,53,,5,,13,71,,82,23,,,,,1,,,56,69,,,1779,64,9,,,55,,,56,835,,944,58,,27,30,,42,,48,,,,67,51,,11,35,,Block Group 1; Census Tract 129.05; Boulder County; Colorado,,54,41,,,,50,21,,10,24,,42,72,,,61,33,,,7,,30,1500000US080130129051,,34,,,21,34,51,,,39,,30
,,,12,2,,18,17,,19,,,23,,38,,2,,8,31,,30,14,,,,,3,,,20,43,,,853,37,10,,,26,,,24,428,,425,36,,12,6,,21,,22,,,,23,21,,1,25,,Block Group 2; Census Tract 129.05; Boulder County; Colorado,,20,24,,,,36,19,,0,18,,31,20,,,26,14,,,2,,18,1500000US080130129052,,13,,,8,7,25,,,19,,9
,,,50,20,,62,31,,48,,,70,,82,,11,,9,74,,90,25,,,,,7,,,24,75,,,2202,81,10,,,74,,,81,1031,,1171,63,,33,36,,77,,59,,,,70,58,,22,56,,Block Group 1; Census Tract 129.07; Boulder County; Colorado,,54,56,,,,74,27,,10,31,,64,77,,,66,52,,,13,,36,1500000US080130129071,,52,,,18,17,78,,,48,,31
,,,29,16,,34,13,,11,,,28,,44,,3,,0,63,,71,4,,,,,3,,,4,72,,,1392,68,4,,,45,,,65,718,,674,64,,15,8,,49,,42,,,,52,61,,3,31,,Block Group 2; Census Tract 129.07; Boulder County; Colorado,,38,51,,,,51,16,,8,21,,32,53,,,43,28,,,2,,27,1500000US080130129072,,21,,,21,21,19,,,22,,16
,,,23,19,,5,23,,22,,,21,,93,,10,,13,18,,21,13,,,,,8,,,7,30,,,1600,42,14,,,53,,,71,795,,805,46,,51,21,,89,,38,,,,95,19,,28,25,,Block Group 1; Census Tract 130.03; Boulder County; Colorado,,51,88,,,,71,16,,9,22,,65,90,,,76,17,,,3,,27,1500000US080130130031,,44,,,17,15,33,,,23,,15
,,,15,7,,3,19,,14,,,4,,14,,2,,6,6,,10,7,,,,,1,,,10,12,,,489,11,3,,,19,,,27,250,,239,17,,7,10,,9,,5,,,,20,15,,2,14,,Block Group 2; Census Tract 130.03; Boulder County; Colorado,,14,13,,,,19,4,,3,10,,15,11,,,17,13,,,0,,11,1500000US080130130032,,12,,,7,3,17,,,26,,5
,,,23,11,,16,13,,6,,,15,,22,,8,,13,13,,16,11,,,,,3,,,13,30,,,843,23,14,,,31,,,20,424,,419,17,,17,11,,29,,4,,,,15,17,,15,27,,Block Group 3; Census Tract 130.03; Boulder County; Colorado,,14,20,,,,20,14,,5,21,,35,21,,,32,35,,,4,,28,1500000US080130130033,,26,,,15,7,40,,,39,,14
,,,52,17,,89,21,,33,,,75,,73,,14,,24,95,,94,19,,,,,15,,,8,94,,,2445,94,4,,,80,,,93,1207,,1238,94,,31,43,,94,,59,,,,93,62,,20,69,,Block Group 4; Census Tract 130.03; Boulder County; Colorado,,69,80,,,,68,33,,13,48,,74,79,,,61,40,,,3,,61,1500000US080130130034,,29,,,29,41,64,,,56,,38
,,,25,17,,96,24,,29,,,73,,78,,6,,10,85,,74,12,,,,,2,,,11,90,,,2347,100,9,,,79,,,112,1105,,1242,94,,51,29,,103,,80,,,,92,65,,14,32,,Block Group 5; Census Tract 130.03; Boulder County; Colorado,,63,71,,,,99,17,,6,21,,68,92,,,95,40,,,14,,23,1500000US080130130035,,44,,,25,40,63,,,48,,26
,,,27,19,,15,8,,8,,,31,,31,,4,,3,35,,37,2,,,,,4,,,2,40,,,1124,42,1,,,41,,,34,583,,541,45,,21,11,,47,,28,,,,35,36,,8,35,,Block Group 1; Census Tract 130.04; Boulder County; Colorado,,47,37,,,,50,7,,2,12,,44,51,,,54,26,,,11,,19,1500000US080130130041,,22,,,16,10,17,,,25,,24
,,,59,34,,28,17,,17,,,40,,107,,9,,13,43,,40,7,,,,,14,,,12,65,,,2339,62,4,,,81,,,102,1154,,1185,90,,74,40,,108,,49,,,,98,41,,38,60,,Block Group 2; Census Tract 130.04; Boulder County; Colorado,,87,100,,,,80,44,,5,38,,79,117,,,95,50,,,16,,49,1500000US080130130042,,64,,,21,25,44,,,53,,20
,,,29,18,,74,12,,16,,,70,,54,,8,,10,57,,51,15,,,,,9,,,21,67,,,1640,60,5,,,62,,,55,817,,823,50,,33,25,,59,,28,,,,65,40,,10,33,,Block Group 1; Census Tract 130.05; Boulder County; Colorado,,54,66,,,,39,21,,2,12,,58,54,,,55,25,,,11,,24,1500000US080130130051,,41,,,25,33,35,,,24,,25
,,,48,20,,37,16,,16,,,60,,93,,12,,9,41,,37,5,,,,,10,,,7,59,,,1898,56,3,,,77,,,79,969,,929,69,,43,20,,67,,42,,,,84,48,,20,44,,Block Group 2; Census Tract 130.05; Boulder County; Colorado,,66,69,,,,71,28,,10,23,,70,91,,,82,38,,,8,,38,1500000US080130130052,,39,,,25,16,43,,,41,,18
,,,37,14,,25,19,,14,,,27,,79,,2,,13,48,,39,8,,,,,11,,,5,39,,,1553,45,7,,,62,,,53,747,,806,47,,33,26,,83,,31,,,,59,28,,20,36,,Block Group 1; Census Tract 130.06; Boulder County; Colorado,,48,63,,,,52,21,,3,29,,55,60,,,66,52,,,2,,33,1500000US080130130061,,45,,,20,12,35,,,31,,16
,,,17,14,,32,6,,8,,,41,,46,,4,,3,32,,42,8,,,,,9,,,3,47,,,1294,49,7,,,39,,,66,625,,669,63,,28,25,,54,,30,,,,53,30,,6,47,,Block Group 2; Census Tract 130.06; Boulder County; Colorado,,71,40,,,,63,11,,1,11,,34,52,,,47,15,,,1,,23,1500000US080130130062,,25,,,24,10,30,,,20,,7
,,,59,17,,82,14,,37,,,83,,90,,12,,7,100,,68,15,,,,,13,,,39,99,,,2668,106,14,,,111,,,110,1274,,1394,92,,48,55,,107,,67,,,,114,57,,15,59,,Block Group 3; Census Tract 130.06; Boulder County; Colorado,,102,84,,,,98,41,,9,40,,86,95,,,103,30,,,12,,40,1500000US080130130063,,43,,,33,48,41,,,40,,33
,,,69,29,,62,45,,52,,,64,,74,,6,,33,44,,60,39,,,,,15,,,21,61,,,2428,66,24,,,130,,,78,1172,,1256,66,,43,50,,58,,63,,,,66,61,,21,83,,Block Group 1; Census Tract 132.01; Boulder County; Colorado,,57,61,,,,62,29,,8,38,,106,79,,,73,53,,,8,,54,1500000US080130132011,,51,,,41,58,61,,,63,,43
,,,16,13,,8,18,,5,,,10,,37,,3,,14,18,,14,10,,,,,1,,,1,16,,,712,18,5,,,33,,,14,357,,355,19,,24,19,,26,,6,,,,21,12,,5,28,,Block Group 1; Census Tract 132.02; Boulder County; Colorado,,8,24,,,,10,18,,0,18,,34,16,,,26,28,,,1,,11,1500000US080130132021,,18,,,20,2,24,,,30,,10
,,,30,10,,8,13,,23,,,8,,17,,4,,13,10,,20,3,,,,,0,,,8,10,,,667,11,4,,,33,,,21,324,,343,14,,10,11,,19,,12,,,,10,5,,1,26,,Block Group 2; Census Tract 132.02; Boulder County; Colorado,,15,36,,,,14,19,,5,20,,25,23,,,18,19,,,0,,19,1500000US080130132022,,8,,,9,9,34,,,34,,6
,,,49,17,,25,18,,28,,,20,,55,,2,,15,35,,28,12,,,,,5,,,7,34,,,1530,39,6,,,89,,,52,742,,788,57,,28,59,,46,,27,,,,32,37,,8,74,,Block Group 1; Census Tract 132.05; Boulder County; Colorado,,36,62,,,,50,32,,1,27,,65,22,,,34,51,,,5,,43,1500000US080130132051,,22,,,32,5,52,,,66,,21
,,,23,9,,10,9,,8,,,17,,39,,1,,5,7,,6,3,,,,,0,,,2,17,,,726,17,0,,,36,,,18,368,,358,12,,24,12,,33,,13,,,,30,19,,12,20,,Block Group 2; Census Tract 132.05; Boulder County; Colorado,,17,40,,,,24,12,,5,7,,43,19,,,29,12,,,4,,11,1500000US080130132052,,20,,,9,13,18,,,25,,16
,,,17,3,,11,27,,26,,,10,,38,,1,,7,27,,17,8,,,,,4,,,5,36,,,807,33,9,,,35,,,27,408,,399,28,,14,19,,30,,16,,,,20,11,,10,17,,Block Group 3; Census Tract 132.05; Boulder County; Colorado,,16,36,,,,26,12,,1,12,,23,15,,,18,16,,,3,,19,1500000US080130132053,,22,,,17,7,20,,,26,,12
,,,79,28,,70,35,,40,,,116,,88,,21,,23,64,,75,17,,,,,14,,,10,53,,,2268,70,11,,,103,,,67,1135,,1133,49,,46,46,,81,,20,,,,67,29,,30,54,,Block Group 4; Census Tract 132.05; Boulder County; Colorado,,46,78,,,,30,46,,4,34,,89,86,,,54,50,,,18,,39,1500000US080130132054,,41,,,52,34,76,,,50,,35
,,,54,23,,75,35,,51,,,60,,88,,23,,22,71,,54,21,,,,,6,,,24,55,,,2232,47,27,,,103,,,67,1103,,1129,68,,39,41,,58,,38,,,,54,57,,28,57,,Block Group 1; Census Tract 132.07; Boulder County; Colorado,,39,64,,,,50,37,,11,52,,89,60,,,57,55,,,8,,48,1500000US080130132071,,47,,,53,41,75,,,72,,28
,,,12,6,,68,0,,10,,,83,,21,,1,,0,60,,44,3,,,,,10,,,1,32,,,876,26,0,,,23,,,19,459,,417,21,,14,8,,25,,25,,,,25,25,,14,14,,Block Group 2; Census Tract 132.07; Boulder County; Colorado,,13,14,,,,22,2,,1,8,,22,20,,,15,3,,,12,,7,1500000US080130132072,,9,,,14,36,14,,,12,,62
,,,49,28,,25,32,,34,,,40,,45,,8,,20,33,,37,20,,,,,9,,,9,35,,,1457,39,11,,,60,,,27,721,,736,32,,27,42,,48,,33,,,,40,30,,10,58,,Block Group 3; Census Tract 132.07; Boulder County; Colorado,,35,40,,,,30,29,,4,28,,60,41,,,35,42,,,12,,36,1500000US080130132073,,28,,,29,14,52,,,45,,16
,,,24,12,,30,34,,65,,,31,,34,,3,,37,34,,24,62,,,,,3,,,76,34,,,1472,45,32,,,36,,,46,653,,819,40,,22,21,,33,,31,,,,34,25,,20,38,,Block Group 1; Census Tract 132.08; Boulder County; Colorado,,33,34,,,,31,34,,5,35,,33,41,,,36,39,,,11,,21,1500000US080130132081,,22,,,15,10,67,,,60,,19
