Vintage 2024 Prepared October 2025,,,,,,
id,countyfips,placefips,municipalityname,year,totalpopulation,countyplace
2071,83,0,MONTEZUMA COUNTY,1984,19826,8300000
2072,83,17375,Cortez,1984,8157,8317375
2073,83,20770,Dolores,1984,993,8320770
2074,83,48115,Mancos,1984,966,8348115
2075,83,99990,Unincorporated Montezuma County,1984,9710,8399990
2076,85,0,MONTROSE COUNTY,1984,24943,8500000
2077,85,51745,Montrose,1984,9263,8551745
2078,85,53120,Naturita,1984,628,8553120
2079,85,54935,Nucla,1984,801,8554935
2080,85,55540,Olathe,1984,1304,8555540
2081,85,99990,Unincorporated Montrose County,1984,12947,8599990
2082,87,0,MORGAN COUNTY,1984,22827,8700000
2083,87,9555,Brush,1984,4326,8709555
2084,87,27810,Fort Morgan,1984,9121,8727810
2085,87,36610,Hillrose,1984,196,8736610
2086,87,45695,Log Lane Village,1984,710,8745695
2087,87,84770,Wiggins,1984,522,8784770
2088,87,99990,Unincorporated Morgan County,1984,7952,8799990
2089,89,0,OTERO COUNTY,1984,21815,8900000
2090,89,13460,Cheraw,1984,268,8913460
2091,89,27975,Fowler,1984,1194,8927975
2092,89,42110,La Junta,1984,8230,8942110
2093,89,48500,Manzanola,1984,458,8948500
2094,89,65190,Rocky Ford,1984,4572,8965190
2095,89,75970,Swink,1984,659,8975970
2096,89,99990,Unincorporated Otero County,1984,6434,8999990
2097,91,0,OURAY COUNTY,1984,2207,9100000
2098,91,56420,Ouray,1984,714,9156420
2099,91,64200,Ridgway,1984,438,9164200
2100,91,99990,Unincorporated Ouray County,1984,1055,9199990
2101,93,0,PARK COUNTY,1984,6747,9300000
2102,93,1530,Alma,1984,125,9301530
2103,93,25610,Fairplay,1984,479,9325610
2104,93,99990,Unincorporated Park County,1984,6143,9399990
2105,95,0,PHILLIPS COUNTY,1984,4430,9500000
2106,95,34960,Haxtun,1984,941,9534960
2107,95,37270,Holyoke,1984,2060,9537270
2108,95,57245,Paoli,1984,64,9557245
2109,95,99990,Unincorporated Phillips County,1984,1365,9599990
2110,97,0,PITKIN COUNTY,1984,10773,9700000
2111,97,3620,Aspen,1984,3434,9703620
2112,97,4935,Basalt (Part),1984,0,9704935
2113,97,71755,Snowmass Village,1984,1203,9771755
2114,97,99990,Unincorporated Pitkin County,1984,6136,9799990
2115,99,0,PROWERS COUNTY,1984,14307,9900000
2116,99,31550,Granada,1984,600,9931550
2117,99,34520,Hartman,1984,125,9934520
2118,99,37215,Holly,1984,998,9937215
2119,99,43110,Lamar,1984,8734,9943110
2120,99,85045,Wiley,1984,459,9985045
2121,99,99990,Unincorporated Prowers County,1984,3391,9999990
2122,101,0,PUEBLO COUNTY,1984,122360,10100000
2123,101,7795,Boone,1984,406,10107795
2124,101,62000,Pueblo,1984,98360,10162000
2125,101,66895,Rye,1984,207,10166895
2126,101,99990,Unincorporated Pueblo County,1984,23387,10199990
2127,103,0,RIO BLANCO COUNTY,1984,6941,10300000
2128,103,49875,Meeker,1984,2314,10349875
2129,103,62880,Rangely,1984,2598,10362880
2130,103,99990,Unincorporated Rio Blanco County,1984,2029,10399990
2131,105,0,RIO GRANDE COUNTY,1984,11375,10500000
2132,105,12855,Center (Part),1984,0,10512855
2133,105,19795,Del Norte,1984,1790,10519795
2134,105,51635,Monte Vista,1984,4263,10551635
2135,105,72395,South Fork,1984,,10572395
2136,105,99990,Unincorporated Rio Grande County,1984,5322,10599990
2137,107,0,ROUTT COUNTY,1984,14248,10700000
2138,107,35070,Hayden,1984,1604,10735070
2139,107,55155,Oak Creek,1984,785,10755155
2140,107,73825,Steamboat Springs,1984,6137,10773825
2141,107,86475,Yampa,1984,382,10786475
2142,107,99990,Unincorporated Routt County,1984,5340,10799990
2143,109,0,SAGUACHE COUNTY,1984,4387,10900000
2144,109,7571,Bonza City,1984,11,10907571
2145,109,12855,Center (Part),1984,1876,10912855
2146,109,18420,Crestone,1984,47,10918420
2147,109,51250,Moffat,1984,111,10951250
2148,109,67005,Saguache,1984,630,10967005
2149,109,99990,Unincorporated Saguache County,1984,1712,10999990
2150,111,0,SAN JUAN COUNTY,1984,916,11100000
2151,111,70580,Silverton,1984,890,11170580
2152,111,99990,Unincorporated San Juan County,1984,26,11199990
2153,113,0,SAN MIGUEL COUNTY,1984,2969,11300000
2154,113,52550,Mountain Village,1984,,11352550
2155,113,54880,Norwood,1984,424,11354880
2156,113,55870,Ophir,1984,47,11355870
2157,113,68655,Sawpit,1984,38,11368655
2158,113,76795,Telluride,1984,961,11376795
2159,113,99990,Unincorporated San Miguel County,1984,1499,11399990
2160,115,0,SEDGWICK COUNTY,1984,3195,11500000
2161,115,39965,Julesburg,1984,1528,11539965
2162,115,56475,Ovid,1984,411,11556475
2163,115,68930,Sedgwick,1984,227,11568930
2164,115,99990,Unincorporated Sedgwick County,1984,1029,11599990
2165,117,0,SUMMIT COUNTY,1984,12025,11700000
2166,117,7410,Blue River,1984,366,11707410
2167,117,8400,Breckenridge,1984,1168,11708400
2168,117,20440,Dillon,1984,490,11720440
2169,117,28690,Frisco,1984,1505,11728690
2170,117,40550,Keystone,1984,,11740555
2171,117,51690,Montezuma,1984,42,11751690
2172,117,70525,Silverthorne,1984,1461,11770525
2173,117,99990,Unincorporated Summit County,1984,6993,11799990
2174,119,0,TELLER COUNTY,1984,10864,11900000
2175,119,18530,Cripple Creek,1984,690,11918530
2176,119,32650,Green Mountain Falls (Part),1984,21,11932650
2177,119,80865,Victor,1984,264,11980865
2178,119,86090,Woodland Park,1984,3665,11986090
2179,119,99990,Unincorporated Teller County,1984,6224,11999990
2180,121,0,WASHINGTON COUNTY,1984,5531,12100000
2181,121,925,Akron,1984,1839,12100925
2182,121,56365,Otis,1984,553,12156365
2183,121,99990,Unincorporated Washington County,1984,3139,12199990
2184,123,0,WELD COUNTY,1984,128969,12300000
2185,123,3950,Ault,1984,1077,12303950
2186,123,6255,Berthoud (Part),1984,,12306255
2187,123,8675,Brighton (Part),1984,0,12308675
2188,123,9280,Broomfield (Part),1984,0,12309280
2189,123,19080,Dacono,1984,2258,12319080
2190,123,22860,Eaton,1984,1901,12322860
2191,123,24950,Erie (Part),1984,1279,12324950
2192,123,25280,Evans,1984,5288,12325280
2193,123,26600,Firestone,1984,1256,12326600
2194,123,27700,Fort Lupton,1984,4611,12327700
2195,123,28360,Frederick,1984,899,12328360
2196,123,29185,Garden City,1984,123,12329185
2197,123,29955,Gilcrest,1984,1056,12329955
2198,123,32155,Greeley,1984,57135,12332155
2199,123,33310,Grover,1984,149,12333310
2200,123,37820,Hudson,1984,818,12337820
2201,123,39855,Johnstown (Part),1984,1580,12339855
2202,123,40185,Keenesburg,1984,528,12340185
2203,123,40515,Kersey,1984,963,12340515
2204,123,43605,La Salle,1984,1846,12343605
2205,123,45530,Lochbuie (Part),1984,955,12345530
2206,123,45970,Longmont (Part),1984,,12345970
2207,123,49600,Mead,1984,415,12349600
2208,123,50480,Milliken,1984,1582,12350480
2209,123,54330,Northglenn (Part),1984,0,12354330
2210,123,55045,Nunn,1984,302,12355045
2211,123,59005,Pierce,1984,855,12359005
2212,123,60160,Platteville,1984,1617,12360160
2213,123,63045,Raymer,1984,81,12363045
2214,123,69150,Severance,1984,113,12369150
2215,123,77290,Thornton (Part),1984,,12377290
2216,123,77510,Timnath (Part),1984,,12377510
2217,123,85485,Windsor (Part),1984,4681,12385485
2218,123,99990,Unincorporated Weld County,1984,35552,12399990
2219,125,0,YUMA COUNTY,1984,9935,12500000
2220,125,23025,Eckley,1984,234,12523025
2221,125,86310,Wray,1984,2215,12586310
2222,125,86750,Yuma,1984,2966,12586750
2223,125,99990,Unincorporated Yuma County,1984,4520,12599990
2224,999,3455,Arvada (Total),1984,88588,99903455
2225,999,4000,Aurora (Total),1984,209747,99904000
2226,999,4935,Basalt (Total),1984,668,99904935
2227,999,6090,Bennett (Total),1984,1797,99906090
2228,999,6255,Berthoud (Total),1984,2605,99906255
2229,999,8070,Bow Mar (Total),1984,986,99908070
2230,999,8675,Brighton (Total),1984,14111,99908675
2231,999,9280,Broomfield (Total),1984,22568,99909280
2232,999,12855,Center (Total),1984,1876,99912855
2233,999,12910,Central City (Total),1984,393,99912910
2234,999,24950,Erie (Total),1984,1299,99924950
2235,999,32650,Green Mountain Falls (Total),1984,685,99932650
2236,999,39855,Johnstown (Total),1984,1580,99939855
2237,999,45255,Littleton (Total),1984,31639,99945255
2238,999,45530,Lochbuie (Total),1984,955,99945530
2239,999,45970,Longmont (Total),1984,47984,99945970
2240,999,54330,Northglenn (Total),1984,29902,99954330
2241,999,75640,Superior (Total),1984,249,99975640
2242,999,77290,Thornton (Total),1984,49557,99977290
2243,999,77510,Timnath (Total),1984,191,99977510
2244,999,83835,Westminster (Total),1984,62697,99983835
2245,999,85485,Windsor (Total),1984,4681,99985485
2246,0,0,COLORADO STATE,1985,3214448,0
2247,1,0,ADAMS COUNTY,1985,268764,100000
2248,1,3455,Arvada (Part),1985,1961,103455
2249,1,4000,Aurora (Part),1985,29539,104000
2250,1,6090,Bennett (Part),1985,1968,106090
2251,1,8675,Brighton (Part),1985,14278,108675
2252,1,9280,Broomfield (Part),1985,5993,109280
2253,1,16495,Commerce City,1985,16999,116495
2254,1,26270,Federal Heights,1985,8440,126270
2255,1,45530,Lochbuie (Part),1985,,145530
2256,1,54330,Northglenn (Part),1985,29592,154330
2257,1,77290,Thornton (Part),1985,51703,177290
2258,1,83835,Westminster (Part),1985,38802,183835
2259,1,99990,Unincorporated Adams County,1985,69489,199990
2260,3,0,ALAMOSA COUNTY,1985,13011,300000
2261,3,1090,Alamosa,1985,7257,301090
2262,3,37380,Hooper,1985,93,337380
2263,3,99990,Unincorporated Alamosa County,1985,5661,399990
2264,5,0,ARAPAHOE COUNTY,1985,381244,500000
2265,5,4000,Aurora (Part),1985,191257,504000
2266,5,6090,Bennett (Part),1985,,506090
2267,5,8070,Bow Mar (Part),1985,721,508070
2268,5,12815,Centennial,1985,,512815
2269,5,13845,Cherry Hills Village,1985,5516,513845
2270,5,16385,Columbine Valley,1985,1071,516385
2271,5,19630,Deer Trail,1985,535,519630
2272,5,24785,Englewood,1985,28302,524785
2273,5,28105,Foxfield,1985,,528105
2274,5,30340,Glendale,1985,2851,530340
2275,5,33035,Greenwood Village,1985,7064,533035
2276,5,45255,Littleton (Part),1985,32021,545255
2277,5,69645,Sheridan,1985,5855,569645
2278,5,99990,Unincorporated Arapahoe County,1985,106051,599990
2279,7,0,ARCHULETA COUNTY,1985,5213,700000
2280,7,56860,Pagosa Springs,1985,1311,756860
2281,7,99990,Unincorporated Archuleta County,1985,3902,799990
2282,9,0,BACA COUNTY,1985,4873,900000
2283,9,11645,Campo,1985,147,911645
2284,9,61315,Pritchett,1985,178,961315
2285,9,73330,Springfield,1985,1486,973330
2286,9,79270,Two Buttes,1985,65,979270
2287,9,81030,Vilas,1985,115,981030
2288,9,82460,Walsh,1985,758,982460
2289,9,99990,Unincorporated Baca County,1985,2124,999990
2290,11,0,BENT COUNTY,1985,5699,1100000
2291,11,43660,Las Animas,1985,2739,1143660
2292,11,99990,Unincorporated Bent County,1985,2960,1199990
2293,13,0,BOULDER COUNTY,1985,209444,1300000
2294,13,7850,Boulder,1985,78517,1307850
2295,13,9280,Broomfield (Part),1985,15598,1309280
2296,13,24950,Erie (Part),1985,18,1324950
2297,13,39195,Jamestown,1985,235,1339195
2298,13,41835,Lafayette,1985,13323,1341835
2299,13,45970,Longmont (Part),1985,47855,1345970
2300,13,46355,Louisville,1985,9631,1346355
2301,13,47070,Lyons,1985,1261,1347070
2302,13,53175,Nederland,1985,1286,1353175
2303,13,75640,Superior (Part),1985,252,1375640
2304,13,82735,Ward,1985,122,1382735
2305,13,99990,Unincorporated Boulder County,1985,41346,1399990
2306,14,0,BROOMFIELD COUNTY,1985,,1400000
2307,14,9280,Broomfield,1985,,1409280
2308,15,0,CHAFFEE COUNTY,1985,12349,1500000
2309,15,10105,Buena Vista,1985,1845,1510105
2310,15,60600,Poncha Springs,1985,282,1560600
2311,15,67280,Salida,1985,4584,1567280
2312,15,99990,Unincorporated Chaffee County,1985,5638,1599990
2313,17,0,CHEYENNE COUNTY,1985,2294,1700000
2314,17,14175,Cheyenne Wells,1985,1100,1714175
2315,17,41010,Kit Carson,1985,274,1741010
2316,17,99990,Unincorporated Cheyenne County,1985,920,1799990
2317,19,0,CLEAR CREEK COUNTY,1985,7936,1900000
2318,19,12910,Central City (Part),1985,,1912910
2319,19,24620,Empire,1985,433,1924620
2320,19,29735,Georgetown,1985,946,1929735
2321,19,38370,Idaho Springs,1985,2116,1938370
2322,19,70360,Silver Plume,1985,143,1970360
2323,19,99990,Unincorporated Clear Creek County,1985,4298,1999990
2324,21,0,CONEJOS COUNTY,1985,7776,2100000
2325,21,2355,Antonito,1985,996,2102355
2326,21,42055,La Jara,1985,787,2142055
2327,21,48060,Massa,1985,938,2148060
2328,21,65740,Romeo,1985,384,2165740
2329,21,67830,Sanford,1985,731,2167830
2330,21,99990,Unincorporated Conejos County,1985,3940,2199990
2331,23,0,COSTILLA COUNTY,1985,3363,2300000
2332,23,7190,Blanca,1985,286,2307190
2333,23,68105,San Luis,1985,893,2368105
2334,23,99990,Unincorporated Costilla County,1985,2184,2399990
2335,25,0,CROWLEY COUNTY,1985,2997,2500000
2336,25,18750,Crowley,1985,213,2518750
2337,25,55705,Olney Springs,1985,202,2555705
2338,25,56145,Ordway,1985,1104,2556145
2339,25,74815,Sugar City,1985,284,2574815
2340,25,99990,Unincorporated Crowley County,1985,1194,2599990
2341,27,0,CUSTER COUNTY,1985,2066,2700000
2342,27,70250,Silver Cliff,1985,386,2770250
2343,27,83450,Westcliffe,1985,383,2783450
2344,27,99990,Unincorporated Custer County,1985,1297,2799990
2345,29,0,DELTA COUNTY,1985,23466,2900000
2346,29,12635,Cedaredge,1985,1326,2912635
2347,29,17925,Crawford,1985,218,2917925
2348,29,19850,Delta,1985,4039,2919850
2349,29,37545,Hotchkiss,1985,1045,2937545
2350,29,55980,Orchard City,1985,2260,2955980
2351,29,57300,Paonia,1985,1762,2957300
2352,29,99990,Unincorporated Delta County,1985,12816,2999990
2353,31,0,DENVER COUNTY,1985,496431,3100000
2354,31,20000,Denver,1985,496431,3120000
2355,33,0,DOLORES COUNTY,1985,1548,3300000
2356,33,21265,Dove Creek,1985,703,3321265
2357,33,64090,Rico,1985,87,3364090
2358,33,99990,Unincorporated Dolores County,1985,758,3399990
2359,35,0,DOUGLAS COUNTY,1985,40048,3500000
2360,35,4000,Aurora (Part),1985,0,3504000
2361,35,12387,Castle Pines,1985,,3512390
2362,35,12415,Castle Rock,1985,5374,3512415
2363,35,43550,Larkspur,1985,168,3543550
2364,35,45255,Littleton (Part),1985,138,3545255
2365,35,45955,Lone Tree,1985,,3545955
2366,35,57630,Parker,1985,476,3557630
2367,35,99990,Unincorporated Douglas County,1985,33892,3599990
2368,37,0,EAGLE COUNTY,1985,18029,3700000
2369,37,4110,Avon,1985,1444,3704110
2370,37,4935,Basalt (Part),1985,713,3704935
2371,37,22200,Eagle,1985,1309,3722200
2372,37,33695,Gypsum,1985,1621,3733695
2373,37,50920,Minturn,1985,942,3750920
2374,37,63265,Red Cliff,1985,319,3763265
2375,37,80040,Vail,1985,3789,3780040
2376,37,99990,Unincorporated Eagle County,1985,7892,3799990
2377,39,0,ELBERT COUNTY,1985,8560,3900000
2378,39,23740,Elizabeth,1985,967,3923740
2379,39,40790,Kiowa,1985,287,3940790
2380,39,70635,Simla,1985,527,3970635
2381,39,99990,Unincorporated Elbert County,1985,6779,3999990
2382,41,0,EL PASO COUNTY,1985,368506,4100000
2383,41,11260,Calhan,1985,850,4111260
2384,41,16000,Colorado Springs,1985,262005,4116000
2385,41,27865,Fountain,1985,9737,4127865
2386,41,32650,Green Mountain Falls (Part),1985,684,4132650
2387,41,48445,Manitou Springs,1985,4834,4148445
2388,41,51800,Monument,1985,952,4151800
2389,41,57025,Palmer Lake,1985,1248,4157025
2390,41,62660,Ramah,1985,113,4162660
2391,41,99990,Unincorporated El Paso County,1985,88083,4199990
2392,43,0,FREMONT COUNTY,1985,31366,4300000
2393,43,9115,Brookside,1985,190,4309115
2394,43,11810,Canon City,1985,13403,4311810
2395,43,15330,Coal Creek,1985,165,4315330
2396,43,27040,Florence,1985,3287,4327040
2397,43,64970,Rockvale,1985,346,4364970
2398,43,85155,Williamsburg,1985,90,4385155
2399,43,99990,Unincorporated Fremont County,1985,13860,4399990
2400,45,0,GARFIELD COUNTY,1985,25714,4500000
2401,45,12030,Carbonate,1985,0,4512030
2402,45,12045,Carbondale,1985,2579,4512045
2403,45,30780,Glenwood Springs,1985,5432,4530780
2404,45,53395,New Castle,1985,467,4553395
2405,45,57400,Parachute,1985,746,4557400
2406,45,64255,Rifle,1985,4153,4564255
2407,45,70195,Silt,1985,1046,4570195
2408,45,99990,Unincorporated Garfield County,1985,11291,4599990
2409,47,0,GILPIN COUNTY,1985,3081,4700000
2410,47,7025,Black Hawk,1985,330,4707025
2411,47,12910,Central City (Part),1985,398,4712910
2412,47,99990,Unincorporated Gilpin County,1985,2353,4799990
2413,49,0,GRAND COUNTY,1985,9212,4900000
2414,49,28305,Fraser,1985,665,4928305
2415,49,31605,Granby,1985,1184,4931605
2416,49,31715,Grand Lake,1985,392,4931715
2417,49,37600,Hot Sulphur Springs,1985,414,4937600
2418,49,41560,Kremmling,1985,1403,4941560
2419,49,85705,Winter Park,1985,651,4985705
2420,49,99990,Unincorporated Grand County,1985,4503,4999990
2421,51,0,GUNNISON COUNTY,1985,10390,5100000
2422,51,18310,Crested Butte,1985,853,5118310
2423,51,33640,Gunnison,1985,5388,5133640
2424,51,48555,Marble,1985,47,5148555
2425,51,52570,Mount Crested Butte,1985,274,5152570
2426,51,59830,Pitkin,1985,48,5159830
2427,51,99990,Unincorporated Gunnison County,1985,3780,5199990
2428,53,0,HINSDALE COUNTY,1985,472,5300000
2429,53,42330,Lake City,1985,232,5342330
2430,53,99990,Unincorporated Hinsdale County,1985,240,5399990
2431,55,0,HUERFANO COUNTY,1985,6809,5500000
2432,55,44100,La Veta,1985,741,5544100
2433,55,82350,Walsenburg,1985,3842,5582350
2434,55,99990,Unincorporated Huerfano County,1985,2226,5599990
2435,57,0,JACKSON COUNTY,1985,1729,5700000
2436,57,82130,Walden,1985,928,5782130
2437,57,99990,Unincorporated Jackson County,1985,801,5799990
2438,59,0,JEFFERSON COUNTY,1985,421617,5900000
2439,59,3455,Arvada (Part),1985,87085,5903455
2440,59,8070,Bow Mar (Part),1985,269,5908070
2441,59,9280,Broomfield (Part),1985,1107,5909280
2442,59,23135,Edgewater,1985,4954,5923135
2443,59,30835,Golden,1985,14006,5930835
2444,59,42495,Lakeside,1985,15,5942495
2445,59,43000,Lakewood,1985,124472,5943000
2446,59,45255,Littleton (Part),1985,,5945255
2447,59,52075,Morrison,1985,506,5952075
2448,59,52350,Mountain View,1985,604,5952350
2449,59,75640,Superior (Part),1985,0,5975640
2450,59,83835,Westminster (Part),1985,26419,5983835
2451,59,84440,Wheat Ridge,1985,30540,5984440
2452,59,99990,Unincorporated Jefferson County,1985,131640,5999990
2453,61,0,KIOWA COUNTY,1985,1847,6100000
2454,61,22145,Eads,1985,877,6122145
2455,61,34740,Haswell,1985,85,6134740
2456,61,69700,Sheridan Lake,1985,87,6169700
2457,61,99990,Unincorporated Kiowa County,1985,798,6199990
2458,63,0,KIT CARSON COUNTY,1985,7547,6300000
2459,63,6530,Bethune,1985,166,6306530
2460,63,10600,Burlington,1985,3142,6310600
2461,63,26765,Flagler,1985,580,6326765
2462,63,69040,Seibert,1985,175,6369040
2463,63,74485,Stratton,1985,663,6374485
2464,63,81690,Vona,1985,113,6381690
2465,63,99990,Unincorporated Kit Carson County,1985,2708,6399990
2466,65,0,LAKE COUNTY,1985,6789,6500000
2467,65,44320,Leadville,1985,3056,6544320
2468,65,99990,Unincorporated Lake County,1985,3733,6599990
2469,67,0,LA PLATA COUNTY,1985,31393,6700000
2470,67,5265,Bayfield,1985,993,6705265
2471,67,22035,Durango,1985,12440,6722035
2472,67,38535,Ignacio,1985,735,6738535
2473,67,99990,Unincorporated La Plata County,1985,17225,6799990
2474,69,0,LARIMER COUNTY,1985,170724,6900000
2475,69,6255,Berthoud (Part),1985,2721,6906255
2476,69,25115,Estes Park,1985,3069,6925115
2477,69,27425,Fort Collins,1985,76649,6927425
2478,69,39855,Johnstown (Part),1985,,6939855
2479,69,46465,Loveland,1985,35094,6946465
2480,69,77510,Timnath (Part),1985,190,6977510
2481,69,83230,Wellington,1985,1284,6983230
2482,69,85485,Windsor (Part),1985,,6985485
2483,69,99990,Unincorporated Larimer County,1985,51717,6999990
2484,71,0,LAS ANIMAS COUNTY,1985,14241,7100000
2485,71,760,Aguilar,1985,591,7100760
2486,71,8345,Branson,1985,65,7108345
2487,71,15550,Cokedale,1985,94,7115550
2488,71,40570,Kim,1985,93,7140570
2489,71,73715,Starkville,1985,112,7173715
2490,71,78610,Trinidad,1985,9077,7178610
2491,71,99990,Unincorporated Las Animas County,1985,4209,7199990
2492,73,0,LINCOLN COUNTY,1985,4588,7300000
2493,73,3235,Arriba,1985,246,7303235
2494,73,29680,Genoa,1985,173,7329680
2495,73,37875,Hugo,1985,713,7337875
2496,73,44980,Limon,1985,1788,7344980
2497,73,99990,Unincorporated Lincoln County,1985,1668,7399990
2498,75,0,LOGAN COUNTY,1985,19063,7500000
2499,75,18640,Crook,1985,161,7518640
2500,75,26875,Fleming,1985,368,7526875
2501,75,38590,Iliff,1985,201,7538590
2502,75,50040,Merino,1985,281,7550040
2503,75,58235,Peetz,1985,196,7558235
2504,75,73935,Sterling,1985,11265,7573935
2505,75,99990,Unincorporated Logan County,1985,6591,7599990
2506,77,0,MESA COUNTY,1985,88021,7700000
2507,77,15605,Collbran,1985,278,7715605
2508,77,19355,De Beque,1985,270,7719355
2509,77,28745,Fruita,1985,3577,7728745
2510,77,31660,Grand Junction,1985,28945,7731660
2511,77,56970,Palisade,1985,1656,7756970
2512,77,99990,Unincorporated Mesa County,1985,53295,7799990
2513,79,0,MINERAL COUNTY,1985,836,7900000
2514,79,14765,City of Creede,1985,593,7914765
2515,79,99990,Unincorporated Mineral County,1985,243,7999990
2516,81,0,MOFFAT COUNTY,1985,13286,8100000
2517,81,17760,Craig,1985,9277,8117760
2518,81,20495,Dinosaur,1985,402,8120495
2519,81,99990,Unincorporated Moffat County,1985,3607,8199990
2520,83,0,MONTEZUMA COUNTY,1985,19283,8300000
2521,83,17375,Cortez,1985,7856,8317375
2522,83,20770,Dolores,1985,967,8320770
2523,83,48115,Mancos,1985,921,8348115
2524,83,99990,Unincorporated Montezuma County,1985,9539,8399990
2525,85,0,MONTROSE COUNTY,1985,24389,8500000
2526,85,51745,Montrose,1985,9109,8551745
2527,85,53120,Naturita,1985,570,8553120
2528,85,54935,Nucla,1985,732,8554935
2529,85,55540,Olathe,1985,1278,8555540
2530,85,99990,Unincorporated Montrose County,1985,12700,8599990
2531,87,0,MORGAN COUNTY,1985,22431,8700000
2532,87,9555,Brush,1985,4292,8709555
2533,87,27810,Fort Morgan,1985,9016,8727810
2534,87,36610,Hillrose,1985,189,8736610
2535,87,45695,Log Lane Village,1985,694,8745695
2536,87,84770,Wiggins,1985,508,8784770
2537,87,99990,Unincorporated Morgan County,1985,7732,8799990
2538,89,0,OTERO COUNTY,1985,21760,8900000
2539,89,13460,Cheraw,1985,276,8913460
2540,89,27975,Fowler,1985,1194,8927975
2541,89,42110,La Junta,1985,8250,8942110
2542,89,48500,Manzanola,1985,460,8948500
2543,89,65190,Rocky Ford,1985,4542,8965190
2544,89,75970,Swink,1985,658,8975970
2545,89,99990,Unincorporated Otero County,1985,6380,8999990
2546,91,0,OURAY COUNTY,1985,2130,9100000
2547,91,56420,Ouray,1985,674,9156420
2548,91,64200,Ridgway,1985,425,9164200
2549,91,99990,Unincorporated Ouray County,1985,1031,9199990
2550,93,0,PARK COUNTY,1985,6601,9300000
2551,93,1530,Alma,1985,114,9301530
2552,93,25610,Fairplay,1985,455,9325610
2553,93,99990,Unincorporated Park County,1985,6032,9399990
2554,95,0,PHILLIPS COUNTY,1985,4421,9500000
2555,95,34960,Haxtun,1985,928,9534960
2556,95,37270,Holyoke,1985,2058,9537270
2557,95,57245,Paoli,1985,60,9557245
2558,95,99990,Unincorporated Phillips County,1985,1375,9599990
2559,97,0,PITKIN COUNTY,1985,11316,9700000
2560,97,3620,Aspen,1985,3513,9703620
2561,97,4935,Basalt (Part),1985,0,9704935
2562,97,71755,Snowmass Village,1985,1297,9771755
2563,97,99990,Unincorporated Pitkin County,1985,6506,9799990
2564,99,0,PROWERS COUNTY,1985,14374,9900000
2565,99,31550,Granada,1985,600,9931550
2566,99,34520,Hartman,1985,124,9934520
2567,99,37215,Holly,1985,988,9937215
2568,99,43110,Lamar,1985,8839,9943110
2569,99,85045,Wiley,1985,459,9985045
2570,99,99990,Unincorporated Prowers County,1985,3364,9999990
2571,101,0,PUEBLO COUNTY,1985,121907,10100000
2572,101,7795,Boone,1985,398,10107795
2573,101,62000,Pueblo,1985,97910,10162000
2574,101,66895,Rye,1985,201,10166895
2575,101,99990,Unincorporated Pueblo County,1985,23398,10199990
2576,103,0,RIO BLANCO COUNTY,1985,6590,10300000
2577,103,49875,Meeker,1985,2131,10349875
2578,103,62880,Rangely,1985,2520,10362880
2579,103,99990,Unincorporated Rio Blanco County,1985,1939,10399990
2580,105,0,RIO GRANDE COUNTY,1985,11546,10500000
2581,105,12855,Center (Part),1985,0,10512855
2582,105,19795,Del Norte,1985,1803,10519795
2583,105,51635,Monte Vista,1985,4338,10551635
2584,105,72395,South Fork,1985,,10572395
2585,105,99990,Unincorporated Rio Grande County,1985,5405,10599990
2586,107,0,ROUTT COUNTY,1985,14196,10700000
2587,107,35070,Hayden,1985,1549,10735070
2588,107,55155,Oak Creek,1985,741,10755155
2589,107,73825,Steamboat Springs,1985,6268,10773825
2590,107,86475,Yampa,1985,355,10786475
2591,107,99990,Unincorporated Routt County,1985,5283,10799990
2592,109,0,SAGUACHE COUNTY,1985,4400,10900000
2593,109,7571,Bonza City,1985,12,10907571
2594,109,12855,Center (Part),1985,1896,10912855
2595,109,18420,Crestone,1985,45,10918420
2596,109,51250,Moffat,1985,109,10951250
2597,109,67005,Saguache,1985,613,10967005
2598,109,99990,Unincorporated Saguache County,1985,1725,10999990
2599,111,0,SAN JUAN COUNTY,1985,763,11100000
2600,111,70580,Silverton,1985,743,11170580
2601,111,99990,Unincorporated San Juan County,1985,20,11199990
2602,113,0,SAN MIGUEL COUNTY,1985,3189,11300000
2603,113,52550,Mountain Village,1985,,11352550
2604,113,54880,Norwood,1985,449,11354880
2605,113,55870,Ophir,1985,54,11355870
2606,113,68655,Sawpit,1985,40,11368655
2607,113,76795,Telluride,1985,1030,11376795
2608,113,99990,Unincorporated San Miguel County,1985,1616,11399990
2609,115,0,SEDGWICK COUNTY,1985,2991,11500000
2610,115,39965,Julesburg,1985,1438,11539965
2611,115,56475,Ovid,1985,381,11556475
2612,115,68930,Sedgwick,1985,207,11568930
2613,115,99990,Unincorporated Sedgwick County,1985,965,11599990
2614,117,0,SUMMIT COUNTY,1985,12865,11700000
2615,117,7410,Blue River,1985,403,11707410
2616,117,8400,Breckenridge,1985,1263,11708400
2617,117,20440,Dillon,1985,531,11720440
2618,117,28690,Frisco,1985,1586,11728690
2619,117,40550,Keystone,1985,,11740555
2620,117,51690,Montezuma,1985,47,11751690
2621,117,70525,Silverthorne,1985,1587,11770525
2622,117,99990,Unincorporated Summit County,1985,7448,11799990
2623,119,0,TELLER COUNTY,1985,11305,11900000
2624,119,18530,Cripple Creek,1985,681,11918530
