B25008_002E,B25008_003E,B25008_001EA,B25008_003EA,B25008_002EA,NAME,GEO_ID,B25008_001MA,B25008_001M,B25008_003MA,B25008_002MA,B25008_002M,B25008_003M,B25008_001E
3788,908,,,,Census Tract 135.06; Boulder County; Colorado,1400000US08013013506,,395,,,476,350,4696
2292,1109,,,,Census Tract 135.07; Boulder County; Colorado,1400000US08013013507,,460,,,445,540,3401
6120,1675,,,,Census Tract 135.08; Boulder County; Colorado,1400000US08013013508,,670,,,647,644,7795
3259,338,,,,Census Tract 136.01; Boulder County; Colorado,1400000US08013013601,,480,,,479,148,3597
1116,138,,,,Census Tract 136.02; Boulder County; Colorado,1400000US08013013602,,320,,,307,88,1254
1185,97,,,,Census Tract 137.03; Boulder County; Colorado,1400000US08013013703,,218,,,220,75,1282
3853,968,,,,Census Tract 137.04; Boulder County; Colorado,1400000US08013013704,,522,,,569,390,4821
1549,834,,,,Census Tract 137.05; Boulder County; Colorado,1400000US08013013705,,447,,,273,417,2383
3249,436,,,,Census Tract 137.06; Boulder County; Colorado,1400000US08013013706,,391,,,448,274,3685
2601,2940,,,,Census Tract 606.01; Boulder County; Colorado,1400000US08013060601,,688,,,830,568,5541
421,141,,,,Census Tract 606.02; Boulder County; Colorado,1400000US08013060602,,185,,,164,110,562
2237,396,,,,Census Tract 607; Boulder County; Colorado,1400000US08013060700,,324,,,297,148,2633
1752,2104,,,,Census Tract 608.01; Boulder County; Colorado,1400000US08013060801,,485,,,368,511,3856
2528,2739,,,,Census Tract 608.02; Boulder County; Colorado,1400000US08013060802,,808,,,763,794,5267
4337,856,,,,Census Tract 609; Boulder County; Colorado,1400000US08013060900,,751,,,804,290,5193
2743,464,,,,Census Tract 613; Boulder County; Colorado,1400000US08013061300,,353,,,384,200,3207
3386,734,,,,Census Tract 614; Boulder County; Colorado,1400000US08013061400,,574,,,583,240,4120
