P14_023NA,P14_025NA,P14_027NA,P14_029NA,P14_008NA,P14_006NA,P14_040NA,P14_004NA,P14_042NA,P14_002NA,P14_021NA,P14_020N,P14_040N,P14_024N,P14_012N,P14_032N,P14_028N,P14_016N,P14_004N,P14_036N,P14_008N,P14_013NA,P14_034NA,P14_015NA,P14_036NA,P14_017NA,P14_038NA,P14_019NA,P14_030NA,NAME,P14_011NA,P14_032NA,P14_031N,P14_035N,P14_023N,P14_011N,P14_043N,P14_039N,P14_027N,P14_015N,P14_003N,P14_019N,P14_007N,P14_024NA,P14_026NA,P14_028NA,P14_007NA,P14_005NA,P14_003NA,P14_020NA,P14_041NA,P14_001NA,P14_022NA,P14_043NA,P14_042N,P14_030N,P14_002N,P14_034N,P14_022N,P14_010N,P14_006N,P14_038N,P14_026N,P14_014N,P14_018N,P14_012NA,P14_035NA,P14_014NA,P14_037NA,P14_016NA,P14_039NA,P14_018NA,P14_031NA,P14_010NA,P14_033NA,GEO_ID,P14_041N,P14_013N,P14_001N,P14_033N,P14_009NA,P14_021N,P14_017N,P14_005N,P14_037N,P14_025N,P14_009N,P14_029N
,,,,,,,,,,,2,0,3,2,0,0,0,2,2,0,,,,,,,,,Block Group 2; Census Tract 126.05; Boulder County; Colorado,,,2,1,39,0,10,0,1,1,4,0,0,,,,,,,,,,,,1,1,56,0,27,0,0,2,5,6,3,,,,,,,,,,,1500000US080130126052,1,3,95,0,,0,3,1,3,4,2,3
,,,,,,,,,,,7,6,3,6,1,12,9,4,11,1,,,,,,,,,Block Group 1; Census Tract 126.08; Boulder County; Colorado,,,11,6,141,16,13,10,9,6,12,4,6,,,,,,,,,,,,1,9,162,3,8,10,7,11,9,6,8,,,,,,,,,,,1500000US080130126081,3,8,303,7,,12,9,12,6,2,11,8
,,,,,,,,,,,2,0,1,0,5,1,4,4,2,2,,,,,,,,,Block Group 1; Census Tract 126.09; Boulder County; Colorado,,,0,0,58,0,19,3,0,1,4,5,1,,,,,,,,,,,,4,2,68,5,24,3,1,5,1,1,4,,,,,,,,,,,1500000US080130126091,1,2,126,1,,5,1,4,6,2,0,0
,,,,,,,,,,,0,0,3,2,0,4,0,4,1,3,,,,,,,,,Block Group 1; Census Tract 126.10; Boulder County; Colorado,,,0,3,111,1,76,3,0,1,5,1,2,,,,,,,,,,,,9,0,128,2,79,0,2,1,2,1,2,,,,,,,,,,,1500000US080130126101,2,3,239,2,,16,0,6,1,1,0,1
,,,,,,,,,,,4,1,8,0,1,0,5,6,3,2,,,,,,,,,Block Group 2; Census Tract 126.10; Boulder County; Colorado,,,2,1,144,0,90,3,2,5,12,4,1,,,,,,,,,,,,3,3,157,3,87,1,2,4,4,0,2,,,,,,,,,,,1500000US080130126102,5,1,301,2,,22,1,2,2,3,0,4
,,,,,,,,,,,2,1,3,0,2,0,1,0,0,0,,,,,,,,,Block Group 3; Census Tract 126.10; Boulder County; Colorado,,,0,0,26,2,14,0,0,0,4,0,0,,,,,,,,,,,,2,1,26,0,10,0,2,1,2,1,0,,,,,,,,,,,1500000US080130126103,0,0,52,0,,3,0,1,0,0,0,0
,,,,,,,,,,,2,2,3,5,1,1,5,0,0,3,,,,,,,,,Block Group 1; Census Tract 127.01; Boulder County; Colorado,,,3,1,69,3,2,8,4,1,2,1,0,,,,,,,,,,,,8,3,63,1,3,9,5,7,5,7,4,,,,,,,,,,,1500000US080130127011,4,3,132,7,,1,4,0,8,0,5,1
,,,,,,,,,,,10,12,3,14,3,2,8,5,11,3,,,,,,,,,Block Group 2; Census Tract 127.01; Boulder County; Colorado,,,7,10,130,13,4,8,2,0,5,9,10,,,,,,,,,,,,7,3,160,11,2,2,3,11,6,12,8,,,,,,,,,,,1500000US080130127012,6,19,290,7,,10,13,4,9,7,10,1
,,,,,,,,,,,26,29,9,19,11,18,19,3,16,10,,,,,,,,,Block Group 3; Census Tract 127.01; Boulder County; Colorado,,,12,22,308,14,8,20,13,27,4,22,17,,,,,,,,,,,,9,13,321,22,8,13,17,23,9,27,24,,,,,,,,,,,1500000US080130127013,21,15,629,16,,14,16,7,19,13,19,5
,,,,,,,,,,,8,6,3,4,11,9,10,5,13,7,,,,,,,,,Block Group 4; Census Tract 127.01; Boulder County; Colorado,,,5,7,168,9,6,11,12,9,5,13,6,,,,,,,,,,,,15,8,148,8,4,9,9,15,3,8,8,,,,,,,,,,,1500000US080130127014,9,7,316,6,,11,6,5,9,7,5,5
,,,,,,,,,,,5,3,4,4,4,8,2,3,1,0,,,,,,,,,Block Group 1; Census Tract 127.05; Boulder County; Colorado,,,0,2,64,2,6,4,0,2,2,1,5,,,,,,,,,,,,8,0,45,1,1,1,2,3,1,0,2,,,,,,,,,,,1500000US080130127051,6,4,109,2,,2,1,6,2,9,0,0
,,,,,,,,,,,3,12,1,7,0,3,5,3,4,6,,,,,,,,,Block Group 2; Census Tract 127.05; Boulder County; Colorado,,,2,1,64,1,3,5,4,5,2,3,3,,,,,,,,,,,,2,0,74,4,1,5,4,3,1,5,0,,,,,,,,,,,1500000US080130127052,10,7,138,2,,6,4,1,4,2,3,1
,,,,,,,,,,,5,6,1,5,1,1,7,1,9,7,,,,,,,,,Block Group 3; Census Tract 127.05; Boulder County; Colorado,,,3,3,63,2,0,4,6,2,6,6,1,,,,,,,,,,,,1,4,78,3,6,2,2,2,1,4,5,,,,,,,,,,,1500000US080130127053,8,1,141,6,,4,5,4,2,2,3,0
,,,,,,,,,,,3,0,0,1,3,2,4,3,1,4,,,,,,,,,Block Group 4; Census Tract 127.05; Boulder County; Colorado,,,3,7,57,0,0,5,1,1,0,0,3,,,,,,,,,,,,1,5,28,1,0,4,1,5,4,0,0,,,,,,,,,,,1500000US080130127054,3,0,85,2,,0,1,2,7,3,1,4
,,,,,,,,,,,1,4,2,0,1,1,0,1,0,1,,,,,,,,,Block Group 5; Census Tract 127.05; Boulder County; Colorado,,,2,1,26,2,1,3,1,0,1,1,1,,,,,,,,,,,,2,0,20,0,0,0,0,3,0,3,1,,,,,,,,,,,1500000US080130127055,1,1,46,0,,0,2,3,1,1,2,2
,,,,,,,,,,,6,0,10,4,3,8,11,7,7,6,,,,,,,,,Block Group 1; Census Tract 127.07; Boulder County; Colorado,,,2,10,139,3,12,9,3,8,3,18,7,,,,,,,,,,,,8,7,146,9,13,5,1,7,3,6,10,,,,,,,,,,,1500000US080130127071,7,4,285,8,,15,7,4,14,9,8,3
,,,,,,,,,,,2,0,0,4,2,3,5,3,5,3,,,,,,,,,Block Group 2; Census Tract 127.07; Boulder County; Colorado,,,2,7,70,8,7,3,3,2,4,4,4,,,,,,,,,,,,2,7,85,3,6,3,4,3,3,6,7,,,,,,,,,,,1500000US080130127072,9,2,155,5,,0,4,5,5,1,9,0
,,,,,,,,,,,8,9,0,5,6,2,11,5,1,6,,,,,,,,,Block Group 1; Census Tract 127.08; Boulder County; Colorado,,,10,4,91,4,5,1,0,2,2,8,2,,,,,,,,,,,,4,8,103,2,4,9,4,5,7,3,3,,,,,,,,,,,1500000US080130127081,6,6,194,4,,4,5,8,2,8,4,7
,,,,,,,,,,,5,8,6,8,3,3,13,5,9,4,,,,,,,,,Block Group 2; Census Tract 127.08; Boulder County; Colorado,,,1,5,87,11,1,7,3,7,2,9,0,,,,,,,,,,,,7,2,119,5,4,8,6,1,4,7,10,,,,,,,,,,,1500000US080130127082,6,0,206,6,,4,2,7,4,2,7,4
,,,,,,,,,,,9,10,3,13,6,13,4,0,0,2,,,,,,,,,Block Group 3; Census Tract 127.08; Boulder County; Colorado,,,5,8,125,1,5,5,7,7,0,4,8,,,,,,,,,,,,5,6,111,3,0,5,5,14,3,7,10,,,,,,,,,,,1500000US080130127083,9,4,236,6,,14,6,4,11,2,8,4
,,,,,,,,,,,4,4,2,3,7,4,6,3,2,2,,,,,,,,,Block Group 4; Census Tract 127.08; Boulder County; Colorado,,,2,1,61,2,2,1,4,4,1,2,4,,,,,,,,,,,,4,2,86,4,3,8,4,3,1,10,2,,,,,,,,,,,1500000US080130127084,1,4,147,5,,10,3,5,4,4,6,4
,,,,,,,,,,,5,6,2,3,8,3,14,9,8,4,,,,,,,,,Block Group 5; Census Tract 127.08; Boulder County; Colorado,,,1,7,103,5,2,8,3,6,6,9,4,,,,,,,,,,,,3,5,121,8,7,1,1,6,3,1,13,,,,,,,,,,,1500000US080130127085,10,2,224,5,,7,15,2,2,2,7,11
,,,,,,,,,,,12,18,3,14,10,9,14,7,7,14,,,,,,,,,Block Group 1; Census Tract 127.09; Boulder County; Colorado,,,4,13,184,12,3,9,8,19,6,11,8,,,,,,,,,,,,12,9,236,11,8,15,3,15,3,16,14,,,,,,,,,,,1500000US080130127091,8,13,420,8,,19,12,10,19,10,9,5
,,,,,,,,,,,9,0,0,1,0,2,7,2,5,3,,,,,,,,,Block Group 1; Census Tract 127.10; Boulder County; Colorado,,,8,1,42,1,1,0,0,1,0,10,0,,,,,,,,,,,,4,5,52,0,0,1,0,3,2,1,5,,,,,,,,,,,1500000US080130127101,4,1,94,0,,8,1,1,3,1,0,3
,,,,,,,,,,,8,15,3,10,9,8,10,4,8,6,,,,,,,,,Block Group 2; Census Tract 127.10; Boulder County; Colorado,,,9,13,171,12,6,10,8,14,2,20,7,,,,,,,,,,,,12,7,189,11,12,6,5,6,7,11,21,,,,,,,,,,,1500000US080130127102,11,8,360,8,,10,11,2,13,2,10,5
,,,,,,,,,,,13,14,4,9,5,1,10,2,8,3,,,,,,,,,Block Group 3; Census Tract 127.10; Boulder County; Colorado,,,4,14,162,4,14,13,4,9,0,10,10,,,,,,,,,,,,8,7,164,4,11,5,9,10,6,7,12,,,,,,,,,,,1500000US080130127103,10,14,326,11,,6,12,7,9,7,11,9
,,,,,,,,,,,21,6,3,4,10,3,7,3,8,11,,,,,,,,,Block Group 1; Census Tract 128.01; Boulder County; Colorado,,,7,9,128,7,2,8,5,5,2,11,5,,,,,,,,,,,,7,11,147,5,3,8,6,7,5,8,7,,,,,,,,,,,1500000US080130128011,6,6,275,6,,4,14,7,11,3,8,6
,,,,,,,,,,,18,24,21,21,26,26,34,24,27,23,,,,,,,,,Block Group 2; Census Tract 128.01; Boulder County; Colorado,,,23,25,452,25,8,20,17,19,19,25,20,,,,,,,,,,,,18,23,452,37,17,21,11,24,10,32,17,,,,,,,,,,,1500000US080130128012,26,37,904,26,,10,31,21,25,20,27,26
,,,,,,,,,,,51,30,24,46,28,32,32,27,24,47,,,,,,,,,Block Group 3; Census Tract 128.01; Boulder County; Colorado,,,52,46,693,48,33,29,38,45,31,45,42,,,,,,,,,,,,23,47,800,30,22,54,36,37,36,39,43,,,,,,,,,,,1500000US080130128013,39,46,1493,46,,32,43,36,28,29,35,42
,,,,,,,,,,,10,3,8,8,9,9,13,4,6,8,,,,,,,,,Block Group 1; Census Tract 128.02; Boulder County; Colorado,,,5,13,178,4,5,10,6,7,3,10,7,,,,,,,,,,,,12,12,163,11,2,9,11,11,7,14,10,,,,,,,,,,,1500000US080130128021,13,10,341,5,,16,7,7,21,7,3,5
,,,,,,,,,,,21,20,10,17,15,22,33,18,24,17,,,,,,,,,Block Group 2; Census Tract 128.02; Boulder County; Colorado,,,15,15,388,14,17,25,21,27,13,20,17,,,,,,,,,,,,21,28,411,19,6,29,21,18,21,18,12,,,,,,,,,,,1500000US080130128022,25,33,799,24,,21,28,26,13,13,20,22
,,,,,,,,,,,3,7,0,4,4,5,0,2,5,3,,,,,,,,,Block Group 3; Census Tract 128.02; Boulder County; Colorado,,,2,0,54,5,2,3,2,0,3,4,2,,,,,,,,,,,,3,2,52,1,0,0,2,3,3,3,11,,,,,,,,,,,1500000US080130128023,7,1,106,3,,1,3,3,0,1,2,1
,,,,,,,,,,,18,16,7,14,17,15,13,13,26,14,,,,,,,,,Block Group 4; Census Tract 128.02; Boulder County; Colorado,,,12,11,295,14,14,16,10,17,8,21,16,,,,,,,,,,,,9,18,294,13,10,17,15,28,4,17,18,,,,,,,,,,,1500000US080130128024,15,11,589,18,,9,25,7,20,15,17,11
,,,,,,,,,,,6,12,4,8,7,8,10,7,11,11,,,,,,,,,Block Group 1; Census Tract 129.03; Boulder County; Colorado,,,7,5,132,7,1,5,4,13,11,8,6,,,,,,,,,,,,9,6,161,2,9,8,6,8,7,5,9,,,,,,,,,,,1500000US080130129031,11,8,293,2,,2,13,6,3,7,8,13
,,,,,,,,,,,16,7,1,3,10,7,10,1,10,5,,,,,,,,,Block Group 2; Census Tract 129.03; Boulder County; Colorado,,,8,3,109,7,7,0,5,4,8,8,11,,,,,,,,,,,,7,5,143,7,6,8,2,4,2,6,5,,,,,,,,,,,1500000US080130129032,4,7,252,6,,10,9,5,3,8,12,5
,,,,,,,,,,,17,5,6,20,12,21,11,11,5,7,,,,,,,,,Block Group 1; Census Tract 129.04; Boulder County; Colorado,,,10,10,218,12,8,15,19,18,14,7,5,,,,,,,,,,,,12,11,218,8,10,4,12,12,6,11,16,,,,,,,,,,,1500000US080130129041,15,7,436,5,,2,12,12,17,10,10,11
,,,,,,,,,,,12,9,7,9,7,7,12,8,8,11,,,,,,,,,Block Group 2; Census Tract 129.04; Boulder County; Colorado,,,12,12,158,3,5,13,9,5,7,11,2,,,,,,,,,,,,7,4,156,6,8,13,1,12,8,9,10,,,,,,,,,,,1500000US080130129042,5,6,314,8,,13,4,5,6,9,7,4
,,,,,,,,,,,10,14,11,11,6,6,18,0,11,7,,,,,,,,,Block Group 3; Census Tract 129.04; Boulder County; Colorado,,,17,8,185,8,3,10,5,2,7,9,16,,,,,,,,,,,,9,11,177,8,1,9,11,8,2,7,17,,,,,,,,,,,1500000US080130129043,9,8,362,14,,8,9,6,4,10,13,19
,,,,,,,,,,,3,1,1,3,5,4,8,0,11,7,,,,,,,,,Block Group 4; Census Tract 129.04; Boulder County; Colorado,,,7,5,86,0,1,7,5,0,9,6,3,,,,,,,,,,,,2,7,94,3,2,14,1,5,3,2,7,,,,,,,,,,,1500000US080130129044,5,7,180,4,,6,9,7,5,3,0,2
,,,,,,,,,,,13,14,3,9,12,13,11,8,13,15,,,,,,,,,Block Group 1; Census Tract 129.05; Boulder County; Colorado,,,13,12,201,8,7,7,15,15,14,9,11,,,,,,,,,,,,4,8,230,12,8,8,8,12,9,11,12,,,,,,,,,,,1500000US080130129051,6,18,431,13,,15,17,10,12,8,10,8
,,,,,,,,,,,5,3,6,7,2,0,5,1,4,5,,,,,,,,,Block Group 2; Census Tract 129.05; Boulder County; Colorado,,,4,5,81,6,1,2,2,1,5,4,4,,,,,,,,,,,,0,6,92,4,2,7,5,4,6,7,4,,,,,,,,,,,1500000US080130129052,7,0,173,1,,0,7,6,9,8,11,7
,,,,,,,,,,,18,9,12,17,7,7,15,6,15,17,,,,,,,,,Block Group 1; Census Tract 129.07; Boulder County; Colorado,,,18,9,234,15,11,11,16,12,4,16,9,,,,,,,,,,,,11,13,281,14,10,17,26,12,14,8,18,,,,,,,,,,,1500000US080130129071,13,18,515,6,,10,24,13,16,10,8,10
,,,,,,,,,,,7,2,3,8,7,14,13,13,9,11,,,,,,,,,Block Group 2; Census Tract 129.07; Boulder County; Colorado,,,7,8,141,8,1,7,9,11,7,11,16,,,,,,,,,,,,2,7,202,8,4,11,11,10,11,18,3,,,,,,,,,,,1500000US080130129072,6,6,343,9,,12,5,14,8,5,13,8
,,,,,,,,,,,14,22,7,12,10,8,28,3,17,13,,,,,,,,,Block Group 1; Census Tract 130.03; Boulder County; Colorado,,,12,19,244,18,10,13,9,15,3,17,8,,,,,,,,,,,,18,8,243,16,6,16,1,8,12,18,13,,,,,,,,,,,1500000US080130130031,16,14,487,14,,13,15,4,16,2,12,7
,,,,,,,,,,,2,4,1,4,4,0,2,0,5,6,,,,,,,,,Block Group 2; Census Tract 130.03; Boulder County; Colorado,,,3,5,45,2,1,2,3,0,4,3,5,,,,,,,,,,,,1,0,64,4,1,6,5,1,1,5,7,,,,,,,,,,,1500000US080130130032,1,1,109,4,,6,3,1,2,0,1,3
,,,,,,,,,,,10,9,0,4,2,1,3,2,6,10,,,,,,,,,Block Group 3; Census Tract 130.03; Boulder County; Colorado,,,1,8,82,3,5,3,1,8,4,8,7,,,,,,,,,,,,10,4,95,3,2,2,2,4,0,2,8,,,,,,,,,,,1500000US080130130033,5,5,177,7,,9,3,2,11,2,1,0
,,,,,,,,,,,9,7,11,9,18,14,18,10,12,11,,,,,,,,,Block Group 4; Census Tract 130.03; Boulder County; Colorado,,,13,11,240,18,11,15,15,15,12,14,19,,,,,,,,,,,,9,16,255,8,8,11,17,16,14,19,6,,,,,,,,,,,1500000US080130130034,9,12,495,14,,9,15,4,14,5,19,8
,,,,,,,,,,,24,8,16,23,10,13,11,11,19,15,,,,,,,,,Block Group 5; Census Tract 130.03; Boulder County; Colorado,,,19,19,303,15,4,23,24,11,10,9,18,,,,,,,,,,,,10,11,317,26,3,26,17,13,14,16,11,,,,,,,,,,,1500000US080130130035,20,29,620,8,,14,25,9,18,13,20,15
,,,,,,,,,,,8,2,3,8,8,10,8,2,10,5,,,,,,,,,Block Group 1; Census Tract 130.04; Boulder County; Colorado,,,5,17,158,12,4,10,3,12,10,6,5,,,,,,,,,,,,4,15,178,9,9,13,8,11,7,11,8,,,,,,,,,,,1500000US080130130041,9,5,336,9,,10,15,11,7,5,12,10
,,,,,,,,,,,24,29,5,14,21,6,34,9,11,17,,,,,,,,,Block Group 2; Census Tract 130.04; Boulder County; Colorado,,,14,21,343,16,14,26,16,25,4,21,11,,,,,,,,,,,,24,9,336,19,11,17,9,26,13,12,19,,,,,,,,,,,1500000US080130130042,19,27,679,21,,23,19,8,18,9,16,22
,,,,,,,,,,,5,8,7,5,22,8,7,12,12,3,,,,,,,,,Block Group 1; Census Tract 130.05; Boulder County; Colorado,,,8,7,180,14,4,14,6,10,6,15,8,,,,,,,,,,,,6,12,192,11,12,10,4,13,6,10,21,,,,,,,,,,,1500000US080130130051,11,17,372,9,,6,10,10,12,1,7,3
,,,,,,,,,,,18,12,3,19,17,14,17,8,16,5,,,,,,,,,Block Group 2; Census Tract 130.05; Boulder County; Colorado,,,11,13,253,17,9,20,12,25,5,12,15,,,,,,,,,,,,11,11,269,19,10,15,10,21,1,12,9,,,,,,,,,,,1500000US080130130052,11,25,522,13,,10,12,10,13,12,15,14
,,,,,,,,,,,15,16,2,9,10,9,16,9,12,10,,,,,,,,,Block Group 1; Census Tract 130.06; Boulder County; Colorado,,,6,7,198,7,5,7,11,10,3,16,9,,,,,,,,,,,,15,10,199,15,6,13,3,17,1,14,14,,,,,,,,,,,1500000US080130130061,10,9,397,16,,8,11,4,15,8,13,6
,,,,,,,,,,,8,8,3,11,11,10,12,5,10,8,,,,,,,,,Block Group 2; Census Tract 130.06; Boulder County; Colorado,,,20,9,182,21,1,12,5,9,11,12,6,,,,,,,,,,,,5,13,184,12,8,5,4,11,9,9,5,,,,,,,,,,,1500000US080130130062,8,12,366,12,,6,10,4,5,3,18,15
,,,,,,,,,,,8,20,8,27,28,17,26,11,21,28,,,,,,,,,Block Group 3; Census Tract 130.06; Boulder County; Colorado,,,22,14,335,15,10,13,20,25,10,16,16,,,,,,,,,,,,5,19,310,19,8,10,11,23,16,16,19,,,,,,,,,,,1500000US080130130063,15,12,645,27,,9,16,9,26,6,18,6
,,,,,,,,,,,14,5,7,14,8,18,13,19,10,14,,,,,,,,,Block Group 1; Census Tract 132.01; Boulder County; Colorado,,,12,9,257,7,6,21,15,12,11,26,14,,,,,,,,,,,,15,20,282,12,10,18,9,28,10,17,11,,,,,,,,,,,1500000US080130132011,17,19,539,5,,19,18,8,14,13,9,12
,,,,,,,,,,,7,5,0,1,2,0,5,2,7,4,,,,,,,,,Block Group 1; Census Tract 132.02; Boulder County; Colorado,,,2,2,69,1,0,8,2,4,1,5,4,,,,,,,,,,,,5,0,69,3,7,0,4,10,1,0,6,,,,,,,,,,,1500000US080130132021,11,0,138,2,,6,7,1,4,3,4,2
,,,,,,,,,,,3,2,0,2,1,2,2,1,2,1,,,,,,,,,Block Group 2; Census Tract 132.02; Boulder County; Colorado,,,6,8,56,6,1,4,7,3,1,5,3,,,,,,,,,,,,0,5,60,2,1,4,0,1,3,5,0,,,,,,,,,,,1500000US080130132022,4,3,116,1,,9,10,0,5,0,1,2
,,,,,,,,,,,4,6,2,4,12,7,4,1,11,14,,,,,,,,,Block Group 1; Census Tract 132.05; Boulder County; Colorado,,,9,8,133,7,7,9,5,1,2,7,12,,,,,,,,,,,,1,6,148,2,6,11,3,9,8,10,11,,,,,,,,,,,1500000US080130132051,13,1,281,5,,11,6,19,4,5,14,4
,,,,,,,,,,,10,9,0,7,4,5,5,9,8,5,,,,,,,,,Block Group 2; Census Tract 132.05; Boulder County; Colorado,,,3,7,95,0,4,5,3,4,4,5,1,,,,,,,,,,,,8,5,91,4,4,5,5,8,5,1,5,,,,,,,,,,,1500000US080130132052,10,0,186,3,,5,9,0,2,0,7,2
,,,,,,,,,,,11,5,6,8,0,0,3,0,2,4,,,,,,,,,Block Group 3; Census Tract 132.05; Boulder County; Colorado,,,4,2,74,10,1,4,6,0,6,8,1,,,,,,,,,,,,9,0,77,6,1,1,0,3,0,3,3,,,,,,,,,,,1500000US080130132053,5,6,151,8,,2,3,4,5,4,3,4
,,,,,,,,,,,17,14,7,9,12,3,16,1,13,4,,,,,,,,,Block Group 4; Census Tract 132.05; Boulder County; Colorado,,,9,4,196,4,10,18,3,18,6,16,10,,,,,,,,,,,,20,7,214,5,4,10,6,13,2,21,8,,,,,,,,,,,1500000US080130132054,14,14,410,9,,24,17,6,19,5,3,9
,,,,,,,,,,,8,13,7,10,4,6,11,10,11,7,,,,,,,,,Block Group 1; Census Tract 132.07; Boulder County; Colorado,,,7,7,201,10,16,13,13,12,4,20,13,,,,,,,,,,,,12,5,237,10,11,10,11,17,6,15,19,,,,,,,,,,,1500000US080130132071,13,10,438,4,,12,12,19,12,6,13,19
,,,,,,,,,,,4,5,2,8,1,7,10,8,4,4,,,,,,,,,Block Group 2; Census Tract 132.07; Boulder County; Colorado,,,2,8,81,4,5,2,3,4,5,1,9,,,,,,,,,,,,9,4,82,0,3,6,1,2,8,4,4,,,,,,,,,,,1500000US080130132072,7,1,163,4,,3,1,2,1,5,0,2
,,,,,,,,,,,14,7,9,6,10,11,8,4,5,9,,,,,,,,,Block Group 3; Census Tract 132.07; Boulder County; Colorado,,,10,10,140,5,3,11,0,6,6,7,10,,,,,,,,,,,,7,5,157,3,12,6,4,11,5,7,7,,,,,,,,,,,1500000US080130132073,9,12,297,5,,16,8,6,6,8,4,5
,,,,,,,,,,,9,10,1,7,9,5,9,2,4,11,,,,,,,,,Block Group 1; Census Tract 132.08; Boulder County; Colorado,,,4,6,142,2,10,3,8,4,5,8,7,,,,,,,,,,,,10,9,131,9,2,6,10,10,9,10,5,,,,,,,,,,,1500000US080130132081,9,12,273,8,,10,6,1,7,8,5,3
,,,,,,,,,,,2,9,4,10,7,6,4,4,7,5,,,,,,,,,Block Group 2; Census Tract 132.08; Boulder County; Colorado,,,11,3,100,4,3,3,3,10,3,8,3,,,,,,,,,,,,9,1,106,6,5,5,7,6,0,7,15,,,,,,,,,,,1500000US080130132082,5,6,206,6,,5,0,1,6,3,2,2
,,,,,,,,,,,13,16,4,12,8,5,16,5,8,4,,,,,,,,,Block Group 3; Census Tract 132.08; Boulder County; Colorado,,,9,14,195,8,4,8,10,16,7,20,7,,,,,,,,,,,,10,4,229,5,13,9,9,16,10,13,14,,,,,,,,,,,1500000US080130132083,19,9,424,14,,17,14,17,11,6,6,14
,,,,,,,,,,,2,2,2,9,7,3,10,1,0,1,,,,,,,,,Block Group 4; Census Tract 132.08; Boulder County; Colorado,,,2,7,97,8,4,9,6,6,0,10,12,,,,,,,,,,,,1,4,107,7,11,8,0,1,2,1,7,,,,,,,,,,,1500000US080130132084,14,4,204,3,,6,2,1,13,1,8,9
,,,,,,,,,,,13,18,10,14,18,18,6,3,12,12,,,,,,,,,Block Group 1; Census Tract 132.10; Boulder County; Colorado,,,15,8,246,13,16,20,6,18,8,16,12,,,,,,,,,,,,13,9,244,15,9,11,14,13,12,17,13,,,,,,,,,,,1500000US080130132101,8,12,490,8,,23,9,7,8,11,14,8
,,,,,,,,,,,11,21,9,12,13,11,13,16,18,14,,,,,,,,,Block Group 2; Census Tract 132.10; Boulder County; Colorado,,,8,22,266,10,15,14,12,22,18,29,10,,,,,,,,,,,,9,13,313,11,18,15,9,8,17,15,21,,,,,,,,,,,1500000US080130132102,14,19,579,13,,11,21,22,17,11,7,10
,,,,,,,,,,,6,7,9,10,17,13,12,5,12,14,,,,,,,,,Block Group 3; Census Tract 132.10; Boulder County; Colorado,,,9,7,172,4,8,12,5,14,7,10,18,,,,,,,,,,,,8,6,217,11,13,16,6,7,8,14,4,,,,,,,,,,,1500000US080130132103,2,13,389,12,,14,12,15,5,3,10,11
,,,,,,,,,,,24,14,5,19,13,7,17,4,21,11,,,,,,,,,Block Group 1; Census Tract 132.11; Boulder County; Colorado,,,5,19,254,6,12,29,7,16,12,26,10,,,,,,,,,,,,39,3,289,10,12,12,9,16,3,17,18,,,,,,,,,,,1500000US080130132111,17,11,543,11,,15,26,9,14,5,15,4
,,,,,,,,,,,3,10,4,5,5,2,10,0,4,4,,,,,,,,,Block Group 2; Census Tract 132.11; Boulder County; Colorado,,,3,0,49,3,1,0,0,0,1,6,5,,,,,,,,,,,,1,3,61,5,4,2,4,3,2,3,5,,,,,,,,,,,1500000US080130132112,3,2,110,0,,1,0,3,2,0,0,1
,,,,,,,,,,,19,14,4,10,3,2,19,15,17,10,,,,,,,,,Block Group 3; Census Tract 132.11; Boulder County; Colorado,,,4,23,220,12,9,15,9,12,9,26,7,,,,,,,,,,,,8,14,259,8,5,12,4,12,7,13,22,,,,,,,,,,,1500000US080130132113,25,15,479,6,,22,19,4,24,6,4,10
,,,,,,,,,,,6,12,9,11,14,15,6,10,9,12,,,,,,,,,Block Group 4; Census Tract 132.11; Boulder County; Colorado,,,18,8,243,8,14,4,9,6,15,12,8,,,,,,,,,,,,16,13,184,13,1,8,9,13,22,10,9,,,,,,,,,,,1500000US080130132114,13,9,427,12,,5,15,21,6,13,3,10
,,,,,,,,,,,11,9,3,6,3,1,13,3,3,4,,,,,,,,,Block Group 5; Census Tract 132.11; Boulder County; Colorado,,,7,10,90,6,3,12,4,4,0,6,1,,,,,,,,,,,,6,3,100,5,6,2,5,2,2,5,6,,,,,,,,,,,1500000US080130132115,2,3,190,0,,7,6,2,10,0,4,5
,,,,,,,,,,,4,1,3,6,2,5,1,3,1,4,,,,,,,,,Block Group 6; Census Tract 132.11; Boulder County; Colorado,,,4,1,45,7,1,4,4,8,0,6,1,,,,,,,,,,,,2,0,63,2,2,4,0,3,2,4,1,,,,,,,,,,,1500000US080130132116,0,1,108,1,,3,5,2,2,1,1,6
,,,,,,,,,,,7,5,5,6,3,3,5,0,5,8,,,,,,,,,Block Group 1; Census Tract 132.12; Boulder County; Colorado,,,1,6,92,5,5,2,5,8,1,7,3,,,,,,,,,,,,5,12,99,4,5,7,2,4,4,8,7,,,,,,,,,,,1500000US080130132121,5,8,191,3,,2,3,5,7,4,2,4
,,,,,,,,,,,12,12,8,11,12,5,8,7,8,7,,,,,,,,,Block Group 2; Census Tract 132.12; Boulder County; Colorado,,,14,12,198,16,13,18,3,14,5,16,12,,,,,,,,,,,,17,11,247,7,5,21,15,13,3,19,9,,,,,,,,,,,1500000US080130132122,10,22,445,11,,15,22,4,6,2,7,13
